Migdal Epic Israel -Stage 3
Saturday Long Grand
Rank,No.,Rider 1,Rider 2,Rider 1 Time,Rider 2 Time,Time,Gap
1,790,Moshe Shloosh,Rami Shalmon,3:53:30,3:53:30,3:53:30,
2,788,Giora Nave,Ben Bloom,4:40:03,4:40:01,4:40:03,46:33
3,784,Ilan Ben Jacob,Roni Pesah,4:42:16,4:42:16,4:42:16,48:46
4,785,Reuven Kaplan,Ilan Shimoni,4:43:21,4:43:21,4:43:21,49:51
5,789,Ariel Oelsner,Gal Ronen,4:49:24,4:49:24,4:49:24,55:54
6,786,Anan Nash,Mosa Thawho,4:50:39,4:50:42,4:50:42,57:12
7,781,Eitan Grossman,Arie Tobi,4:56:39,4:56:39,4:56:39,1:03:09
8,791,Rami Pais,Yosef Helman,5:30:15,5:30:15,5:30:15,1:36:45
9,782,Yair Yarkoni,Tzvica Cohen,5:39:39,4:56:39,5:39:39,1:46:09
10,783,Nissim Gibri,Benjo Douk,6:37:08,6:37:06,6:37:08,2:43:38
DNS,787,Omer Shimoni,Ofer Dar,,,,
Saturday Long Masters
Rank,No.,Rider 1,Rider 2,Rider 1 Time,Rider 2 Time,Time,Gap
1,774,Dan Cohen,Gal Moshe,3:30:28,3:30:27,3:30:28,
2,771,Yonatan Shoshan,Tzvika Levin,3:43:01,3:43:00,3:43:01,12:33
3,770,Dotan From,Itamar Ziv,4:01:33,4:01:33,4:01:33,31:05
4,766,Tomer Gati,Ido Roth,4:04:16,4:04:11,4:04:16,33:48
5,763,Shahar Whainstein,Shai Soroka,4:05:02,4:05:02,4:05:02,34:34
6,768,Erez Hayon,Israel Eybi,4:14:35,4:14:35,4:14:35,44:07
7,765,Tomer Grebel,Dror Ben Shmuel,4:54:00,4:54:01,4:54:01,1:23:33
8,769,Shai Hirsh,Guy Shlomo Eylot,5:22:24,5:22:24,5:22:24,1:51:56
9,764,Elad Baram,Gal Ronen,5:28:09,5:28:09,5:28:09,1:57:41
10,761,Igal Shuster,Itzik Shnaiberg,5:30:41,5:30:41,5:30:41,2:00:13
