Migdal Epic Israel - Stage 2
Overall
Status,Overall Position,Category Position,No.,Name,Nationality,UCI,UCI ID,Gender,Team,Category,Prologue,Stage 1,Stage 2,Time,Gap
Finished,9,9,9-2,David List,GER,yes,10011197420,M,Lexware Mountainbike Team 2,Men,38:15.3,3:57:14.0,3:58:17.0,8:33:46.3,+29:56.1
Finished,10,10,12-1,Dmytro Titarenko,UKR,yes,10006764722,M,Ukraina national team 2 (UKR),Men,40:42.8,4:02:15.0,3:51:46.0,8:34:43.8,+30:53.6
Finished,10,10,12-2,Volodymyr Kolzlovsky,UKR,yes,10009839420,M,Ukraina national team 2 (UKR),Men,40:42.8,4:02:15.0,3:51:46.0,8:34:43.8,+30:53.6
Finished,11,11,4-1,Markus Schulte- Lunzum,GER,yes,10006447753,M,BIKE WAY RACING (BWR),Men,39:07.2,4:17:02.0,3:44:17.0,8:40:26.2,+36:36.0
Finished,11,11,4-2,Simon Vitzthum,SUI,yes,10008132826,M,BIKE WAY RACING (BWR),Men,39:07.2,4:17:02.0,3:44:17.0,8:40:26.2,+36:36.0
Finished,12,12,13-1,Fabian Costa,AUT,yes,10007702689,M,KTM Racing Team Haiming,Men,40:45.3,4:07:15.0,3:54:40.0,8:42:40.3,+38:50.1
Finished,12,12,13-2,Emanuel Zangerle,AUT,yes,10035126411,M,KTM Racing Team Haiming,Men,40:45.3,4:07:15.0,3:54:40.0,8:42:40.3,+38:50.1
Finished,13,13,5-1,Shlomi Haimy,ISR,yes,10005815738,M,BIKE WAY RACING (BWR),Men,41:16.6,4:10:05.0,3:53:51.0,8:45:12.6,+41:22.4
Finished,13,13,5-2,Guy Sessler,ISR,yes,10008822031,M,BIKE WAY RACING (BWR),Men,41:16.6,4:10:05.0,3:53:51.0,8:45:12.6,+41:22.4
Finished,14,14,30-1,Jens Schuermans,BEL,yes,10007338133,M,Scott Creuse Oxygene Guéret (SCO),Men,39:32.5,4:15:06.0,3:56:42.0,8:51:20.5,+47:30.3
Finished,14,14,30-2,Max Loret,FRA,yes,10008815462,M,Scott Creuse Oxygene Guéret (SCO),Men,39:32.5,4:15:06.0,3:56:42.0,8:51:20.5,+47:30.3
Finished,15,15,31-1,Eitan Levi,ISR,yes,10056549465,M,TNT SIGMA,Men,42:29.5,4:09:27.0,4:01:41.0,8:53:37.5,+49:47.3
Finished,15,15,31-2,Eliad Daniel,ISR,yes,10085167802,M,TNT SIGMA,Men,42:29.5,4:09:27.0,4:01:41.0,8:53:37.5,+49:47.3
Finished,16,16,15-1,Milan Damek,CZE,yes,10006908202,M,KILPI Superior,Men,42:06.5,4:17:20.0,3:54:39.0,8:54:05.5,+50:15.3
Finished,16,16,15-2,Jan Jobanek,CZE,yes,10002995563,M,KILPI Superior,Men,42:06.5,4:17:20.0,3:54:39.0,8:54:05.5,+50:15.3
Finished,17,17,26-1,Loan Cheneval,FRA,yes,10027783511,M,TEAM VCA ANJOS / TEAM ACC (ANJ),Men,40:37.3,4:15:21.0,3:58:19.0,8:54:17.3,+50:27.1
Finished,17,17,26-2,Lucas Lesion,FRA,yes,10014193912,M,TEAM VCA ANJOS / TEAM ACC (ANJ),Men,40:37.3,4:15:21.0,3:58:19.0,8:54:17.3,+50:27.1
Finished,18,18,8-1,Tomer Zaltsman,ISR,yes,10011012615,M,T & N (TMM),Men,41:00.3,4:28:17.0,3:45:35.0,8:54:52.3,+51:02.1
Finished,18,18,8-2,Nick Burki,SUI,yes,10010129612,M,T & N (TMM),Men,41:00.3,4:28:17.0,3:45:35.0,8:54:52.3,+51:02.1
Finished,19,19,25-1,Ori Leonzini,ISR,yes,10009871853,M,teamisgav 1 (TMM),Men,43:34.5,4:19:32.0,3:55:12.0,8:58:18.5,+54:28.3
Finished,19,19,25-2,Gil ly Gonen,ISR,yes,10053899244,M,teamisgav 1 (TMM),Men,43:34.5,4:19:32.0,3:55:12.0,8:58:18.5,+54:28.3
Finished,20,20,14-1,Daniel Gathof,GER,yes,10003683051,M,DG connection,Men,41:04.5,4:31:38.0,3:45:45.0,8:58:27.5,+54:37.3
Finished,20,20,14-2,Caleb Kieninger,GER,yes,10080283850,M,DG connection,Men,41:04.5,4:31:38.0,3:45:45.0,8:58:27.5,+54:37.3
Finished,21,21,20-1,Ranker Niclas,GER,yes,10016246571,M,Team Wheelsports-Beinarbeit,Men,41:38.5,4:22:12.0,3:57:08.0,9:00:58.5,+57:08.3
Finished,21,21,20-2,Paul Hauser,GER,yes,10036189973,M,Team Wheelsports-Beinarbeit,Men,41:38.5,4:22:12.0,3:57:08.0,9:00:58.5,+57:08.3
Finished,22,22,21-1,Holger Schaarschmidt,GER,yes,10084619851,M,world of mtb,Men,42:57.8,4:21:01.0,4:00:13.0,9:04:11.8,+1:00:21.6
Finished,22,22,21-2,Sonke Wegner,GER,yes,10006474833,M,world of mtb,Men,42:57.8,4:21:01.0,4:00:13.0,9:04:11.8,+1:00:21.6
Finished,23,23,6-1,Andras Parti,HUN,yes,10004031140,M,Hungarian National Team (HUN),Men,41:18.3,4:34:14.0,4:08:42.0,9:24:14.3,+1:20:24.1
Finished,23,23,6-2,Zsombor Palumby,HUN,yes,10008821223,M,Hungarian National Team (HUN),Men,41:18.3,4:34:14.0,4:08:42.0,9:24:14.3,+1:20:24.1
Finished,24,24,29-1,Daniel McConnell,AUS,yes,10075237628,M,Primaflor Mondraker Rotor (PMR),Men,42:33.8,5:07:25.0,3:45:44.0,9:35:42.8,+1:31:52.6
Finished,24,24,29-2,Anton Stinsov,RUS,yes,10002843292,M,Primaflor Mondraker Rotor (PMR),Men,42:33.8,5:07:25.0,3:45:44.0,9:35:42.8,+1:31:52.6
Leader,25,1,101-1,Haley Smith,CAN,yes,10007852132,F,Canada (CAN),Women,45:54.1,4:40:36.0,4:12:10.0,9:38:40.1,+1:34:49.9
Leader,25,1,101-2,Catharine Pendrel,CAN,yes,10004040133,F,Canada (CAN),Women,45:54.1,4:40:36.0,4:12:10.0,9:38:40.1,+1:34:49.9
Leader,26,1,301-1,Angelo Di Veroli,ISR,no,,M,Racing Team RIDLEY XXX,Masters,46:15.3,4:42:18.0,4:23:06.0,9:51:39.3,+1:47:49.1
Leader,26,1,301-2,Haim Dahan,ISR,no,,M,Racing Team RIDLEY XXX,Masters,46:15.3,4:42:18.0,4:23:06.0,9:51:39.3,+1:47:49.1
Finished,27,25,94-1,Roi Milman,ISR,no,,M,ZONE3,Men,45:21.1,4:46:52.0,4:19:55.0,9:52:08.1,+1:48:17.9
Finished,27,25,94-2,Chanan Friedman,ISR,no,,M,ZONE3,Men,45:21.1,4:46:52.0,4:19:55.0,9:52:08.1,+1:48:17.9
Finished,28,2,112-1,Chloe Woodruff,USA,yes,10003662540,F,Team USA (USA),Women,43:59.8,4:44:03.0,4:25:39.0,9:53:41.8,+1:49:51.6
Finished,28,2,112-2,Erin Huck,USA,yes,10006969735,F,Team USA (USA),Women,43:59.8,4:44:03.0,4:25:39.0,9:53:41.8,+1:49:51.6
Finished,29,3,110-1,Sofia Gomez Villafane,ARG,yes,10008140809,F,STAN’S PIVOT PRO TEAM PRESENTED BY MAXXIS,Women,44:58.3,4:39:25.0,4:32:50.0,9:57:13.3,+1:53:23.1
Finished,29,3,110-2,Rose Grant,USA,yes,10008187891,F,STAN’S PIVOT PRO TEAM PRESENTED BY MAXXIS,Women,44:58.3,4:39:25.0,4:32:50.0,9:57:13.3,+1:53:23.1
Finished,30,26,96-1,Martin Zeithammer,CZE,no,,M,INVEST MTB TEAM I,Men,43:28.9,4:41:25.0,4:33:35.0,9:58:28.9,+1:54:38.7
Finished,30,26,96-2,Petr Taticek,CZE,no,,M,INVEST MTB TEAM I,Men,43:28.9,4:41:25.0,4:33:35.0,9:58:28.9,+1:54:38.7
Finished,31,27,17-1,Ophir Ravina,ISR,yes,10014530479,M,yuri&ophir,Men,45:38.5,5:01:45.0,4:19:51.0,10:07:14.5,+2:03:24.3
Finished,31,27,17-2,Yuri Levinzon,ISR,yes,10003878667,M,yuri&ophir,Men,45:38.5,5:01:45.0,4:19:51.0,10:07:14.5,+2:03:24.3
Finished,32,28,42-1,Ruslan Khovalkin,RUS,no,,M,Team 3M / Klinika29.ru,Men,45:04.8,4:44:00.0,4:39:59.0,10:09:03.8,+2:05:13.6
Finished,32,28,42-2,Igor Stepanov,RUS,no,,M,Team 3M / Klinika29.ru,Men,45:04.8,4:44:00.0,4:39:59.0,10:09:03.8,+2:05:13.6
