Migdal Epic Israel - Prologue
Overall
Status,Overall Position,Category Position,No.,Name,Nationality,UCI,UCI ID,Gender,Team,Category,Prologue,Time,Gap
Finished,34,31,19-2,Netanel Ziv,ISR,yes,10016191001,M,The Babies,Men,45:18.7,45:18.7,+8:09.5
Finished,35,32,94-1,Roi Milman,ISR,no,,M,ZONE3,Men,45:21.1,45:21.1,+8:11.9
Finished,35,32,94-2,Chanan Friedman,ISR,no,,M,ZONE3,Men,45:21.1,45:21.1,+8:11.9
Finished,36,33,92-1,Stijn Verstraeten,BEL,no,,M,Firefighters Belgium Gent,Men,45:30.6,45:30.6,+8:21.4
Finished,36,33,92-2,Bjorn De Roo,BEL,no,,M,Firefighters Belgium Gent,Men,45:30.6,45:30.6,+8:21.4
Finished,37,34,17-1,Ophir Ravina,ISR,yes,10014530479,M,yuri&ophir,Men,45:38.5,45:38.5,+8:29.3
Finished,37,34,17-2,Yuri Levinzon,ISR,yes,10003878667,M,yuri&ophir,Men,45:38.5,45:38.5,+8:29.3
Finished,38,4,101-1,Haley Smith,CAN,yes,10007852132,F,Canada (CAN),Women,45:54.1,45:54.1,+8:44.9
Finished,38,4,101-2,Catharine Pendrel,CAN,yes,10004040133,F,Canada (CAN),Women,45:54.1,45:54.1,+8:44.9
Finished,39,35,60-1,Tzur Brant,ISR,no,,M,A Team,Men,46:09.6,46:09.6,+9:00.4
Finished,39,35,60-2,Etamar Deshe,ISR,no,,M,A Team,Men,46:09.6,46:09.6,+9:00.4
Leader,40,1,301-1,Angelo Di Veroli,ISR,no,,M,Racing Team RIDLEY XXX,Masters,46:15.3,46:15.3,+9:06.1
Leader,40,1,301-2,Haim Dahan,ISR,no,,M,Racing Team RIDLEY XXX,Masters,46:15.3,46:15.3,+9:06.1
Finished,41,36,98-1,Omer Lahav,ISR,no,,M,IGP,Men,46:29.3,46:29.3,+9:20.1
Finished,41,36,98-2,Yuval Tsahor,ISR,no,,M,IGP,Men,46:29.3,46:29.3,+9:20.1
Finished,42,37,76-1,Omri Arbel,ISR,no,,M,arbel strauss - carmel new fields,Men,46:31.1,46:31.1,+9:21.9
Finished,42,37,76-2,Dan Carmel,ISR,no,,M,arbel strauss - carmel new fields,Men,46:31.1,46:31.1,+9:21.9
Finished,43,38,16-1,Mael Desriux,FRA,yes,10048660739,M,Team VTT ERIC FAVRE MTB RACING,Men,46:47.3,46:47.3,+9:38.1
Finished,43,38,16-2,Enzo Marci,FRA,yes,10025862305,M,Team VTT ERIC FAVRE MTB RACING,Men,46:47.3,46:47.3,+9:38.1
Finished,44,5,102-1,Jovana Crnogorac,SRB,yes,10007299232,F,BIKE WAY RACING (BWR),Women,46:52.9,46:52.9,+9:43.7
Finished,44,5,102-2,Sophie Von Berswordt-Wallrabe,NED,yes,10008748471,F,BIKE WAY RACING (BWR),Women,46:52.9,46:52.9,+9:43.7
Finished,45,6,109-1,Cindy Montambault,CAN,yes,10006458665,F,CinSan,Women,47:02.1,47:02.1,+9:52.9
Finished,45,6,109-2,Sandra Walter,CAN,yes,10004295868,F,CinSan,Women,47:02.1,47:02.1,+9:52.9
Finished,46,39,48-1,Ido Shavit,ISR,no,,M,Mother Fuckers,Men,47:05.6,47:05.6,+9:56.4
Finished,46,39,48-2,Boaz Hemmo,ISR,no,,M,Mother Fuckers,Men,47:05.6,47:05.6,+9:56.4
Finished,47,2,397-1,David Travnicek,CZE,no,,M,INVEST MTB TEAM II,Masters,47:11.7,47:11.7,+10:02.5
Finished,47,2,397-2,Viktor Kolar,CZE,no,,M,INVEST MTB TEAM II,Masters,47:11.7,47:11.7,+10:02.5
Finished,48,40,62-1,Lior Haklay,ISR,no,,M,Team Bikeway,Men,47:26.6,47:26.6,+10:17.4
Finished,48,40,62-2,Guy Abadi,ISR,no,,M,Team Bikeway,Men,47:26.6,47:26.6,+10:17.4
Finished,49,41,38-1,Jakub Jirko,CZE,no,,M,MTBS.cz Racing,Men,47:27.9,47:27.9,+10:18.7
Finished,49,41,38-2,Martin Hajny,CZE,no,,M,MTBS.cz Racing,Men,47:27.9,47:27.9,+10:18.7
Finished,50,3,380-1,Guy Baumel,ISR,no,,M,Yekkes,Masters,47:31.2,47:31.2,+10:22.0
Finished,50,3,380-2,Eyal Katzenstein,ISR,no,,M,Yekkes,Masters,47:31.2,47:31.2,+10:22.0
Finished,51,42,67-1,Zahi Ben gigi,ISR,no,,M,Race3R,Men,47:31.3,47:31.3,+10:22.1
Finished,51,42,67-2,Gil Schliesser,ISR,no,,M,Race3R,Men,47:31.3,47:31.3,+10:22.1
Finished,52,43,51-1,Julian Haas,GER,no,,M,Freiburg?s Finest,Men,47:34.1,47:34.1,+10:24.9
Finished,52,43,51-2,Florian Lickert,GER,no,,M,Freiburg?s Finest,Men,47:34.1,47:34.1,+10:24.9
Finished,53,4,304-1,Dvir Almog,ISR,no,,M,Team ehud and dvir,Masters,47:36.5,47:36.5,+10:27.3
Finished,53,4,304-2,Ehud Abitboull,ISR,no,,M,Team ehud and dvir,Masters,47:36.5,47:36.5,+10:27.3
Finished,54,5,388-1,Shavit Kohavi,ISR,no,,M,Dynamo&igp racing team,Masters,47:41.5,47:41.5,+10:32.3
Finished,54,5,388-2,Amity Cohen,ISR,no,,M,Dynamo&igp racing team,Masters,47:41.5,47:41.5,+10:32.3
Leader,55,1,507-1,Ronen Shirizly,ISR,no,,M,eshkolot team,Grand Masters,47:42.6,47:42.6,+10:33.4
Leader,55,1,507-2,Hagay Anaby,ISR,no,,M,eshkolot team,Grand Masters,47:42.6,47:42.6,+10:33.4
Finished,56,44,84-1,Tom Itzhaki,ISR,no,,M,TCH-Jinga p/b Specialized,Men,47:46.1,47:46.1,+10:36.9
Finished,56,44,84-2,Chen Schreiber,ISR,no,,M,TCH-Jinga p/b Specialized,Men,47:46.1,47:46.1,+10:36.9
Finished,57,6,328-1,Avi Hadar,ISR,no,,M,KUKIYOT2,Masters,47:54.3,47:54.3,+10:45.1
Finished,57,6,328-2,David Oz,ISR,no,,M,KUKIYOT2,Masters,47:54.3,47:54.3,+10:45.1
Finished,58,7,105-1,Virag Buzsaki,HUN,yes,10014856441,F,Hungarian National Team (HUN),Women,47:54.8,47:54.8,+10:45.6
Finished,58,7,105-2,Regina Schmidel,HUN,yes,10011197117,F,Hungarian National Team (HUN),Women,47:54.8,47:54.8,+10:45.6
Finished,59,45,46-1,Nir Zohar,ISR,no,,M,TBD,Men,47:59.6,47:59.6,+10:50.4
Finished,59,45,46-2,Mayyan Gil,ISR,no,,M,TBD,Men,47:59.6,47:59.6,+10:50.4
Finished,60,7,357-1,Lior Biton,ISR,no,,M,grand ncc,Masters,48:02.7,48:02.7,+10:53.5
Finished,60,7,357-2,Vitaly Frost,ISR,no,,M,grand ncc,Masters,48:02.7,48:02.7,+10:53.5
Finished,61,2,502-1,Issy Zimmerman,GBR,no,,M,TEAM JOC CYCLES,Grand Masters,48:02.7,48:02.7,+10:53.5
Finished,61,2,502-2,John O'Connor,RSA,no,,M,TEAM JOC CYCLES,Grand Masters,48:02.7,48:02.7,+10:53.5
Finished,62,8,335-1,Ziv Ben-Yehuda,ISR,no,,M,Team HOBIT,Masters,48:17.4,48:17.4,+11:08.2
Finished,62,8,335-2,Moran Mainz,ISR,no,,M,Team HOBIT,Masters,48:17.4,48:17.4,+11:08.2
Finished,63,9,302-1,Dan Zigmond,ISR,no,,M,Tim-zezu,Masters,48:22.4,48:22.4,+11:13.2
Finished,63,9,302-2,Roy Haker,ISR,no,,M,Tim-zezu,Masters,48:22.4,48:22.4,+11:13.2
Finished,64,46,78-1,Oran Gonen,ISR,no,,M,Fitzone,Men,48:27.1,48:27.1,+11:17.9
Finished,64,46,78-2,Asaf Brode,ISR,no,,M,Fitzone,Men,48:27.1,48:27.1,+11:17.9
Finished,65,47,90-1,Asaf Baldav,ISR,no,,M,Iron Button,Men,48:31.4,48:31.4,+11:22.2
Finished,65,47,90-2,Eran Lerner,ISR,no,,M,Iron Button,Men,48:31.4,48:31.4,+11:22.2
Finished,66,8,104-1,Janika Loiv,EST,yes,10010871559,F,Estonian National MTB Team (EST),Women,48:33.5,48:33.5,+11:24.3
Finished,66,8,104-2,Greete Steinburg,EST,yes,10007431291,F,Estonian National MTB Team (EST),Women,48:33.5,48:33.5,+11:24.3
Finished,67,3,503-1,Amos Gery,ISR,no,,M,GG team,Grand Masters,48:41.4,48:41.4,+11:32.2
Finished,67,3,503-2,Zohar Galili,ISR,no,,M,GG team,Grand Masters,48:41.4,48:41.4,+11:32.2
Finished,68,48,68-1,Matan Gedulter,ISR,no,,M,MO²,Men,48:41.8,48:41.8,+11:32.6
Finished,68,48,68-2,Ori Levy,ISR,no,,M,MO²,Men,48:41.8,48:41.8,+11:32.6
Finished,69,4,512-1,Landon La Grange,RSA,no,,M,Cape Air,Grand Masters,48:45.6,48:45.6,+11:36.4
Finished,69,4,512-2,Gavin Viljoen,RSA,no,,M,Cape Air,Grand Masters,48:45.6,48:45.6,+11:36.4
Finished,70,49,95-1,Nils Strecker,GER,no,,M,Freiburg's Finest,Men,48:49.3,48:49.3,+11:40.1
Finished,70,49,95-2,Nico Schultis,GER,no,,M,Freiburg's Finest,Men,48:49.3,48:49.3,+11:40.1
Finished,71,50,70-1,Vita Son,ISR,no,,M,krayot lions,Men,48:53.8,48:53.8,+11:44.6
Finished,71,50,70-2,Ori Srulovich,ISR,no,,M,krayot lions,Men,48:53.8,48:53.8,+11:44.6
Finished,72,5,504-1,Oran Uzrad,ISR,no,,M,lugasy&uzrad,Grand Masters,48:56.4,48:56.4,+11:47.2
Finished,72,5,504-2,Nadav Lugasy,ISR,no,,M,lugasy&uzrad,Grand Masters,48:56.4,48:56.4,+11:47.2
Finished,73,51,77-1,Tamir Zinger,ISR,no,,M,UT,Men,48:59.1,48:59.1,+11:49.9
Finished,73,51,77-2,Uri Wolf,ISR,no,,M,UT,Men,48:59.1,48:59.1,+11:49.9
Finished,74,52,83-1,Yakov Sagas,ISR,no,,M,Buttons kama-tavor,Men,49:01.1,49:01.1,+11:51.9
Finished,74,52,83-2,Shlomi Reuven,ISR,no,,M,Buttons kama-tavor,Men,49:01.1,49:01.1,+11:51.9
Finished,75,53,45-1,Haim Lazmi,ISR,no,,M,STG,Men,49:03.9,49:03.9,+11:54.7
Finished,75,53,45-2,Sharon Peer,ISR,no,,M,STG,Men,49:03.9,49:03.9,+11:54.7
Finished,76,6,501-1,Gil Kashi,NED,no,,M,Verge L'etape,Grand Masters,49:07.2,49:07.2,+11:58.0
Finished,76,6,501-2,Israel Chen,ISR,no,,M,Verge L'etape,Grand Masters,49:07.2,49:07.2,+11:58.0
Finished,77,9,103-1,Naama Noyman,ISR,yes,10009828710,F,Joe's No Flats (TMM),Women,49:15.9,49:15.9,+12:06.7
Finished,77,9,103-2,Antonia Daubermann,GER,yes,10009586109,F,Joe's No Flats (TMM),Women,49:15.9,49:15.9,+12:06.7
Finished,78,54,72-1,Liav Ezer,ISR,no,,M,LG-Riders,Men,49:19.1,49:19.1,+12:09.9
Finished,78,54,72-2,Guy Shabi,ISR,no,,M,LG-Riders,Men,49:19.1,49:19.1,+12:09.9
Finished,79,10,382-1,Nati Thawco,ISR,no,,M,Buttons-adiga cycling,Masters,49:23.5,49:23.5,+12:14.3
Finished,79,10,382-2,Musa Gerchad,ISR,no,,M,Buttons-adiga cycling,Masters,49:23.5,49:23.5,+12:14.3
Finished,80,55,34-1,Maxim Bourloutsky,ISR,no,,M,Team Kerem,Men,49:25.1,49:25.1,+12:15.9
Finished,80,55,34-2,Shahar Avdar,ISR,no,,M,Team Kerem,Men,49:25.1,49:25.1,+12:15.9
Finished,81,11,398-1,Richard Lurie,RSA,no,,M,The Excellence Group / JOC,Masters,49:43.7,49:43.7,+12:34.5
Finished,81,11,398-2,Robert Nicolella,ZAM,no,,M,The Excellence Group / JOC,Masters,49:43.7,49:43.7,+12:34.5
Finished,82,7,514-1,Eli Cohen,ISR,no,,M,Team Rafaeli,Grand Masters,49:47.3,49:47.3,+12:38.1
Finished,82,7,514-2,Hagai Golan,ISR,no,,M,Team Rafaeli,Grand Masters,49:47.3,49:47.3,+12:38.1
Finished,83,12,392-1,Ladislav Musil,CZE,no,,M,KBELY Cycling team,Masters,49:49.2,49:49.2,+12:40.0
Finished,83,12,392-2,Jan Knyttl,CZE,no,,M,KBELY Cycling team,Masters,49:49.2,49:49.2,+12:40.0
Finished,84,8,532-1,Nitzan Hendler,ISR,no,,M,IGP1,Grand Masters,49:56.4,49:56.4,+12:47.2
Finished,84,8,532-2,Nir Israeli,ISR,no,,M,IGP1,Grand Masters,49:56.4,49:56.4,+12:47.2
Finished,85,56,61-1,Amjad Aabu saleh,ISR,no,,M,active way,Men,50:06.6,50:06.6,+12:57.4
Finished,85,56,61-2,Saleh Mah,ISR,no,,M,active way,Men,50:06.6,50:06.6,+12:57.4
Finished,86,13,360-1,Eli Ben Yakar,ISR,no,,M,The Buttons Ben Shemen,Masters,50:08.2,50:08.2,+12:59.0
Finished,86,13,360-2,Jesper Thirup Hansen,DEN,no,,M,The Buttons Ben Shemen,Masters,50:08.2,50:08.2,+12:59.0
Finished,87,10,106-1,Ilda Pereira,POR,yes,10007538500,F,Casa Myze Team / Centro bike val di sole,Women,50:09.9,50:09.9,+13:00.7
Finished,87,10,106-2,Lorenza Menapace,ITA,yes,10008743926,F,Casa Myze Team / Centro bike val di sole,Women,50:09.9,50:09.9,+13:00.7
Leader,88,1,201-1,Tomer Baruch,ISR,no,,M,Don’t worry B happy,Mixed,50:13.7,50:13.7,+13:04.5
Leader,88,1,201-2,Deborah Ohayon,ISR,no,,F,Don’t worry B happy,Mixed,50:13.7,50:13.7,+13:04.5
Finished,89,57,85-1,Jakee Abs,ISR,no,,M,JohnDeere Team,Men,50:16.1,50:16.1,+13:06.9
Finished,89,57,85-2,Tamir Abs,ISR,no,,M,JohnDeere Team,Men,50:16.1,50:16.1,+13:06.9
Finished,90,14,324-1,David Moss,ISR,no,,M,CCC,Masters,50:24.7,50:24.7,+13:15.5
Finished,90,14,324-2,Snir Herer,ISR,no,,M,CCC,Masters,50:24.7,50:24.7,+13:15.5
Finished,91,15,331-1,Matan Philipson,ISR,no,,M,Matan&Shamai,Masters,50:33.1,50:33.1,+13:23.9
Finished,91,15,331-2,Shamai Becker,ISR,no,,M,Matan&Shamai,Masters,50:33.1,50:33.1,+13:23.9
Finished,92,16,341-1,Barak Herszkowicz,ISR,no,,M,Raykowicz,Masters,50:35.4,50:35.4,+13:26.2
Finished,92,16,341-2,Yossi Rayk,ISR,no,,M,Raykowicz,Masters,50:35.4,50:35.4,+13:26.2
Finished,93,2,206-1,Ivan Grenavtsev,RUS,no,,M,Corto,Mixed,50:44.7,50:44.7,+13:35.5
Finished,93,2,206-2,Seda Grenavtseva,RUS,no,,F,Corto,Mixed,50:44.7,50:44.7,+13:35.5
Finished,94,17,377-1,Arnon Rosenbaum,ISR,no,,M,The turtle & the rabbit,Masters,50:45.2,50:45.2,+13:36.0
Finished,94,17,377-2,Adi Rosenbaum,ISR,no,,M,The turtle & the rabbit,Masters,50:45.2,50:45.2,+13:36.0
Finished,95,18,313-1,Amit Shitrit,ISR,no,,M,Intel Mobileye warriors,Masters,50:49.5,50:49.5,+13:40.3
Finished,95,18,313-2,Inon Fefer,ISR,no,,M,Intel Mobileye warriors,Masters,50:49.5,50:49.5,+13:40.3
Finished,96,19,344-1,Shay Shalom,ISR,no,,M,zone3,Masters,50:58.5,50:58.5,+13:49.3
Finished,96,19,344-2,Arie Bar Or,ISR,no,,M,zone3,Masters,50:58.5,50:58.5,+13:49.3
Finished,97,58,69-1,Ran Trifon,ISR,no,,M,Sigma,Men,51:07.8,51:07.8,+13:58.6
Finished,97,58,69-2,Yotam Fiibish,ISR,no,,M,Sigma,Men,51:07.8,51:07.8,+13:58.6
Finished,98,59,39-1,Yaniv Shabat,ISR,no,,M,United Buttons,Men,51:21.8,51:21.8,+14:12.6
Finished,98,59,39-2,Yaniv Akst,ISR,no,,M,United Buttons,Men,51:21.8,51:21.8,+14:12.6
Finished,99,20,365-1,Adi Froumin,ISR,no,,M,A-team,Masters,51:22.5,51:22.5,+14:13.3
Finished,99,20,365-2,Amit Avrahami,ISR,no,,M,A-team,Masters,51:22.5,51:22.5,+14:13.3
Finished,100,21,303-1,Yakov Choen,ISR,no,,M,TBW,Masters,51:26.8,51:26.8,+14:17.6
Finished,100,21,303-2,Ziv Anphi,ISR,no,,M,TBW,Masters,51:26.8,51:26.8,+14:17.6
Finished,101,22,338-1,Amit Gal Or,ISR,no,,M,Amit & Oren,Masters,51:30.5,51:30.5,+14:21.3
Finished,101,22,338-2,Oren Sela,ISR,no,,M,Amit & Oren,Masters,51:30.5,51:30.5,+14:21.3
Finished,102,23,310-1,Zack Uchovsky,ISR,no,,M,BikeIL,Masters,51:32.9,51:32.9,+14:23.7
Finished,102,23,310-2,Nimi Cohen,ISR,no,,M,BikeIL,Masters,51:32.9,51:32.9,+14:23.7
Finished,103,24,389-1,Assaf Klein,ISR,no,,M,The Green Foxes,Masters,51:33.2,51:33.2,+14:24.0
Finished,103,24,389-2,Sasy Levy,ISR,no,,M,The Green Foxes,Masters,51:33.2,51:33.2,+14:24.0
Finished,104,25,329-1,Enrique Strammer,ISR,no,,M,EMSA,Masters,51:37.3,51:37.3,+14:28.1
Finished,104,25,329-2,Max Apartin,ISR,no,,M,EMSA,Masters,51:37.3,51:37.3,+14:28.1
Finished,105,60,87-1,Yaron Gur,ISR,no,,M,Sct,Men,51:42.3,51:42.3,+14:33.1
Finished,105,60,87-2,Elad Koch,ISR,no,,M,Sct,Men,51:42.3,51:42.3,+14:33.1
Finished,106,26,321-1,Shahar Tamir,ISR,no,,M,כפתורים 500,Masters,51:45.7,51:45.7,+14:36.5
Finished,106,26,321-2,Israel Shaviv,ISR,no,,M,כפתורים 500,Masters,51:45.7,51:45.7,+14:36.5
Finished,107,27,375-1,Raz Shamai,ISR,no,,M,Raz&Ori,Masters,51:45.7,51:45.7,+14:36.5
