מוטוקרוס
מרוץ 1 עונת 2019 - אילת - 08-03-2019

מקצועית MX1 - מקצה ראשון
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
הקפה מהירה: (15) מתן ניר - 1:57.810

ג'וניור - מקצה ראשון
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,5,בן אלמגור,8,1:53.917,16:37.051,-
2,27,אופיר קייסי צמח,8,1:57.342,16:48.437,11.386
3,24,אילי ביבי,8,1:56.784,16:51.978,14.927
4,77,ארז מלמן,8,1:57.424,17:04.162,27.111
5,66,אור זרקו,8,1:59.102,17:14.518,37.467
6,101,גלב פורמנוב,8,1:58.651,17:16.541,39.490
7,22,אכרם אלחמידי,8,1:59.255,17:21.887,44.836
8,25,דודי שמואלי,7,2:26.735,19:11.709,1 הקפה
הקפה מהירה: (5) בן אלמגור - 1:53.917

ג'וניור - מקצה שני
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,5,בן אלמגור,8,1:56.762,16:57.222,-
2,77,ארז מלמן,8,1:57.847,17:02.073,4.851
3,27,אופיר קייסי צמח,8,1:58.485,17:15.222,18.000
4,24,אילי ביבי,8,1:58.926,17:15.945,18.723
5,101,גלב פורמנוב,8,1:58.380,17:44.457,47.235
6,66,אור זרקו,8,2:03.511,17:48.271,51.049
7,22,אכרם אלחמידי,8,2:01.926,17:53.711,56.489
8,25,דודי שמואלי,6,2:29.019,18:23.620,2 הקפות
הקפה מהירה: (5) בן אלמגור - 1:56.762

סופר ג'וניור - מקצה ראשון
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,109,איתי וינברג,5,2:13.691,12:30.565,-
2,48,שי אשכנזי,5,2:12.609,12:32.841,2.276
3,100,אוראן אוחנה,5,2:23.376,13:24.110,53.545
4,26,אביהו סיני,5,2:39.477,14:50.369,2:19.804
5,142,נעם ביאלי,5,2:23.804,15:05.763,2:35.198
6,6,יותם גרינברג,5,2:42.560,15:16.254,2:45.689
7,160,ליאל רומנוב,4,2:29.419,12:46.675,1 הקפה
הקפה מהירה: (48) שי אשכנזי - 2:12.609

סופר ג'וניור - מקצה שני
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,109,איתי וינברג,5,2:16.432,12:45.558,-
2,48,שי אשכנזי,5,2:16.354,12:50.622,5.064
3,100,אוראן אוחנה,5,2:30.161,14:06.839,1:21.281
4,26,אביהו סיני,5,2:34.146,14:30.453,1:44.895
5,142,נעם ביאלי,5,2:32.054,14:40.126,1:54.568
6,160,ליאל רומנוב,5,2:33.996,15:00.017,2:14.459
7,6,יותם גרינברג,4,2:52.268,13:28.640,1 הקפה
הקפה מהירה: (48) שי אשכנזי - 2:16.354

© כל הזכויות שמורות לתנועה מדידת זמנים
