ראלי ספרינט
מרוץ 5 עונת 2017 - ערד - 23-12-2017

2X4
מקום,מספר,שם,נווט,הקפה 3,הקפה 4,הקפה 5,הקפה מהירה,פער
1,13,עופר שוורץ,,2:59.379,2:51.106,2:49.823,2:49.823,-
2,82,ניצן לוי,,2:53.164,P 2:55.490,2:54.080,2:53.164,3.341
3,16,מוטי נתן,,DSQ,2:56.781,2:54.369,2:54.369,4.546
""

CUP
מקום,מספר,שם,נווט,הקפה 3,הקפה 4,הקפה 5,הקפה מהירה,פער
1,17,רמי גדיר,בוריס סטלוסבסקי,2:44.388,2:45.010,2:43.658,2:43.658,-
2,26,לאון טאובס,,2:46.234,2:44.626,DNF,2:44.626,0.968
3,98,אלעד הדר,סרגיי ליטבק,2:47.590,DSQ,2:46.129,2:46.129,2.471
4,22,ויקטור קוחניצקי,אמיר גמליאל,2:56.904,2:55.638,2:54.213,2:54.213,10.555
5,94,טל ניב,,3:00.816,2:56.783,2:57.549,2:56.783,13.125
6,96,עמית ניב,,P 3:14.694,3:05.109,P 3:05.013,3:05.013,21.355
""

Gr N
מקום,מספר,שם,נווט,הקפה 3,הקפה 4,הקפה 5,הקפה מהירה,פער
1,83,קובי כהן,,2:37.943,2:37.858,2:36.948,2:36.948,-
2,5,אדר מלמד,דן יוחאי,2:39.614,2:38.954,2:37.857,2:37.857,0.909
3,7,חמאדה עודה,,2:51.675,2:41.545,2:38.913,2:38.913,1.965
4,46,אייל בן ארי,דובי מילר,2:41.351,2:40.607,2:40.439,2:40.439,3.491
5,54,נדב ירון,,2:42.172,2:42.237,2:44.445,2:42.172,5.224
""

T3
מקום,מספר,שם,נווט,הקפה 3,הקפה 4,הקפה 5,הקפה מהירה,פער
1,99,רז גבריאלי,,2:46.559,2:46.320,2:46.238,2:46.238,-
2,40,דני פרל,,2:59.498,2:57.561,-,2:57.561,11.323
""

T3 OP
מקום,מספר,שם,נווט,הקפה 3,הקפה 4,הקפה 5,הקפה מהירה,פער
1,97,צחי כפרי,,2:40.711,2:38.852,2:37.575,2:37.575,-
2,1,אלירן יפרח,,2:39.882,2:38.809,2:39.091,2:38.809,1.234
3,2,יונתן רווה,,2:39.202,2:41.822,2:39.431,2:39.202,1.627
4,8,רפי מזרחי,,2:45.675,2:45.398,2:42.346,2:42.346,4.771
5,10,יובל שרון,,2:43.861,2:44.004,2:42.519,2:42.519,4.944
6,41,שגיא נוי,בן גלעדי,2:44.227,P 2:45.097,2:43.296,2:43.296,5.721
7,60,גבי אברגיל,,2:45.231,2:44.569,P 2:44.389,2:44.389,6.814
8,28,רוני פישמן,,2:47.674,2:46.301,2:46.137,2:46.137,8.562
9,4,שי חכמון,,2:54.778,2:50.812,2:52.003,2:50.812,13.237
""

© כל הזכויות שמורות לתנועה מדידת זמנים
