מוטוקרוס
מרוץ 2 עונת 2019 - אילת - 09-03-2019

מקצועית MX1 - מקצה ראשון
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,26,עומר רוזנבלום,8,1:58.147,17:03.489,-
2,80,יועד זוהר אלקבץ,8,1:59.438,17:09.465,5.976
3,67,ירין כהן,8,2:00.083,17:26.006,22.517
4,289,אוריאל אביטל,8,2:01.074,17:39.033,35.544
5,20,בן אשמי,8,2:00.306,17:39.409,35.920
6,7,נועה כהן,8,2:02.063,17:53.988,50.499
7,24,יובל בנאי,8,2:05.653,18:10.593,1:07.104
8,121,גל אזולאי,8,2:07.377,18:25.471,1:21.982
9,99,דניאל ארליך,8,2:11.306,19:06.011,2:02.522
10,14,איתי אביבי,7,2:12.566,17:21.151,1 הקפה
הקפה מהירה: (26) עומר רוזנבלום - 1:58.147

אקספרט - מקצה שני
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,26,עומר רוזנבלום,7,2:00.090,15:23.921,-
2,80,יועד זוהר אלקבץ,7,2:01.406,15:31.577,7.656
3,7,נועה כהן,7,2:05.756,16:05.305,41.384
4,20,בן אשמי,7,2:04.318,16:06.804,42.883
5,67,ירין כהן,7,2:04.985,16:12.688,48.767
P 6,289,אוריאל אביטל,7,2:05.914,16:10.804,46.883
7,24,יובל בנאי,7,2:09.892,16:38.443,1:14.522
8,14,איתי אביבי,7,2:11.645,16:49.290,1:25.369
9,99,דניאל ארליך,6,2:24.342,16:14.447,1 הקפה
10,121,גל אזולאי,6,2:11.462,19:09.614,1 הקפה
הקפה מהירה: (26) עומר רוזנבלום - 2:00.090

סניורים - מקצה ראשון
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,15,מתן ניר,8,1:54.815,16:57.232,-
2,169,רמי ברנס,8,1:58.576,17:01.252,4.020
3,100,חיים אוחנה,8,1:57.581,17:17.737,20.505
4,62,אברהים אלחמידי,8,2:01.185,17:35.157,37.925
5,5,יריב לוי,8,2:09.207,18:58.429,2:01.197
הקפה מהירה: (15) מתן ניר - 1:54.815

סניורים - מקצה שני
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,15,מתן ניר,7,2:00.047,15:24.409,-
2,100,חיים אוחנה,7,2:00.793,15:38.548,14.139
P 3,62,אברהים אלחמידי,7,2:01.127,15:32.065,7.656
P 4,169,רמי ברנס,7,2:00.807,15:35.794,11.385
5,5,יריב לוי,7,2:13.068,17:49.895,2:25.486
הקפה מהירה: (15) מתן ניר - 2:00.047

ג'וניור - מקצה ראשון
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,5,בן אלמגור,8,1:53.762,16:30.614,-
2,77,ארז מלמן,8,1:55.296,16:36.814,6.200
3,24,אילי ביבי,8,1:55.788,16:39.431,8.817
4,27,אופיר קייסי צמח,8,1:57.262,17:00.063,29.449
5,101,גלב פורמנוב,8,1:58.610,17:05.787,35.173
6,22,אכרם אלחמידי,8,1:59.094,17:11.439,40.825
7,66,אור זרקו,8,1:59.405,17:43.846,1:13.232
8,25,דודי שמואלי,7,2:24.290,18:51.598,1 הקפה
הקפה מהירה: (5) בן אלמגור - 1:53.762

ג'וניור - מקצה שני
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,5,בן אלמגור,8,1:55.764,16:54.971,-
2,77,ארז מלמן,8,1:57.493,16:57.966,2.995
3,24,אילי ביבי,8,1:58.793,17:11.071,16.100
4,101,גלב פורמנוב,8,2:00.350,17:28.062,33.091
5,66,אור זרקו,8,2:03.973,18:04.390,1:09.419
6,22,אכרם אלחמידי,8,2:04.552,18:06.693,1:11.722
7,27,אופיר קייסי צמח,8,1:58.448,20:59.313,4:04.342
8,25,דודי שמואלי,6,2:30.745,18:48.735,2 הקפות
הקפה מהירה: (5) בן אלמגור - 1:55.764

סופר ג'וניור - מקצה ראשון
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,109,איתי וינברג,6,2:11.608,14:31.149,-
2,48,שי אשכנזי,6,2:14.833,14:48.790,17.641
3,142,נעם ביאלי,6,2:18.094,15:24.562,53.413
4,100,אוראן אוחנה,6,2:18.230,15:24.965,53.816
5,26,אביהו סיני,6,2:30.096,16:31.236,2:00.087
6,160,ליאל רומנוב,6,2:28.658,16:31.950,2:00.801
7,6,יותם גרינברג,5,2:36.617,14:39.624,1 הקפה
הקפה מהירה: (109) איתי וינברג - 2:11.608

סופר ג'וניור - מקצה שני
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,109,איתי וינברג,6,2:17.802,14:29.242,-
2,48,שי אשכנזי,6,2:20.959,14:52.850,23.608
3,100,אוראן אוחנה,6,2:39.959,16:07.490,1:38.248
4,160,ליאל רומנוב,6,2:31.338,18:41.233,4:11.991
5,26,אביהו סיני,5,2:35.845,14:36.341,1 הקפה
6,6,יותם גרינברג,5,2:45.713,14:46.071,1 הקפה
7,142,נעם ביאלי,2,2:42.318,15:35.049,4 הקפות
הקפה מהירה: (109) איתי וינברג - 2:17.802

© כל הזכויות שמורות לתנועה מדידת זמנים
