E1
מקום,מספר,שם,הקפות,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,זמן כולל,פער
4,915,אריק פופוביץ,4,8:01.266,8:08.999,8:29.955,8:37.044,-,-,00:33:17.264,4:14.674
5,567,אבירם אלון,4,7:54.797,7:54.354,9:12.871,8:34.120,-,-,00:33:36.142,4:33.552
6,77,יוני שינו,4,8:27.932,8:16.879,8:39.416,9:08.681,-,-,00:34:32.908,5:30.318
7,604,נדב השמשוני,4,9:56.470,9:34.533,11:25.128,9:23.969,-,-,00:40:20.100,11:17.510
8,912,אלירן ברכה,4,12:38.804,11:31.742,12:07.627,9:27.099,-,-,00:45:45.272,16:42.682
9,910,דורון מור,2,9:55.400,9:28.109,-,-,-,-,P 23:23.509,2  הקפות
10,88,דני קושמרו,,-,-,-,-,-,-,-,4  הקפות
סניורים
מקום,מספר,שם,הקפות,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,זמן כולל,פער
1,41,נדב  לוגסי,5,6:40.321,6:46.483,6:37.914,6:39.581,6:47.220,-,00:33:31.519,-
2,71,ברק דודאי,5,6:30.865,6:43.851,6:46.643,6:47.388,7:06.724,-,00:33:55.471,23.952
3,45,איציק קלנר,5,6:52.712,6:52.272,7:01.679,6:45.290,6:52.767,-,00:34:24.720,53.201
4,901,עמית גול,5,6:44.955,6:57.924,6:53.164,6:53.774,7:04.250,-,00:34:34.067,1:02.548
5,119,רז הימן,5,7:21.824,7:11.047,7:09.760,7:08.722,7:19.595,-,00:36:10.948,2:39.429
6,11,דרור כהן,5,7:34.510,7:35.224,7:10.888,7:08.853,7:42.420,-,00:37:11.895,3:40.376
הקפה מהירה : 5:32.362 (22) יונתן לוי
ילדים ונוער
J1
מקום,מספר,שם,הקפות,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,זמן כולל,פער
1,33,גיל זרקו,6,2:07.330,2:09.920,2:11.850,2:03.570,2:08.647,2:03.020,00:12:44.337,-
2,30,יובל פינק - רייזמן,6,2:52.238,2:24.245,2:42.447,2:06.902,2:16.056,1:58.574,00:14:20.462,1:36.125
3,1,סוף סלע,6,3:05.542,2:03.126,2:16.788,2:15.289,3:18.889,2:28.608,00:15:28.242,2:43.905
4,40,רז עידן,6,3:59.073,3:42.335,2:30.222,2:28.930,2:27.828,2:24.052,00:17:32.440,4:48.103
5,10,דודי  קסורלה,6,7:15.400,3:09.408,2:31.154,2:52.077,3:48.155,2:31.057,00:22:07.251,9:22.914
J2
מקום,מספר,שם,הקפות,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,זמן כולל,פער
1,222,נועם דדון,4,8:41.135,8:24.715,8:29.317,8:19.855,-,-,00:33:55.022,-
2,47,גב סלע,4,8:13.607,10:08.969,7:21.532,8:30.444,-,-,00:34:14.552,19.530
3,21,טל בירנבאום,4,9:16.866,8:20.350,8:50.171,8:50.080,-,-,00:35:17.467,1:22.445
4,38,איתמר שני,4,8:36.247,10:33.894,10:28.152,9:00.630,-,-,00:38:38.923,4:43.901
5,9,צוק סלע,4,10:16.816,10:10.259,10:51.604,11:23.941,-,-,00:42:42.620,8:47.598
6,15,עומר דדוש,2,5:13.138,11:39.974,-,-,-,-,00:16:53.112,2  הקפות
7,666,שובל  הלה,,-,-,-,-,-,-,-,-
הקפה מהירה : 1:58.574 (30) יובל פינק - רייזמן
