ראלי ספרינט
מרוץ 3 עונת 2016 - בית קמה - 23-12-2016

2X4
מקום,מספר,נהג,נווט,מקצה 3,מקצה 4,מקצה 5,זמן,פער
1,11,ניצן לוי,,3:02.819,2:56.559,2:50.519,2:50.519,
GT WRX CUP
מקום,מספר,נהג,נווט,מקצה 3,מקצה 4,מקצה 5,זמן,פער
1,51,רפי מזרחי,,2:40.961,2:36.511,2:35.571,2:35.571,
2,26,איתי אלון,,2:43.705,2:40.195,2:35.882,2:35.882,0.311
3,22,ויקטור קוחוניצקי,משה ריימונד,2:53.812,2:47.232,2:45.201,2:45.201,9.630
Group N
מקום,מספר,נהג,נווט,מקצה 3,מקצה 4,מקצה 5,זמן,פער
1,50,אדר מלמד,יובל מלמד,2:47.271,2:33.281,2:28.913,2:28.913,
2,34,נדב ירון,,2:41.847,2:35.610,2:31.913,2:31.913,3.000
3,46,איל בן ארי,דובי מילר,2:37.926,,,2:37.926,9.013
לא התחיל - מקצה 3 - DNS
,69,אלי אלבג,,,,,,
לא סיים - מקצה 4 - DNF
,46,איל בן ארי,דובי מילר,2:37.926,,,,
,69,אלי אלבג,,,,,,
לא התחיל - מקצה 5 - DNS
,46,איל בן ארי,דובי מילר,2:37.926,,,,
,69,אלי אלבג,,,,,,
T3
מקום,מספר,נהג,נווט,מקצה 3,מקצה 4,מקצה 5,זמן,פער
1,1,אלירן יפרח,,2:39.074,2:34.268,2:29.647,2:29.647,
2,95,שחף מזרחי,,2:37.255,2:35.672,2:32.387,2:32.387,2.740
3,2,אורי אייזנשטיין,,2:41.599,2:38.359,2:38.524,2:38.359,8.712

© כל הזכויות שמורות לתנועה מדידת זמנים
