MX1 - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה,ניקוד
מתחילים בוגרים - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה,ניקוד
1,9,לידור גואטה,6,26:54.098,,58.032,25
2,31,דוד אוקרט,6,26:59.435,5.337,59.236,22
3,54,בר פרץ,6,27:13.109,19.011,1:02.407,20
4,87,יוני שינו,6,27:13.924,19.826,1:02.257,18
5,217,מוש כהן,6,27:15.088,20.990,1:01.003,16
6,23,לירן חכמון,6,27:15.537,21.439,1:01.188,15
7,26,גלעד סננס,6,27:17.330,23.232,1:01.555,14
8,6,הוד מוריריו,6,27:21.060,26.962,1:02.529,13
9,24,משה משולם,6,27:27.614,33.516,1:02.883,12
10,21,חן בטש,6,27:30.495,36.397,1:04.175,11
11,10,אמיר מויאל,6,27:31.010,36.912,1:03.967,10
12,14,קמיל פריד,6,27:41.231,47.133,1:03.923,9
13,34,טל כהן,6,27:44.384,50.286,1:05.179,8
14,77,רשף לוי,6,27:57.261,1:03.163,1:08.183,7
15,700,שחר מויאל,6,28:01.045,1:06.947,1:06.684,6
16,12,מקר ניקיטנקו,5,27:05.375,1 הקפה,1:06.918,5
17,101,עילי חכמון,4,27:10.285,2 הקפות,1:05.623,4
הקפה מהירה: (9) לידור גואטה - 58.032
מתחילים בוגרים - מקצה שני
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה,ניקוד
1,9,לידור גואטה,7,6:55.215,,58.114,25
2,31,דוד אוקרט,7,7:03.197,7.982,59.281,22
3,6,הוד מוריריו,7,7:11.766,16.551,1:01.193,20
4,26,גלעד סננס,7,7:14.294,19.079,1:01.139,18
5,217,מוש כהן,7,7:15.547,20.332,1:00.734,16
6,87,יוני שינו,7,7:17.218,22.003,1:01.225,15
7,10,אמיר מויאל,7,7:20.506,25.291,1:01.418,14
8,54,בר פרץ,7,7:26.437,31.222,1:01.884,13
9,14,קמיל פריד,7,7:27.672,32.457,1:02.500,12
10,24,משה משולם,7,7:32.029,36.814,1:02.885,11
11,21,חן בטש,7,7:33.804,38.589,1:03.518,10
12,34,טל כהן,7,7:38.431,43.216,1:03.877,9
13,101,עילי חכמון,7,7:44.711,49.496,1:05.444,8
14,12,מקר ניקיטנקו,7,7:50.686,55.471,1:06.078,7
15,23,לירן חכמון,6,7:07.724,1 הקפה,1:05.038,6
16,700,שחר מויאל,6,7:23.521,1 הקפה,1:03.837,5
17,77,רשף לוי,6,7:41.280,1 הקפה,1:10.399,4
הקפה מהירה: (9) לידור גואטה - 58.114
מתחילים ג'וניורס - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה,ניקוד
1,7,ידין ניסו,5,5:50.729,,1:10.468,25
2,4,ניב סבן,5,5:52.957,2.228,1:10.720,22
3,25,ירין סימנה,5,5:53.629,2.900,1:10.766,20
4,17,הראל הימן,5,6:03.364,12.635,1:08.632,18
5,99,איליי ביבי,5,6:07.304,16.575,1:12.585,16
6,12,גלעד הימן,5,6:08.200,17.471,1:10.715,15
7,6,ארז צפר,5,6:18.196,27.467,1:13.810,14
8,2,גל אזולאי,5,6:37.247,46.518,1:17.549,13
הקפה מהירה: (17) הראל הימן - 1:08.632
מתחילים ג'וניורס - מקצה שני
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה,ניקוד
1,25,ירין סימנה,6,6:57.509,,1:09.490,25
2,6,ארז צפר,6,7:06.696,9.187,1:10.170,22
3,4,ניב סבן,6,7:07.790,10.281,1:09.388,20
4,12,גלעד הימן,6,7:09.184,11.675,1:11.693,18
5,99,איליי ביבי,6,7:35.119,37.610,1:14.710,16
6,2,גל אזולאי,6,7:49.147,51.638,1:18.156,15
7,7,ידין ניסו,6,7:51.709,54.200,1:10.010,14
8,17,הראל הימן,5,6:59.057,1 הקפה,1:12.825,13
הקפה מהירה: (4) ניב סבן - 1:09.388
ג'וניורס - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה,ניקוד
1,22,איתי דב,10,11:01.700,,58.630,25
2,47,סוף סלע,10,11:18.051,16.351,59.012,22
3,30,יובל פינק רייזמן,10,11:54.280,52.580,1:02.497,20
4,33,גיל זרקו,10,12:05.908,1:04.208,1:04.539,18
5,11,גיא נורסלע,9,11:05.207,1 הקפה,1:04.244,16
6,112,גיא גולן,9,11:55.521,1 הקפה,1:08.007,15
7,222,מתניה אסייג,9,12:04.280,1 הקפה,1:07.533,14
8,7,טל נמיר,9,12:13.569,1 הקפה,1:11.712,13
9,8,מתן צפר,8,11:53.071,2 הקפות,1:13.172,12
10,100,רן יוחאי,8,11:54.398,2 הקפות,1:12.009,11
הקפה מהירה: (22) איתי דב - 58.630
ג'וניורס - מקצה שני
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה,ניקוד
1,47,סוף סלע,10,10:42.381,,1:03.532,25
2,30,יובל פינק רייזמן,10,10:55.718,13.337,1:02.780,22
3,33,גיל זרקו,10,11:29.888,47.507,1:07.457,20
4,11,גיא נורסלע,10,11:50.298,1:07.917,1:04.242,18
5,8,מתן צפר,9,10:52.754,1 הקפה,1:09.042,16
6,7,טל נמיר,9,10:54.847,1 הקפה,1:10.327,15
7,222,מתניה אסייג,9,10:55.898,1 הקפה,1:09.016,14
8,112,גיא גולן,9,10:58.772,1 הקפה,1:09.660,13
9,22,איתי דב,9,11:00.799,1 הקפה,1:00.739,12
10,100,רן יוחאי,9,11:36.399,1 הקפה,1:12.531,11
הקפה מהירה: (22) איתי דב - 1:00.739
סופר ג'וניורס - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה,ניקוד
1,22,אקרם אלחמידי,5,5:54.637,,1:10.643,25
2,65,רוי שמואלי,5,6:07.918,13.281,1:12.666,22
3,66,אור זרקו,5,6:28.073,33.436,1:18.264,20
4,7,איתמר אוזון,5,6:51.240,56.603,1:19.371,18
5,28,איתמר ברדה,4,6:35.114,1 הקפה,1:35.068,16
6,6,אלעד צפר,3,6:07.810,2 הקפות,1:47.912,15
הקפה מהירה: (22) אקרם אלחמידי - 1:10.643
סופר ג'וניורס - מקצה שני
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה,ניקוד
1,22,אקרם אלחמידי,5,5:51.254,,1:11.700,25
2,65,רוי שמואלי,5,5:58.514,7.260,1:12.926,22
3,66,אור זרקו,5,6:13.558,22.304,1:15.530,20
4,7,איתמר אוזון,5,6:38.837,47.583,1:18.975,18
5,6,אלעד צפר,4,6:52.553,1 הקפה,1:41.663,16
6,28,איתמר ברדה,4,6:53.563,1 הקפה,1:30.376,15
הקפה מהירה: (22) אקרם אלחמידי - 1:11.700
