S8 4X4
מקום,מספר,נהג,נווט,מקצה 3,מקצה 4,מקצה 5,זמן,פער
1,21,רמי שוכטוביץ,,2:44.261,2:43.236,2:43.661,2:43.236,
2,17,נדב ירון,ניר ירון,2:49.072,2:50.442,2:46.474,2:46.474,3.238
3,18,קובי כהן,שי אסרף,2:49.113,2:54.006,2:46.819,2:46.819,3.583
4,20,חמדה עודה,,,2:47.256,2:48.921,2:47.256,4.020
5,16,אהוד לביא,,2:52.663,2:51.903,2:49.388,2:49.388,6.152
6,7,רונן אברבוך,,2:49.818,2:50.657,2:51.054,2:49.818,6.582
7,15,אמיר ברמלי,,3:01.086,2:57.502,3:04.268,2:57.502,14.266
לא התחיל - מקצה 3 - DNS
,9,איל בן ארי,,,,,,
,37,ניר בן ארי,,,,,,
לא סיים - מקצה 3 - DNF
,20,חמדה עודה,,,2:47.256,2:48.921,,
לא התחיל - מקצה 4 - DNS
,9,איל בן ארי,,,,,,
,37,ניר בן ארי,,,,,,
לא התחיל - מקצה 5 - DNS
,9,איל בן ארי,,,,,,
,37,ניר בן ארי,,,,,,
CUP
מקום,מספר,נהג,נווט,מקצה 3,מקצה 4,מקצה 5,זמן,פער
1,14,רמי גדיר,,2:47.640,2:46.847,2:52.240,2:46.847,
2,12,גבריאל בוזגלו,גידי קרונין,3:29.111,,3:26.434,3:26.434,39.587
לא סיים - מקצה 4 - DNF
,12,גבריאל בוזגלו,גידי קרונין,3:29.111,,3:26.434,,
S6 2X4
מקום,מספר,נהג,נווט,מקצה 3,מקצה 4,מקצה 5,זמן,פער
1,10,אלון חליווה,,2:58.367,2:53.548,2:52.622,2:52.622,
2,8,עופר שוורץ,,2:58.959,3:10.040,2:57.300,2:57.300,4.678
3,5,ניצן לוי,,3:04.742,3:04.813,2:58.496,2:58.496,5.874
4,13,טוני בורשטיין,,3:11.699,3:12.293,3:04.699,3:04.699,12.077
5,6,דב ורנר,,3:05.831,3:05.407,,3:05.407,12.785
6,4,אורי כהן,אופיר ליפז,3:07.480,3:06.100,,3:06.100,13.478
7,3,איתי בורשטיין,,3:25.338,3:22.149,3:16.817,3:16.817,24.195
לא סיים - מקצה 5 - DNF
,4,אורי כהן,אופיר ליפז,3:07.480,3:06.100,,,
,6,דב ורנר,,3:05.831,3:05.407,,,
RZR
מקום,מספר,נהג,נווט,מקצה 3,מקצה 4,מקצה 5,זמן,פער
1,11,שחף מזרחי,,2:52.675,2:50.977,2:58.347,2:50.977,
2,2,אבישי חסידי,,3:08.224,3:07.362,3:05.489,3:05.489,14.512
