4X2
מקום,מספר,נהג,נווט,הקפה 3,הקפה 4,עונשין,הקפה 5,עונשין,זמן,פער
1,13,עפר שורץ,,2:34.645,2:33.061,,2:38.096,,2:33.061,
2,99,ניצן לוי,מוטי נתן,,,,2:36.522,,2:36.522,3.461
3,6,איתי בורשטיין,,2:51.627,2:58.911,,2:49.245,,2:49.245,16.184
Cup
מקום,מספר,נהג,נווט,הקפה 3,הקפה 4,עונשין,הקפה 5,עונשין,זמן,פער
1,7,רמי גדיר,בוריס סטרוסלסקי,2:25.511,2:21.151,,2:18.589,,2:18.589,
2,23,רון דר,אופיר לי פז,2:25.385,2:21.501,,2:18.637,,2:18.637,0.048
3,52,רפאל מזרחי,ניר טורץ,2:23.338,2:21.589,,2:18.960,,2:18.960,0.371
4,21,מישל גדז׳,אלי גדז,2:23.162,2:22.638,,2:19.280,,2:19.280,0.691
5,76,אלעד הדר,סרגיי,,2:26.305,,2:21.068,,2:21.068,2.479
6,22,ויקטור קוחניצקי,סטאס גולברג,2:24.560,2:25.319,,2:26.824,,2:24.560,5.971
7,51,קרייצמן מרק,יבגני איבשין,2:32.231,2:38.880,,2:32.412,,2:32.231,13.642
8,26,איתי אלון,שומי בקיש,2:33.931,2:39.462,,,,2:33.931,15.342
לא סיים - DNF
,76,אלעד הדר,סרגיי,,2:26.305,,2:21.068,,,
Gr N
מקום,מספר,נהג,נווט,הקפה 3,הקפה 4,עונשין,הקפה 5,עונשין,זמן,פער
1,54,נדב ירון,,2:14.875,2:09.223,,2:18.115,,2:09.223,
2,11,קובי כהן,שי אסרף,2:16.310,2:11.737,,2:12.894,,2:11.737,2.514
3,8,חמדה עודה,,2:13.907,2:10.962,5.000,2:11.778,,2:11.778,2.555
4,5,אדר מלמד,אלכסיי וייסנבלום,2:12.588,2:12.877,,,,2:12.588,3.365
5,46,איל בן-ארי,דובי מילר,2:21.573,2:15.685,,2:14.315,,2:14.315,5.092
6,10,אהוד לביא,,2:21.024,2:30.718,,,,2:21.024,11.801
לא סיים - DNF
,5,אדר מלמד,אלכסיי וייסנבלום,2:12.588,2:12.877,,,,,
T3
מקום,מספר,נהג,נווט,הקפה 3,הקפה 4,עונשין,הקפה 5,עונשין,זמן,פער
1,15,שלמה עיני,אופיר עיני,3:51.511,3:42.590,,3:38.998,,3:38.998,
T3 OP
מקום,מספר,נהג,נווט,הקפה 3,הקפה 4,עונשין,הקפה 5,עונשין,זמן,פער
1,33,יונתן רוה,,2:52.394,2:49.252,,2:55.525,,2:49.252,
2,30,תום בריל,,2:57.966,2:50.288,,2:48.088,5.000,2:50.288,1.036
3,88,שחף מזרחי,,2:55.508,2:57.841,,2:51.567,,2:51.567,2.315
4,56,מור מגידיש,,2:57.511,2:55.835,,2:51.723,,2:51.723,2.471
5,181,שגיא בורשטיין,,3:12.886,2:52.686,,2:51.878,,2:51.878,2.626
6,25,זיו כרמי,,3:00.850,2:57.475,,2:52.215,,2:52.215,2.963
7,55,רוני פישמן,נועם בן ארי,2:55.409,2:54.024,,3:05.965,,2:54.024,4.772
8,41,שגיא נוי,,7:27.413,2:56.877,,7:52.804,,2:56.877,7.625
9,93,אמיר אבו מוך,עומרי אבו מוך,2:58.735,2:59.598,,2:59.594,,2:58.735,9.483
10,18,חי טויטו,,3:11.104,3:07.602,,2:59.795,,2:59.795,10.543
