GT Wrx Cup
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,זמן,פער
1,21,מישל גדג',אלי גדג',9:15.465,9:05.223,9:03.942,27:24.630,
2,22,ויקטור קוחניצקי,סטס גולדברג,9:33.738,9:11.683,9:17.687,28:03.108,38.478
3,51,מרק קרייצמן,ייבגני ייבשיין,10:21.996,9:28.907,9:21.069,29:11.972,1:47.342
Group N
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,זמן,פער
1,100,יובל מלמד,מיקי יוחאי,8:43.489,8:24.760,8:32.855,25:41.104,
2,46,איל בן ארי,דובי מילר,8:43.306,8:33.946,8:25.716,25:42.968,1.864
לא סיים - הקפה 1 - DNF
,50,אדר מלמד,אלכסיי וייסנבלום,,,,,
לא סיים - הקפה 2 - DNF
,34,נדב ירון,ניר ירון,8:38.299,,,,
T3
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,זמן,פער
1,55,רוני פישמן,,8:42.024,8:29.072,8:23.845,25:34.941,
2,92,שגיא בורשטיין,,8:39.959,8:37.780,8:26.734,25:44.473,9.532
3,40,עומר פרל,,8:39.354,8:31.933,8:57.647,26:08.934,33.993
RZR 800 CUP
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,זמן,פער
1,93,רפי מזרחי,,9:30.719,9:19.309,9:18.300,28:08.328,
2,91,גדי ביתן,,9:56.021,9:20.232,9:11.253,28:27.506,19.178
3,90,רז גבריאלי,,9:40.844,9:34.490,9:24.439,28:39.773,31.445
OPEN
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,זמן,פער
1,44,אלירן יפרח,,8:51.141,8:22.767,8:16.349,25:30.257,
T2
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,זמן,פער
1,23,דדי שפרונץ,גיא גוטליב,10:06.372,10:10.909,10:08.455,30:25.736,
