סופרבייק
מרוץ 10 עונת 2017 - פצאל - 11-11-2017

סופרבייק 1000
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,11,אלמוג מנגד,30,38.909,19:45.107,-
2,82,נביל שפסו,30,39.231,19:52.332,7.225
3,43,תובל ארד,29,40.764,20:21.156,1 הקפה
הקפה מהירה: (11) אלמוג מנגד - 38.909

סופרספורט 600
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,19,ליעד לב,30,39.742,20:22.535,-
2,17,חיים זנדברג,29,40.188,19:57.308,1 הקפה
3,95,אלי חן,29,39.968,19:57.485,1 הקפה
4,45,עופר איתח,28,42.256,20:17.354,2 הקפות
לא סיים - DNF
,77,יוגב הרוש,14,40.780,9:42.977,16 הקפות
הקפה מהירה: (19) ליעד לב - 39.742

עממית 600
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,65,דני ליאור,10,41.531,7:06.717,-
2,33,עמית פוקס,10,42.076,7:08.767,2.050
3,41,ליאור בר עמי,10,42.150,7:09.394,2.677
4,34,משה מנצור,10,41.731,7:10.692,3.975
5,10,רומן פוטחין,10,42.363,7:26.187,19.470
6,5,מיכאל וולוב,10,42.706,7:37.006,30.289
7,8,יוסי עמר מיי בייק,10,45.227,7:43.251,36.534
לא סיים - DNF
,12,צחי שף לוי,8,42.842,5:56.124,2 הקפות
הקפה מהירה: (65) דני ליאור - 41.531

סופרספורט 300
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,777,אלי כרמל,15,47.680,12:13.771,-
2,7,אלון ברנע,15,48.901,12:30.644,16.873
3,2,אסף חייבי,15,50.231,12:53.297,39.526
4,6,ניר מרגוליס,15,49.172,12:54.014,40.243
5,18,ניר כחלון,15,49.941,12:55.886,42.115
6,27,דוד שמאילוב,15,50.482,13:04.491,50.720
7,8,יוסי אביזוב,14,52.673,12:29.971,1 הקפה
8,13,ליאון חפץ,14,53.287,12:53.153,1 הקפה
9,11,ניב מורן רבין,14,53.992,12:55.056,1 הקפה
10,80,שירה פרי,14,55.323,13:09.006,1 הקפה
הקפה מהירה: (777) אלי כרמל - 47.680

© כל הזכויות שמורות לתנועה מדידת זמנים
