אנדורו
מרוץ 5 עונת 2013 - בקעת הירדן - 09-03-2013
E1 מקצועית
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,פער,עונשין,זמן
1,8,חמו נמרוד,5:20.603,5:21.043,5:25.469,5:20.262,5:21.686,5:37.474,,,32:26.537
2,6,רון שטפל,6:08.024,5:22.885,6:12.874,5:25.041,5:30.631,5:45.320,2:28.238,30.000,34:54.775
3,132,חסון גל,6:50.968,7:20.814,6:27.667,8:21.805,6:24.317,6:31.301,9:30.335,,41:56.872
4,53,שלומי רועי,6:35.775,8:23.679,6:23.459,6:19.008,7:55.152,9:23.470,12:34.006,,45:00.543
E2 מקצועית
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,פער,עונשין,זמן
1,52,זיו כרמי,5:23.261,5:15.976,5:10.317,5:11.561,5:17.797,5:18.716,,,31:37.628
2,4,דרור כהן,6:16.207,6:00.212,5:43.555,5:42.802,6:40.447,6:06.883,4:52.478,,36:30.106
3,10,זיו נתי,5:47.057,6:17.873,5:40.555,5:42.566,7:13.813,5:47.020,5:21.256,30.000,36:58.884
4,1,עציוני הדר,7:14.359,6:11.139,5:57.282,6:09.220,5:51.762,6:34.601,6:20.735,,37:58.363
E3 מקצועית
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,פער,עונשין,זמן
1,94,בר נוב,5:44.005,5:28.219,5:24.797,5:25.852,5:25.428,5:27.496,,,32:55.797
2,25,תומר שמש,5:55.169,6:53.157,5:40.438,5:41.379,5:37.716,5:37.632,2:29.694,,35:25.491
E1 עממית
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,פער,עונשין,זמן
1,60,ניר שחם,6:27.919,6:08.063,6:14.463,6:24.569,6:18.330,,,31:33.344
2,9,גרואג איתי,6:04.997,6:06.232,6:23.117,6:32.505,6:39.616,13.123,,31:46.467
3,50,אלירן סלם,6:45.677,6:05.906,6:28.282,6:17.421,6:26.451,30.393,,32:03.737
4,16,איזנבנד טל,6:20.028,7:34.512,6:33.755,6:26.516,6:25.801,1:47.268,,33:20.612
5,78,אלירן קדר,6:14.433,6:25.475,6:36.110,8:14.473,6:37.038,2:34.185,,34:07.529
6,119,הימן עוז,7:28.352,7:40.974,6:42.182,7:19.937,7:10.967,4:49.068,,36:22.412
7,93,שקד עופר,8:17.063,9:29.049,8:48.583,8:21.963,8:45.691,12:09.005,,43:42.349
E2 עממית
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,פער,עונשין,זמן
1,84,סער יעקב,5:32.600,5:36.537,5:34.429,5:46.830,5:32.938,,1:30.000,29:33.334
2,44,מעין סבי,6:00.381,6:19.061,6:57.042,6:18.593,6:30.048,2:31.791,,32:05.125
3,65,רפאל קבסא,6:33.101,6:27.378,6:23.102,7:06.364,6:20.324,3:16.935,,32:50.269
4,567,ירון יעקובוביץ,6:17.288,7:02.285,6:59.016,6:35.806,6:43.347,4:04.408,,33:37.742
E3 עממית
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,פער,עונשין,זמן
1,800,שלו זאב,6:22.731,6:22.930,6:38.797,6:32.865,6:33.735,,,32:31.058
2,55,אייל ברלה,7:21.709,8:38.317,8:18.310,7:54.745,8:06.386,7:48.409,,40:19.467
3,63,שוורץ שגיא,10:37.361,9:32.130,11:05.957,8:33.428,9:53.002,32:10.820,15:00.000,01:04:41.878
סניורים
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,פער,עונשין,זמן
1,14,רמי צמח,6:11.162,7:01.454,6:17.918,6:03.355,6:06.384,,,31:40.273
2,11,כהן דרור,6:30.830,6:33.801,6:33.985,6:20.987,6:39.689,59.019,,32:39.292
3,901,גול עמית,6:24.226,6:21.119,6:29.959,7:09.525,6:42.785,1:27.341,,33:07.614
4,15,איציק קלנר,6:53.598,6:34.760,6:50.319,6:50.117,6:47.834,2:16.355,,33:56.628
5,71,ברק דודאי,6:46.175,6:38.856,6:43.783,6:55.414,7:57.645,3:21.600,,35:01.873
6,7,זוהר גלילי,5:54.357,6:55.978,6:07.614,6:17.385,6:07.951,14:43.012,15:00.000,46:23.285
מתחילים
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,פער,עונשין,זמן
1,88,נועם דהן,6:53.221,7:00.886,7:13.051,7:35.010,,,28:42.168
2,91,מיכאל אפשטיין,7:32.249,7:58.682,8:06.467,7:38.192,2:33.422,,31:15.590
3,64,קסנטיני רמי,9:36.191,7:25.400,8:09.812,7:29.412,3:58.647,,32:40.815
4,86,גונן גל,9:10.288,7:57.090,11:05.425,8:17.013,7:47.648,,36:29.816
5,66,גן ברוך יואב,7:34.344,11:47.093,9:08.798,9:16.157,9:04.224,,37:46.392
