מוטוקרוס
מרוץ 5 עונת 2018 - אילת - 21-12-2018

מקצועית MX1 - מקצה ראשון
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,12,שחר בלולו,10,1:48.528,19:08.942,-
2,10,דור עטיה,10,1:50.684,20:21.211,1:12.269
3,100,אליקו אוחנה,10,1:56.328,20:29.455,1:20.513
4,3,אלירן קדר,10,1:56.793,20:35.491,1:26.549
הקפה מהירה: (12) שחר בלולו - 1:48.528

מקצועית MX1 - מקצה שני
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,12,שחר בלולו,10,1:48.456,19:13.640,-
2,10,דור עטיה,10,1:51.305,20:10.022,56.382
3,100,אליקו אוחנה,10,1:54.674,20:36.559,1:22.919
4,3,אלירן קדר,10,1:57.155,21:03.842,1:50.202
הקפה מהירה: (12) שחר בלולו - 1:48.456

מקצועית MX2 - מקצה ראשון
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,47,סוף סלע,10,1:50.110,19:24.360,-
2,1,דן מיה,10,1:53.085,20:06.415,42.055
3,777,דוד פורמנוב,10,1:55.412,20:29.801,1:05.441
4,36,בן חביב,10,1:57.312,20:42.306,1:17.946
5,94,דודו עטר,10,1:57.642,20:59.414,1:35.054
6,22,איתי דוב,10,1:57.676,21:06.443,1:42.083
7,51,גיא דוברובסקי,9,1:58.890,19:38.047,1 הקפה
8,241,אופיר ואזה,9,2:00.327,19:38.900,1 הקפה
9,7,שי מנצור,9,2:01.715,20:24.853,1 הקפה
נפסל - DSQ
,146,רוני רגף,6,1:55.187,19:28.014,4 הקפות
הקפה מהירה: (47) סוף סלע - 1:50.110

מקצועית MX2 - מקצה שני
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,47,סוף סלע,10,1:50.167,19:24.162,-
2,1,דן מיה,10,1:53.111,20:07.682,43.520
3,777,דוד פורמנוב,10,1:54.521,20:23.030,58.868
4,7,שי מנצור,10,1:56.278,20:37.422,1:13.260
5,22,איתי דוב,10,1:55.990,20:41.338,1:17.176
6,51,גיא דוברובסקי,9,1:58.701,19:49.751,1 הקפה
7,36,בן חביב,9,1:56.555,19:55.971,1 הקפה
8,241,אופיר ואזה,9,1:59.123,19:56.233,1 הקפה
לא סיים - DNF
,94,דודו עטר,3,1:55.968,6:53.498,7 הקפות
הקפה מהירה: (47) סוף סלע - 1:50.167

פתוחה - מקצה ראשון
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,22,אריאל דדיה,7,1:53.128,16:17.360,-
2,15,גיא אליתים,7,1:53.248,16:25.441,8.081
3,8,נמרוד דור,7,1:53.994,16:34.738,17.378
4,27,עידו כרמון,7,1:55.405,16:36.233,18.873
5,2,איתי מרחבי,7,1:58.156,17:11.782,54.422
6,69,מוטי אלקיים,6,1:59.733,16:43.212,1 הקפה
הקפה מהירה: (22) אריאל דדיה - 1:53.128

פתוחה - מקצה שני
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,22,אריאל דדיה,7,1:53.128,16:17.360,-
2,15,גיא אליתים,7,1:53.248,16:25.441,8.081
3,8,נמרוד דור,7,1:53.994,16:34.738,17.378
4,27,עידו כרמון,7,1:55.405,16:36.233,18.873
5,2,איתי מרחבי,7,1:58.156,17:11.782,54.422
6,69,מוטי אלקיים,6,1:59.733,16:43.212,1 הקפה
הקפה מהירה: (22) אריאל דדיה - 1:53.128

רוקיז - מקצה ראשון
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,33,גיל זרקו,7,1:53.516,16:12.401,-
2,50,עילי מיכאלי,7,1:52.784,16:26.404,14.003
3,262,אופק קיסוס,7,1:54.883,16:44.889,32.488
4,26,עומר רוזנבלום,7,1:58.762,17:15.871,1:03.470
5,23,ולדמן איתמר,7,2:02.658,17:34.818,1:22.417
6,24,יובל בנאי,6,2:16.290,18:47.686,1 הקפה
לא סיים - DNF
,4,ניב סבן,2,1:58.753,6:59.307,5 הקפות
הקפה מהירה: (50) עילי מיכאלי - 1:52.784

רוקיז - מקצה שני
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,33,גיל זרקו,7,1:53.516,16:12.401,-
2,50,עילי מיכאלי,7,1:52.784,16:26.404,14.003
3,262,אופק קיסוס,7,1:54.883,16:44.889,32.488
4,26,עומר רוזנבלום,7,1:58.762,17:15.871,1:03.470
5,23,ולדמן איתמר,7,2:02.658,17:34.818,1:22.417
6,24,יובל בנאי,6,2:16.290,18:47.686,1 הקפה
לא סיים - DNF
,4,ניב סבן,2,1:58.753,6:59.307,5 הקפות
הקפה מהירה: (50) עילי מיכאלי - 1:52.784

נשים - מקצה ראשון
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,106,רן יוחאי,6,2:05.362,16:00.898,-
2,7,נועה כהן,6,2:06.990,16:09.461,8.563
3,141,דנה פרדר,5,2:31.877,16:35.369,1 הקפה
הקפה מהירה: (106) רן יוחאי - 2:05.362

נשים - מקצה שני
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,106,רן יוחאי,7,2:07.823,16:10.851,-
2,7,נועה כהן,7,2:07.615,16:25.053,14.202
3,141,דנה פרדר,6,2:36.334,17:10.369,1 הקפה
הקפה מהירה: (7) נועה כהן - 2:07.615

סניורים - מקצה ראשון
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,100,חיים אוחנה,6,2:03.663,15:39.031,-
2,74,מאור אברהם,6,1:59.942,15:39.455,0.424
3,169,רמי ברנס,6,2:04.826,15:55.276,16.245
4,616,ירון גולדשטיין,6,1:59.678,16:20.620,41.589
5,43,עמית בן עזר,6,2:08.882,16:25.305,46.274
6,82,אילן יפרח,6,2:10.573,16:36.830,57.799
7,62,אברהים אלחמידי,6,2:12.182,16:46.911,1:07.880
8,5,יריב לוי,6,2:18.060,18:04.344,2:25.313
הקפה מהירה: (616) ירון גולדשטיין - 1:59.678

סניורים - מקצה שני
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,74,מאור אברהם,7,2:00.144,15:26.215,-
2,169,רמי ברנס,7,2:04.934,15:47.567,21.352
3,100,חיים אוחנה,7,2:03.127,15:53.382,27.167
4,62,אברהים אלחמידי,7,2:14.151,16:53.308,1:27.093
5,5,יריב לוי,6,2:22.196,15:42.035,1 הקפה
6,43,עמית בן עזר,6,2:27.538,16:50.995,1 הקפה
7,23,יובל שלומי,5,2:38.123,15:55.294,2 הקפות
הקפה מהירה: (74) מאור אברהם - 2:00.144

עממית - מקצה ראשון
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,102,איתי ברק,6,2:00.405,13:04.799,-
2,17,בר אברג'יל,6,1:59.545,13:06.453,1.654
3,67,ירין כהן,6,2:05.742,13:58.885,54.086
4,54,משה קולנו,6,2:06.104,14:11.415,1:06.616
5,111,חן שטבינסקי,6,2:08.906,14:18.170,1:13.371
6,86,מני בן גיגי,6,2:12.196,14:53.106,1:48.307
7,99,דניאל ארליך,5,2:22.683,13:17.785,1 הקפה
לא סיים - DNF
,554,בר פרץ,2,3:18.938,6:40.711,4 הקפות
הקפה מהירה: (17) בר אברג'יל - 1:59.545

עממית - מקצה שני
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,102,איתי ברק,5,2:01.233,13:18.915,-
2,17,בר אברג'יל,5,2:00.825,13:27.023,8.108
3,67,ירין כהן,5,2:06.928,13:58.048,39.133
4,54,משה קולנו,5,2:07.955,14:04.985,46.070
5,99,דניאל ארליך,4,2:28.170,13:42.146,1 הקפה
לא סיים - DNF
,554,בר פרץ,0,-,-,-
הקפה מהירה: (17) בר אברג'יל - 2:00.825

ג'וניורס - מקצה ראשון
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,108,שי ספקטור,7,1:56.738,14:54.376,-
2,66,אור זרקו,7,2:04.131,15:43.419,49.043
3,922,אופשטיין שון,6,2:26.472,16:03.940,1 הקפה
P 4,22,אכרם אלחמידי,7,2:05.843,16:05.157,1:10.781
P 5,121,גל אזולאי,7,2:08.782,16:15.813,1:21.437
6,321,איתי אביבי,6,2:27.865,16:09.842,1 הקפה
לא סיים - DNF
,25,דודי שמואל,4,2:56.815,13:58.112,3 הקפות
,224,אילי ביבי,3,1:58.603,6:53.430,4 הקפות
הקפה מהירה: (108) שי ספקטור - 1:56.738

ג'וניורס - מקצה שני
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,108,שי ספקטור,8,1:59.218,17:22.171,-
2,224,אילי ביבי,8,1:59.688,17:30.532,8.361
3,66,אור זרקו,8,2:04.844,18:19.223,57.052
4,121,גל אזולאי,8,2:07.737,18:29.943,1:07.772
5,22,אכרם אלחמידי,8,2:07.728,18:57.625,1:35.454
6,321,איתי אביבי,7,2:29.753,19:37.609,1 הקפה
7,922,אופשטיין שון,6,2:33.619,18:01.106,2 הקפות
הקפה מהירה: (108) שי ספקטור - 1:59.218

סופר ג'וניורס - מקצה ראשון
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,27,אופיר קייסי צמח,6,2:02.076,13:26.170,-
2,1,בן אלמגור,6,2:01.159,13:45.935,19.765
3,109,איתי וינברג,6,2:21.355,15:24.076,1:57.906
4,48,שי אשכנזי,5,2:29.223,13:43.512,1 הקפה
5,84,אוראן אוחנה,5,2:30.135,13:58.674,1 הקפה
6,160,ליאל רומנוב,5,2:41.901,15:04.659,1 הקפה
7,7,בן נהרי,5,2:41.722,15:17.198,1 הקפה
הקפה מהירה: (1) בן אלמגור - 2:01.159

סופר ג'וניורס - מקצה שני
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,1,בן אלמגור,5,2:02.267,13:49.419,-
2,27,אופיר קייסי צמח,5,2:02.559,15:29.286,1:39.867
3,109,איתי וינברג,5,2:24.293,15:52.507,2:03.088
4,48,שי אשכנזי,5,2:29.984,16:16.806,2:27.387
5,84,אוראן אוחנה,4,2:37.529,14:28.001,1 הקפה
6,7,בן נהרי,4,2:44.043,15:11.049,1 הקפה
7,160,ליאל רומנוב,4,2:49.473,15:42.001,1 הקפה
הקפה מהירה: (1) בן אלמגור - 2:02.267

© כל הזכויות שמורות לתנועה מדידת זמנים
