MX1 - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
3,392,שגיא  צרפתי,15,15:04.433,1:01.799,9.827
4,17,הראל הימן,15,15:53.520,1:01.308,1:00.932
5,777,מתן צפר,13,14:57.245,1:04.619,2 הקפות
6,55,מתניה אסייג,13,15:26.200,1:14.740,2 הקפות
7,229,עמית צרפתי,13,14:40.938,1:02.254,2 הקפות
הקפה מהירה: (17) הראל הימן - 1:01.308
רוקיס - מקצה שני
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,392,שגיא  צרפתי,15,15:02.227,1:01.539,-
2,22,איתי דב,15,15:07.233,1:02.827,6.251
3,7,הראל מלמן,15,15:13.580,1:03.231,18.771
4,17,הראל הימן,15,15:39.468,1:04.346,41.744
5,777,מתן צפר,14,15:11.571,1:08.115,1 הקפה
הקפה מהירה: (392) שגיא  צרפתי - 1:01.539
סופר ג'וניורס - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,100,אוראן אוחנה,7,8:40.053,1:24.875,-
2,2,דודי שמואלי,7,8:53.256,1:27.905,11.216
3,6,אלעד צפר,7,9:06.161,1:29.560,24.874
4,48,שי אשכנזי,7,9:20.199,1:28.625,41.580
5,3,עופר בנימין,7,9:27.079,1:26.118,43.788
הקפה מהירה: (100) אוראן אוחנה - 1:24.875
סופר ג'וניורס - מקצה שני
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,2,דודי שמואלי,7,8:50.177,1:26.818,-
2,48,שי אשכנזי,7,9:10.036,1:29.166,20.688
3,6,אלעד צפר,7,9:11.238,1:30.480,27.270
4,100,אוראן אוחנה,7,8:40.951,1:24.879,53.063
,3,עופר בנימין,4,5:12.343,1:29.651,3 הקפות
הקפה מהירה: (100) אוראן אוחנה - 1:24.879
ג'וניורס - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,101,גלב פורמנוב,13,13:28.824,1:06.140,-
2,22,אקרם אל חמידי,13,13:37.781,1:06.397,7.308
3,108,שי ספקטור,13,13:41.270,1:07.208,12.164
4,4,ניב סבן,13,14:14.628,1:08.942,51.445
5,77,ארז מלמן,12,13:41.577,1:13.066,1 הקפה
6,100,רן  יוחאי,12,13:58.083,1:15.179,1 הקפה
7,23,אדיר אברהם,12,14:09.336,1:13.663,1 הקפה
8,66,אור  זרקו,12,13:56.144,1:12.697,1 הקפה
9,86,דין אבודין,12,14:13.545,1:12.862,1 הקפה
10,5,ארז צפר,12,14:20.704,1:11.710,1 הקפה
11,2,גל  לינאדו,10,13:10.820,1:26.738,3 הקפות
12,85,גב בן ברוך,10,13:18.775,1:23.678,3 הקפות
,46,יוס מאיר,6,8:23.470,1:16.161,7 הקפות
הקפה מהירה: (101) גלב פורמנוב - 1:06.140
ג'וניורס - מקצה שני
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,108,שי ספקטור,13,13:41.478,1:05.316,-
2,22,אקרם אל חמידי,13,13:49.190,1:07.799,6.502
3,101,גלב פורמנוב,13,14:27.094,1:06.606,44.669
4,4,ניב סבן,13,14:40.683,1:09.884,58.105
5,5,ארז צפר,12,13:44.178,1:08.906,1 הקפה
6,66,אור  זרקו,12,13:40.647,1:12.717,1 הקפה
7,77,ארז מלמן,11,13:54.209,1:13.557,2 הקפות
8,100,רן  יוחאי,11,14:13.234,1:16.459,2 הקפות
9,86,דין אבודין,11,14:11.689,1:14.990,2 הקפות
10,85,גב בן ברוך,11,14:21.735,1:20.193,2 הקפות
11,46,יוס מאיר,11,14:23.823,1:18.975,2 הקפות
12,2,גל  לינאדו,10,14:20.521,1:27.518,3 הקפות
,23,אדיר אברהם,8,9:16.352,1:16.813,5 הקפות
הקפה מהירה:  (108) שי ספקטור - 1:05.316
