אינדורו פרו
מקום,מספר,שם,מקצה 1,מקצה 2,מקצה 3,זמן,פער
מקום,מספר,שם,מקצה 1,מקצה 2,זמן,פער
1,300,בועז כהן ,3:56.478,3:53.626,3:53.626,
2,202,יובל סגל ,4:10.570,4:08.023,4:08.023,14.397
3,205,עמרי דנון ,4:36.510,4:19.849,4:19.849,26.223
4,203,עופר גל שנהב ,4:26.747,4:23.103,4:23.103,29.477
ספרינט 10-11
מקום,מספר,שם,מקצה 1,מקצה 2,זמן,פער
1,100,ערן כהן - סולל עמר ,3:22.678,3:18.757,3:18.757,
2,101,רון גולדנברג ,3:18.911,4:36.108,3:18.911,0.154
3,104,עמית שדמי ,3:23.792,3:37.787,3:23.792,5.035
4,108,רואי אוסטפלד ,3:33.896,3:27.943,3:27.943,9.186
5,102,תומר ישעיה ,3:36.178,3:29.500,3:29.500,10.743
6,107,עירד דלויה ,3:34.352,3:36.223,3:34.352,15.595
7,122,דור פרכטר ,3:46.934,3:35.179,3:35.179,16.422
8,109,איתי פרץ ,3:39.996,3:37.764,3:37.764,19.007
9,220,אמיר איובי ,3:40.016,4:05.740,3:40.016,21.259
10,115,גור ברון ,3:54.628,3:51.731,3:51.731,32.974
11,114,אורי קורן ,3:57.982,3:57.395,3:57.395,38.638
12,127,גוני סלמה מרגלית  ,4:13.187,4:18.296,4:13.187,54.430
13,120,ארז שטרייכמן ,4:39.504,4:15.270,4:15.270,56.513
14,118,עידו גל שנהב ,5:04.195,4:29.195,4:29.195,1:10.438
15,246,לידור מזרחי ,4:46.226,4:34.581,4:34.581,1:15.824
16,121,רון קרן ,4:39.293,25:39.514,4:39.293,1:20.536
17,125,רום הראל ,4:50.138,5:12.043,4:50.138,1:31.381
ספרינט 12-13
מקום,מספר,שם,מקצה 1,מקצה 2,זמן,פער
1,232,יואב רפופורט ,3:08.258,3:10.404,3:08.258,
2,221,יובל ניר ,3:12.684,6:46.917,3:12.684,4.426
3,129,עומר רוזנבלום ,3:13.214,3:23.741,3:13.214,4.956
4,135,שיר אוקו ,3:22.066,3:24.281,3:22.066,13.808
5,136,חגי לגמן ,3:26.072,3:38.451,3:26.072,17.814
6,134,דוד בריינין ,3:29.313,3:28.772,3:28.772,20.514
7,132,יאיר ליננברג ,3:32.270,3:37.958,3:32.270,24.012
8,131,גיא אוחנה ,3:34.991,3:34.930,3:34.930,26.672
9,137,יהלי שפרן ,3:40.570,3:37.765,3:37.765,29.507
10,140,עומרי פלג ,4:28.596,4:01.924,4:01.924,53.666
11,139,דימה רפופורט ,4:03.631,4:06.099,4:03.631,55.373
12,138,איל פוגל ,4:21.546,5:03.552,4:21.546,1:13.288
ספרינט 14-15
מקום,מספר,שם,מקצה 1,מקצה 2,זמן,פער
1,142,יובל סוייבלמן ,2:54.890,2:55.722,2:54.890,
2,147,ארז לוי ,3:02.535,2:56.665,2:56.665,1.775
3,223,דן סמירנוב ,2:59.136,3:02.800,2:59.136,4.246
4,299,רז סימסון ,3:00.280,3:00.220,3:00.220,5.330
5,149,יותם צור ,3:03.020,3:05.137,3:03.020,8.130
6,144,עומר קלנר ,3:04.944,3:03.179,3:03.179,8.289
7,230,תומר סטרדינר ,3:06.913,3:04.431,3:04.431,9.541
8,148,אורי שמבן ,3:09.468,3:06.545,3:06.545,11.655
9,152,עדי בן הרוש ,3:14.357,3:09.056,3:09.056,14.166
10,155,דור כרמל ,3:12.578,3:10.293,3:10.293,15.403
11,222,ניב אטיאס ,3:11.030,3:18.814,3:11.030,16.140
12,297,מתן ארמוזה ,3:21.006,3:12.173,3:12.173,17.283
13,247,טל רולניק ,3:17.247,3:14.588,3:14.588,19.698
14,162,דויד בניסטי ,3:24.177,3:16.013,3:16.013,21.123
15,164,רון דני ,3:18.642,,3:18.642,23.752
16,157,שגיא שוורץ ,3:19.972,3:20.512,3:19.972,25.082
17,154,מוחמד חוגיראת ,3:20.108,3:34.620,3:20.108,25.218
18,156,אביב צמח ,3:47.478,3:20.256,3:20.256,25.366
19,153,יהונתן טמיר ,3:22.677,3:21.546,3:21.546,26.656
20,166,נועם בנימין ,3:23.878,3:28.548,3:23.878,28.988
