TT
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,זמן,פער
1,60,טל ויינברג,25:45.542,25:34.146,24:41.716,1:16:01.404,-
2,50,ירון כהן,26:19.427,26:48.916,32:22.570,1:25:30.913,9:29.509
3,59,אלירן יפרח,24:22.933,-,-,24:22.933,2 הקפות
4,61,אייל לביא,25:00.813,-,-,25:00.813,2 הקפות
5,58,עידו כהן,-,-,-,-,-
T1 2X4
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,זמן,פער
1,53,אילן פטורי,31:17.914,26:36.004,26:34.780,1:24:28.698,-
2,54,דני גולן,31:37.382,31:13.838,34:17.676,1:37:08.896,12:40.198
T1 4X4
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,זמן,פער
1,51,שי שמעוני,29:54.231,29:19.352,29:12.181,1:28:25.764,-
2,52,עידו שקל,-,-,-,-,3 הקפות
T2
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,זמן,פער
1,56,דדי שפרונץ,27:50.278,37:12.491,35:21.895,1:40:24.664,-
2,55,רועי שפירא,29:55.348,33:04.846,-,1:03:00.194,1 הקפה
3,57,ניסים באבא,56:59.371,-,-,56:59.371,2 הקפות
T3
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,זמן,פער
1,64,רוני פישמן,29:48.789,29:40.625,29:22.404,1:28:51.818,-
2,63,דני פרל,29:56.239,29:33.548,35:34.815,1:35:04.602,-
3,62,אלירן יפרח,21:55.347,-,-,21:55.347,2 הקפות
4,65,תום בריל,-,-,-,-,-
RZR CUP
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,זמן,פער
1,66,אדר מלמד,34:55.614,51:19.816,-,1:26:15.430,-
אופנועים
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,זמן,פער
1,8,גב סלע,27:25.292,27:43.306,27:41.296,1:22:49.894,-
2,5,ירון יעקובוביץ',28:51.066,27:41.691,27:37.981,1:24:10.738,1:20.844
3,2,דורון וינטר,32:53.790,30:50.489,30:25.712,1:34:09.991,11:20.097
4,3,ליאור שוורץ,31:14.169,32:44.873,32:27.855,1:36:26.897,13:37.003
5,7,עדו גביש,32:44.070,32:34.138,31:52.373,1:37:10.581,14:20.687
6,4,איתמר מלכה,35:45.686,35:37.089,33:31.808,1:44:54.583,22:04.689
7,1,זיו כרמי,25:40.621,-,-,25:40.621,2 הקפות
8,6,נתן וינברגר,35:02.238,-,-,35:02.238,2 הקפות
טרקטורונים
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,זמן,פער
1,9,תומר סלמן,31:02.549,21:13.878,21:05.508,1:13:21.935,-
2,10,מיכאל פרץ,31:58.043,35:41.212,37:24.544,1:45:03.799,31:41.864
3,13,אלידור באד,31:42.173,28:56.291,-,1:00:38.464,1 הקפה
4,14,שמואל בנדיבה,1:12:41.822,39:08.910,-,1:51:50.732,1 הקפה
5,11,ירמי גוב,40:21.995,-,-,40:21.995,2 הקפות
