אנדורו
מקום,מספר,שם,פער,מקצה 1,מקצה 2,מקצה 3,זמן
1,5,רפקין דימה,,4:01.408,4:03.629,4:06.371,12:11.408
2,10,בן חמו אוהד,21.440,4:07.850,4:14.672,4:10.326,12:32.848
3,6,קדמי בן,37.847,4:28.565,4:07.547,4:13.143,12:49.255
4,9,יתום יונתן,38.372,4:13.852,4:18.678,4:17.250,12:49.780
5,1,בר גיא,39.058,4:24.680,4:18.658,4:07.128,12:50.466
6,86,שפרן פטר,46.653,4:17.090,4:22.985,4:17.986,12:58.061
7,22,ישראלי אמנון,49.480,4:13.776,4:14.128,4:32.984,13:00.888
8,52,קוליקוד דימה,1:01.634,4:33.885,4:19.702,4:19.455,13:13.042
9,189,פלקסמן נעם,1:02.500,4:21.458,4:29.326,4:23.124,13:13.908
10,108,גלילי זוהר,1:08.746,4:29.731,4:28.972,4:21.451,13:20.154
11,59,הרוש חובב,1:21.224,4:35.318,4:29.802,4:27.512,13:32.632
12,84,דווידוביץ ברק,1:22.185,4:33.312,4:34.235,4:26.046,13:33.593
13,51,שינדלר אנדריי,1:25.767,4:38.433,4:31.312,4:27.430,13:37.175
14,70,ויסבקר אסף,1:28.387,4:29.676,4:35.460,4:34.659,13:39.795
15,19,רדליך חנוך,1:29.593,4:19.350,4:51.530,4:30.121,13:41.001
16,31,בן יעקוב גל,1:39.307,4:33.375,4:41.688,4:35.652,13:50.715
17,85,להט בני,1:46.115,4:35.492,4:44.836,4:37.195,13:57.523
18,3,גוב אור,1:46.165,5:22.035,4:17.746,4:17.792,13:57.573
19,2,פטורי אלדד,1:57.796,4:27.654,4:46.378,4:55.172,14:09.204
20,62,יעקוב תמיר,1:59.321,4:35.485,4:53.777,4:41.467,14:10.729
21,194,וזנר אלינור,2:32.813,4:56.080,4:56.334,4:51.807,14:44.221
22,87,שבמן אבא,2:39.115,4:53.861,4:58.178,4:58.484,14:50.523
23,35,הרשקוביץ גיא,2:50.515,4:41.287,5:25.148,4:55.488,15:01.923
24,95,חץ עודד,3:05.256,5:03.011,5:12.601,5:01.052,15:16.664
25,14,לויט יוג'ין,3:10.545,5:03.393,5:12.445,5:06.115,15:21.953
26,192,גפינוביץ רותם,5:15.212,5:45.225,5:42.307,5:59.088,17:26.620
27,74,סלור איתי,14:56.573,4:17.114,13:55.788,8:55.079,27:07.981
נשים
מקום,מספר,שם,פער,מקצה 1,מקצה 2,מקצה 3,זמן
1,194,וזנר אלינור,,4:56.080,4:56.334,4:51.807,4:56.080
2,193,רייס מיכל,11.946,5:09.515,5:08.026,,5:08.026
3,192,גפינוביץ רותם,46.227,5:45.225,5:42.307,5:59.088,5:42.307
ספרינט 10-11
מקום,מספר,שם,פער,מקצה 1,מקצה 2,מקצה 3,זמן
1,116,סמירנוב דן,,5:04.440,5:12.154,,5:04.440
2,113,שמבן אורי,0.657,5:07.626,5:05.097,,5:05.097
3,119,רוזנבלום עומר,2.093,5:10.019,5:06.533,,5:06.533
4,118,פלג שחר,16.077,5:22.646,5:20.517,,5:20.517
5,123,רפופורט יואב,18.350,5:30.937,5:22.790,,5:22.790
6,117,מדובר דורון,22.850,5:31.762,5:27.290,,5:27.290
7,125,גבריאלי איליי,23.062,5:27.502,6:18.940,,5:27.502
8,112,כלפון שי,26.625,5:31.065,5:34.718,,5:31.065
9,114,ניר יובל,36.450,5:40.890,5:43.094,,5:40.890
10,126,כוכבי אמתי,1:06.535,6:32.252,6:10.975,,6:10.975
11,124,סלע עומרי,1:10.447,6:14.887,15:08.103,,6:14.887
12,121,בריינין דוד,1:51.788,6:56.228,7:20.752,,6:56.228
13,115,פרנקו יובל,2:09.266,12:34.604,7:13.706,,7:13.706
14,122,ארז יהלי,2:13.952,7:18.392,,,7:18.392
לא סיים - מקצה 2 - DNF
,122,ארז יהלי,,7:18.392,,,
ספרינט 12-13
מקום,מספר,שם,פער,מקצה 1,מקצה 2,מקצה 3,זמן
1,129,מלאכי תומר,,4:52.112,4:47.782,,4:47.782
2,140,דברת נדב,7.215,4:54.997,4:59.056,,4:54.997
3,128,קלנר עומר,10.782,4:58.564,5:07.313,,4:58.564
4,138,גבעון קאי,11.907,4:59.894,4:59.689,,4:59.689
5,127,סוייבלמן יובל,14.969,5:02.751,5:03.405,,5:02.751
6,136,סגל גיא,21.015,5:18.484,5:08.797,,5:08.797
7,131,סטרדינר תומר,24.984,5:18.287,5:12.766,,5:12.766
8,132,דיין יונתן,28.973,5:16.755,6:09.157,,5:16.755
9,196,רבינוביץ ערן,29.076,5:16.858,5:19.084,,5:16.858
10,198,קזס עומר,34.694,5:26.995,5:22.476,,5:22.476
11,137,מור יותם,35.575,5:23.357,5:35.057,,5:23.357
12,134,אביתר עומר,39.785,5:27.567,5:52.527,,5:27.567
13,130,ג'יימס פוגליז,53.060,5:40.842,6:15.610,,5:40.842
14,141,סרוסי ארנון,55.921,5:43.703,6:30.577,,5:43.703
15,133,רצון כפיר,1:05.647,5:53.429,6:02.288,,5:53.429
16,139,צימבליסטה ילי,1:09.838,5:57.620,6:04.060,,5:57.620
17,135,שם טוב אלון,5:40.309,10:28.091,,,10:28.091
לא סיים - מקצה 1 - DNF
,195,זכור לאי,,,,,
לא סיים - מקצה 2 - DNF
,135,שם טוב אלון,,10:28.091,,,
,195,זכור לאי,,,,,
ספרינט 14-15
מקום,מספר,שם,פער,מקצה 1,מקצה 2,מקצה 3,זמן
1,142,נחום אוהד,,4:22.518,4:36.586,,4:22.518
2,145,שוסטר שקד,5.003,4:27.521,4:30.409,,4:27.521
3,155,אביתר נעם,5.163,4:27.999,4:27.681,,4:27.681
4,147,ברנע מתן,7.816,4:30.334,4:36.532,,4:30.334
5,149,מימון בן,12.728,4:35.246,4:37.138,,4:35.246
6,161,פרסקי גיל,18.424,4:56.814,4:40.942,,4:40.942
7,167,שדה ארז,24.357,4:51.926,4:46.875,,4:46.875
8,152,שמבן גור,30.341,4:52.859,5:04.297,,4:52.859
9,168,אשכנזי שובל,31.402,4:53.920,,,4:53.920
10,143,סרט ניר,32.667,4:55.185,5:08.502,,4:55.185
11,148,דניאלי מתן,34.893,4:57.411,4:59.080,,4:57.411
12,151,לבינזון אדם,37.081,4:59.599,5:05.493,,4:59.599
13,170,פורת יובל,40.486,5:10.417,5:03.004,,5:03.004
14,144,סרט אלון,42.719,5:05.322,5:05.237,,5:05.237
15,164,הודסמן יובל,46.364,5:08.882,5:31.569,,5:08.882
16,162,גרונדוג איתי,47.786,5:10.304,,,5:10.304
17,163,גולד מאור,48.332,5:10.850,5:11.145,,5:10.850
18,160,אוחנה תומר,50.483,5:18.490,5:13.001,,5:13.001
19,197,רבינוביץ תומר,52.018,5:14.536,5:17.907,,5:14.536
20,169,אביסרור עמרי,52.731,5:15.249,5:46.319,,5:15.249
21,146,פיליפסקי אוריה,52.799,5:15.317,5:17.776,,5:15.317
22,165,גורפינקל אסף,59.780,5:22.298,,,5:22.298
23,153,זבדה דור,1:00.515,,5:23.033,,5:23.033
24,150,ליצי אורן,1:01.006,5:30.853,5:23.524,,5:23.524
25,158,בן טוביה אדם,1:02.865,5:25.383,5:42.643,,5:25.383
26,154,זילכה נמרוד,1:17.207,5:39.725,5:58.033,,5:39.725
27,156,שדה טל,11:11.850,15:34.368,,,15:34.368
לא סיים - מקצה 1 - DNF
,153,זבדה דור,,,5:23.033,,
לא סיים - מקצה 2 - DNF
,156,שדה טל,,15:34.368,,,
,165,גורפינקל אסף,,5:22.298,,,
,168,אשכנזי שובל,,4:53.920,,,
ספרינט 16-19
מקום,מספר,שם,פער,מקצה 1,מקצה 2,מקצה 3,זמן
1,173,גלעדי דולב,,,4:13.474,,4:13.474
2,182,ארמוזה גל,4.322,4:17.796,11:15.246,,4:17.796
3,189,פלקסמן נעם,7.984,4:21.458,4:29.326,4:23.124,4:21.458
4,185,פרידמן אדם,11.742,4:25.216,4:28.157,,4:25.216
5,181,אורן טל,12.616,4:26.117,4:26.090,,4:26.090
6,187,נסטל גבריאל,14.252,4:27.726,4:36.945,,4:27.726
7,184,מוהר עמוס,16.728,4:38.645,4:30.202,,4:30.202
8,174,רוס נאור,26.057,4:39.531,4:42.420,,4:39.531
9,171,נחשון יובל,33.111,4:46.585,4:48.449,,4:46.585
10,172,דרור איתמר,36.819,4:50.293,4:57.098,,4:50.293
11,178,גרינברג יגאל,37.177,4:50.651,4:57.993,,4:50.651
12,176,חלפון ירין,40.630,4:54.104,4:56.216,,4:54.104
13,177,זהבי נעם,45.255,4:58.729,5:03.436,,4:58.729
14,175,כרמלי גיא,56.756,6:51.141,5:10.230,,5:10.230
15,180,ולינגשטין תומר,1:03.254,5:19.075,5:16.728,,5:16.728
לא סיים - מקצה 1 - DNF
,173,גלעדי דולב,,,4:13.474,,
ספרינט 20-30
מקום,מספר,שם,פער,מקצה 1,מקצה 2,מקצה 3,זמן
1,48,יפרח אלי,,4:14.303,4:08.949,,4:08.949
2,7,שחר גיל,1.304,4:17.128,4:10.253,,4:10.253
3,34,אחיאסף עמית,5.940,4:16.384,4:14.889,,4:14.889
4,24,לוינברגר יותם,8.377,4:17.326,4:21.938,,4:17.326
5,44,עבאס עלאא,15.981,4:25.655,4:24.930,,4:24.930
6,41,פינקל עומר,16.693,,4:25.642,,4:25.642
7,46,אפשטיין אביב,18.034,4:26.983,4:40.971,,4:26.983
8,31,בן יעקוב גל,24.426,4:33.375,4:41.688,4:35.652,4:33.375
9,45,אביזמר דולב,25.979,4:34.928,4:40.217,,4:34.928
10,35,הרשקוביץ גיא,32.338,4:41.287,5:25.148,4:55.488,4:41.287
11,43,קולמזין איגור,35.213,4:46.300,4:44.162,,4:44.162
12,42,מורדובקין יבגני,49.636,4:58.585,5:12.126,,4:58.585
13,39,רביב מאור,50.290,5:02.279,4:59.239,,4:59.239
14,28,בר קובי,1:01.211,5:58.980,5:10.160,,5:10.160
15,38,בובליל אור,1:04.155,,5:13.104,,5:13.104
16,23,ארליך מיכאל,2:42.253,7:05.743,6:51.202,,6:51.202
לא סיים - מקצה 1 - DNF
,38,בובליל אור,,,5:13.104,,
,41,פינקל עומר,,,4:25.642,,
ספרינט 30-40
מקום,מספר,שם,פער,מקצה 1,מקצה 2,מקצה 3,זמן
1,86,שפרן פטר,,4:17.090,4:22.985,4:17.986,4:17.090
2,74,סלור איתי,0.024,4:17.114,13:55.788,8:55.079,4:17.114
3,78,אדלר אלכס,0.034,4:17.124,,,4:17.124
4,52,קוליקוד דימה,2.612,4:33.885,4:19.702,4:19.455,4:19.702
5,50,פירון אבנר,6.237,4:25.024,4:23.327,,4:23.327
6,73,סהר,9.224,4:38.555,4:26.314,,4:26.314
7,68,סאיג שמעון,11.117,4:55.553,4:28.207,,4:28.207
8,71,אהרון שוקי,12.390,4:31.439,4:29.480,,4:29.480
9,70,ויסבקר אסף,12.586,4:29.676,4:35.460,4:34.659,4:29.676
10,59,הרוש חובב,12.712,4:35.318,4:29.802,4:27.512,4:29.802
11,51,שינדלר אנדריי,14.222,4:38.433,4:31.312,4:27.430,4:31.312
12,55,יהושע רז,14.498,4:31.588,4:35.480,4:31.085,4:31.588
13,84,דווידוביץ ברק,16.222,4:33.312,4:34.235,4:26.046,4:33.312
14,61,גרנות בני,17.110,4:34.200,,,4:34.200
15,62,יעקוב תמיר,18.395,4:35.485,4:53.777,4:41.467,4:35.485
16,75,נובסקי מיכאל,20.360,4:37.450,10:53.678,,4:37.450
17,69,סטפק אילן,23.118,4:47.345,4:40.208,,4:40.208
18,65,אוטייבסקי מקס,28.560,4:51.436,4:45.650,,4:45.650
19,64,טל עומר,28.587,4:45.677,4:45.744,,4:45.677
20,58,אבא מיכאל,29.199,4:46.289,,,4:46.289
21,82,דהן גיא,31.367,4:53.398,4:48.457,,4:48.457
22,76,שחר דביר,39.511,4:56.601,,,4:56.601
23,66,דוד עמית,39.626,4:59.186,4:56.716,,4:56.716
24,79,קמנצב אריק,42.010,5:16.707,4:59.100,,4:59.100
25,54,זילכה רן,43.719,5:00.809,5:01.791,,5:00.809
26,77,צ'בוטריוב קונסטנטין,47.054,5:06.736,5:04.144,,5:04.144
27,67,ויס רונן,49.460,5:06.550,5:11.647,,5:06.550
28,83,ספקטור אסף,50.637,,5:07.727,,5:07.727
29,81,גוטמן איתי,51.191,5:08.383,5:08.281,,5:08.281
30,53,גרטי אבירם,1:12.091,5:32.958,5:29.181,,5:29.181
31,199,הראל מעוז,1:15.135,5:47.249,5:32.225,,5:32.225
32,200,בן ישי ערן,1:36.242,6:16.007,5:53.332,,5:53.332
33,56,זינגר אלון,1:44.085,6:01.175,6:03.821,,6:01.175
לא סיים - מקצה 1 - DNF
,83,ספקטור אסף,,,5:07.727,,
לא סיים - מקצה 2 - DNF
,78,אדלר אלכס,,4:17.124,,,
ספרינט 40-50
מקום,מספר,שם,פער,מקצה 1,מקצה 2,מקצה 3,זמן
1,91,סרוסי יוסי,,4:19.324,4:24.306,,4:19.324
2,92,פיטל טל,4.623,4:23.947,4:30.652,,4:23.947
3,108,גלילי זוהר,9.648,4:29.731,4:28.972,4:21.451,4:28.972
4,110,בוניאל אבירן,11.130,4:30.454,4:39.416,,4:30.454
5,104,בן נון צביקה,11.146,4:31.120,4:30.470,,4:30.470
6,100,דייגו ערן,13.290,4:32.614,4:33.942,,4:32.614
7,90,סטמקר ישראל,16.826,4:36.150,4:39.368,,4:36.150
8,102,דותן ירון,18.390,4:38.237,4:37.714,,4:37.714
9,97,קלנר איציק,24.128,4:44.079,4:43.452,,4:43.452
10,99,הראל גיא,27.553,4:49.768,4:46.877,,4:46.877
11,88,אביב יגאל,28.369,4:47.693,,,4:47.693
12,98,בורשטיין אופק,31.793,4:51.117,4:51.465,,4:51.117
13,107,ליבנסון אדוארד,32.339,5:05.155,4:51.663,,4:51.663
14,101,ברמן רונן,34.284,4:53.608,4:55.974,,4:53.608
15,87,שבמן אבא,34.537,4:53.861,4:58.178,4:58.484,4:53.861
16,106,רוזברוך גיא,34.912,4:56.517,4:54.236,,4:54.236
17,103,חביב צח,35.108,4:54.432,4:56.553,,4:54.432
18,94,רומר זאב,42.076,5:01.612,5:01.400,,5:01.400
19,95,חץ עודד,43.687,5:03.011,5:12.601,5:01.052,5:03.011
20,89,פלדמן גורג,1:03.548,,5:22.872,,5:22.872
21,93,כהן אבי,1:06.351,5:25.675,6:11.217,,5:25.675
לא סיים - מקצה 1 - DNF
,89,פלדמן גורג,,,5:22.872,,
לא סיים - מקצה 2 - DNF
,88,אביב יגאל,,4:47.693,,,
ספרינט 50+
מקום,מספר,שם,פער,מקצה 1,מקצה 2,מקצה 3,זמן
1,191,רמתי רונן,,4:51.977,4:53.995,,4:51.977
2,190,גרוסמן יצחק,3.692,4:55.669,4:58.724,,4:55.669
ספרינט 8-9
מקום,מספר,שם,פער,מקצה 1,מקצה 2,מקצה 3,זמן
1,109,עוזיאל אורי,,5:31.096,5:41.721,,5:31.096
2,111,ישעיה תומר,1:36.458,,7:07.554,,7:07.554
לא סיים - מקצה 1 - DNF
,111,ישעיה תומר,,,7:07.554,,
פרו
מקום,מספר,שם,פער,מקצה 1,מקצה 2,מקצה 3,זמן
1,17,חסון אורן,,4:03.924,4:01.141,,4:01.141
2,5,רפקין דימה,0.267,4:01.408,4:03.629,4:06.371,4:01.408
3,6,קדמי בן,6.406,4:28.565,4:07.547,4:13.143,4:07.547
4,10,בן חמו אוהד,6.709,4:07.850,4:14.672,4:10.326,4:07.850
5,16,חסון גל,10.468,4:15.280,4:11.609,,4:11.609
6,22,ישראלי אמנון,12.635,4:13.776,4:14.128,4:32.984,4:13.776
7,9,יתום יונתן,12.711,4:13.852,4:18.678,4:17.250,4:13.852
8,11,ברדלי יונתן,13.456,4:56.329,4:14.597,,4:14.597
9,4,שושני זהר,15.805,4:27.330,4:16.946,,4:16.946
10,3,גוב אור,16.605,5:22.035,4:17.746,4:17.792,4:17.746
11,1,בר גיא,17.517,4:24.680,4:18.658,4:07.128,4:18.658
12,19,רדליך חנוך,18.209,4:19.350,4:51.530,4:30.121,4:19.350
13,72,דורון דן,20.838,4:23.696,4:21.979,,4:21.979
14,18,טל אור,20.992,4:27.412,4:22.133,,4:22.133
15,2,פטורי אלדד,26.513,4:27.654,4:46.378,4:55.172,4:27.654
16,85,להט בני,34.351,4:35.492,4:44.836,4:37.195,4:35.492
17,14,לויט יוג'ין,1:02.252,5:03.393,5:12.445,5:06.115,5:03.393
לא סיים - מקצה 1 - DNF
,20,ביבאס ניר,,,,,
