TT
מקום,מספר,נהג,נווט,הקפות,זמן,פער,הקפה מהירה
1,21,טל וינברג,ניצן בוסתן,2,1:29:20.460,,44:15.497
2,10,עידו כהן,קיד אופיר,2,1:36:02.036,6:41.576,46:43.614
3,39,ירון כהן,יואב שיטאי,2,1:43:25.178,14:04.718,49:26.909
הקפה מהירה: (21) טל וינברג ניצן בוסתן - 44:15.497
טורבו T3
מקום,מספר,נהג,נווט,הקפות,זמן,פער,הקפה מהירה
1,35,אלירן יפרח,אדר מלמד,2,1:50:51.860,,51:37.004
2,16,נאור אשכנזי,אהרון,2,1:53:47.894,2:56.034,56:30.613
3,18,חי טויטו,,2,1:59:25.263,8:33.403,56:07.132
4,17,גבי אברג'יל,,2,2:00:10.511,9:18.651,51:54.693
5,19,שגיא נוי,,2,2:07:42.635,16:50.775,57:01.563
6,181,שגיא בורשטיין,,2,2:09:49.762,18:57.902,57:57.042
7,38,רוני פישמן,,1,1:37:47.976,1 הקפה,1:37:47.976
הקפה מהירה: (35) אלירן יפרח אדר מלמד - 51:37.004
נפסל - DSQ
,5,זיו כרמי,,,,,
,37,אמיר אבו מוך,עומרי אבו מוך,,,,
אופנועים מקצועי
מקום,מספר,נהג,נווט,הקפות,זמן,פער,הקפה מהירה
1,27,יוני לוי,,2,1:29:30.975,,44:21.094
2,4,דרור כהן,,2,1:40:41.006,11:10.031,49:11.239
הקפה מהירה: (27) יוני לוי - 44:21.094
אופנועים כללי
מקום,מספר,נהג,נווט,הקפות,זמן,פער,הקפה מהירה
1,55,ליאור שוורץ,,2,2:00:58.392,,1:00:24.711
2,11,שירן פרוחי,,2,2:08:41.496,7:43.104,1:04:15.368
3,22,איתמר מלכה,,2,2:44:33.988,43:35.596,41:51.305
הקפה מהירה: (22) איתמר מלכה - 41:51.305
נפסל - DSQ
,20,אורי גרינשטיין,,,,,
אופנועים סניורים
מקום,מספר,נהג,נווט,הקפות,זמן,פער,הקפה מהירה
1,71,ברק דודאי,,2,1:57:02.801,,57:04.097
2,14,גדי נחמני,,2,2:01:20.729,4:17.928,1:00:03.311
3,25,צליל ונדרהורן,,2,2:15:30.370,18:27.569,1:06:49.200
הקפה מהירה: (71) ברק דודאי - 57:04.097
אופנועים עד 250
מקום,מספר,נהג,נווט,הקפות,זמן,פער,הקפה מהירה
1,23,תומר שמש,,2,1:42:06.744,,50:54.754
2,61,רון קדשאי,,2,1:58:52.470,16:45.726,57:29.610
3,151,נפתלי דהן,,2,2:16:03.559,33:56.815,1:07:20.986
הקפה מהירה: (23) תומר שמש - 50:54.754
אופנועים חצים
מקום,מספר,נהג,נווט,הקפות,זמן,פער,הקפה מהירה
1,26,מוסא אבו עיצא,,3,1:16:06.565,,23:45.639
2,79,עמית שטרן,,3,1:19:31.062,3:24.497,25:43.261
הקפה מהירה: (26) מוסא אבו עיצא - 23:45.639
