סופרבייק
מרוץ 7 עונת 2017 - דלתון - 01-09-2017
מקצועית - 1000
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,11,אלמוג מנגד,30,23:52.661,46.778,-
2,94,הרון אדמוז,30,24:05.956,47.993,13.295
3,43,תובל ארד,29,24:42.848,48.401,1 הקפה
לא סיים - DNF
4,73,אבי אלבז,1,52.667,52.667,29 הקפות
הקפה מהירה: (11) אלמוג מנגד - 46.778
מקצועית - 600
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,19,ליעד לב,30,24:13.023,48.248,-
2,17,חיים זנדברג,30,24:13.264,48.444,0.241
3,34,משה מנצור,28,24:27.449,50.643,14.426
לא סיים - DNF
4,95,אלי חן,18,2:32.001,48.526,12 הקפות
הקפה מהירה: (19) ליעד לב - 48.248
עממית - 1000
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,9,מחמד סמי,16,13:35.628,50.378,-
2,4,רואי דדון,16,14:00.634,51.628,25.006
הקפה מהירה: (9) מחמד סמי - 50.378
עממית - 600
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,65,דני ליאור,16,13:43.043,50.072,-
2,5,מיכאל וולוב,16,14:04.538,50.625,21.495
3,8,ג'וליאן נוביקוב,16,14:14.877,52.133,31.834
4,55,יניב חדד,16,14:34.409,53.166,51.366
5,1,יוסי עמר,15,14:12.945,55.896,1 הקפה
6,66,חנה רוטמן,12,13:39.717,1:05.151,4 הקפות
הקפה מהירה: (65) דני ליאור - 50.072
טרקטורונים
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,7,שי אילוז,6,10:15.927,1:40.606,-
2,26,ליאור חתן,6,10:19.849,1:41.720,3.922
3,16,דניאל חדד,6,10:27.786,1:42.803,11.859
4,3,אמיר דן,6,10:44.195,1:44.684,28.268
5,88,שי ארבל,6,11:20.922,1:52.555,1:04.995
6,10,שמעון שלוש,5,10:58.439,1:59.132,1 הקפה
הקפה מהירה: (7) שי אילוז - 1:40.606
