ראלי ספרינט
מרוץ 2 עונת 2017 - בית קמה - 15-09-2017

N
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,זמן,פער
1,5,אדר מלמד,יובל מלמד,3:23.271,3:18.027,3:09.521,3:11.493,3:10.767,3:09.521,
2,130,חמאדה עודה,,3:45.551,3:23.592,3:28.820,3:23.657,3:16.080,3:16.080,6.559
3,54,נדב ירון,,3:36.318,3:28.841,3:30.211,3:25.022,3:17.680,3:17.680,8.159
4,46,אייל בן ארי,דובי מילר,3:33.791,3:27.451,3:20.705,3:27.121,3:19.467,3:19.467,9.946
5,83,קובי כהן,,3:37.969,3:31.632,3:23.359,3:24.118,,3:23.359,13.838
6,4,חזי אלבג,אלונה בן נתן,3:55.838,3:45.265,3:39.313,3:37.550,3:37.916,3:37.550,28.029
7,84,אהוד לביא,,4:05.384,3:48.703,3:49.763,,,3:49.763,40.242
CUP
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,זמן,פער
1,7,רמי גדיר,בוריס סטרוסלסקי,3:49.653,3:40.962,3:31.738,3:25.958,3:25.661,3:25.661,
2,98,אלעד הדר,סרגיי ליטבק,3:48.376,3:36.083,3:38.970,3:31.906,4:58.498,3:31.906,6.245
3,92,רפי מזרחי,ניר טורץ,3:47.639,3:40.673,3:34.870,3:36.331,3:32.428,3:32.428,6.767
4,22,ויקטור קוחניצקי,אמיר גמליאל,3:56.428,3:40.646,3:38.211,3:34.128,3:36.130,3:34.128,8.467
5,51,מרק קרייצמן,,3:59.843,3:49.341,3:48.631,3:42.206,3:53.442,3:42.206,16.545
6,94,טל ניב,,4:30.159,4:07.560,3:46.778,,,3:46.778,21.117
7,96,עמית ניב,,4:17.144,4:03.246,5:45.040,,,5:45.040,2:19.379
2X4
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,זמן,פער
1,13,עופר שוורץ,,3:57.838,3:46.681,3:38.863,3:44.496,3:48.948,3:38.863,
2,82,ניצן לוי,,3:59.317,3:50.933,3:43.752,3:42.365,3:40.935,3:40.935,2.072
OPEN
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,זמן,פער
1,1,אלירן יפרח,,3:24.768,3:15.820,3:16.480,3:10.424,3:08.764,3:08.764,
2,93,תום בריל,,7:00.271,3:17.759,3:15.265,3:11.533,3:09.213,3:09.213,0.449
3,14,מור מגידיש,,3:34.506,3:16.293,3:14.497,3:17.271,3:09.688,3:09.688,0.924
4,41,שגיא נוי,בן גלעדי,3:25.033,3:19.083,3:14.131,3:10.909,3:54.543,3:10.909,2.145
5,85,זיו כרמי,,3:22.724,3:17.474,3:14.794,3:12.835,3:11.365,3:11.365,2.601
6,89,שגיא בורשטיין,,3:23.744,3:18.196,3:16.070,3:12.086,3:12.113,3:12.086,3.322
7,95,יונתן רווה,,3:22.806,3:14.016,3:12.577,3:12.485,3:12.208,3:12.208,3.444
8,86,אייל אלבז,,8:21.245,3:26.801,3:29.780,3:17.424,3:14.758,3:14.758,5.994
9,87,רוני פישמן,,3:20.169,3:18.630,3:15.459,3:14.930,3:16.479,3:14.930,6.166
10,91,רפי ברנס,,3:27.423,3:27.162,3:19.193,,,3:19.193,10.429
11,88,שחף מזרחי,,3:35.470,3:26.338,3:20.334,3:27.155,3:19.653,3:19.653,10.889
12,97,אמיר אבו מוך,,3:35.238,3:26.852,3:24.049,,3:21.418,3:21.418,12.654
13,90,גבי אברגיל,,3:36.208,3:32.939,3:27.520,3:25.432,3:26.339,3:25.432,16.668
14,80,עודד ליבוביץ,,3:42.043,3:37.322,3:31.129,,3:31.267,3:31.129,22.365
T3
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,זמן,פער
1,99,רז גבריאלי,,3:40.969,3:26.195,3:23.353,3:19.000,3:21.764,3:19.000,
2,20,עומר פרל,,3:37.463,3:28.096,3:27.052,,,3:27.052,8.052
3,81,שלמה עיני,,3:58.739,3:49.440,3:43.482,3:40.797,3:42.975,3:40.797,21.797
T2
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,זמן,פער
1,24,דדי שפרונץ,רן סיטון,4:01.769,3:58.423,3:53.873,3:59.065,3:52.820,3:52.820,
""

© כל הזכויות שמורות לתנועה מדידת זמנים
