1,33,גיל זרקו,14,58.668,14:44:07.670,-
2,92,הוד ויינשטין,14,1:01.074,14:44:52.491,44.821
3,223,יהלי דנון,14,1:03.803,14:45:05.049,57.379
4,13,ידין נאפסו,13,1:04.196,14:44:14.452,1 הקפה
5,24,יובל בנאי,13,1:05.580,14:44:30.992,1 הקפה
6,23,ולדמן איתמר,13,1:03.105,14:44:33.899,1 הקפה
7,255,קורן יואל נחום,12,1:08.343,14:44:28.239,2 הקפות
8,9,שי ביטון,11,1:05.180,14:45:16.804,3 הקפות
לא התחיל - DNS
,133,רז ויצמן,,-,-,-
הקפה מהירה: (33) גיל זרקו - 58.668

נשים - מקצה ראשון
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,100,רן יוחאי,13,1:03.767,11:43:01.770,-
2,7,נועה כהן,13,1:04.015,11:43:08.658,6.888
3,141,דנה פרדר,12,1:11.674,11:43:48.922,1 הקפה
4,12,רון הראל,10,1:24.926,11:43:58.240,3 הקפות
לא התחיל - DNS
,9,עדי מייזל,,-,-,-
הקפה מהירה: (100) רן יוחאי - 1:03.767

נשים - מקצה שני
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,100,רן יוחאי,13,1:04.935,15:05:30.317,-
2,7,נועה כהן,13,1:06.312,15:05:55.421,25.104
3,141,דנה פרדר,12,1:12.631,15:06:26.225,1 הקפה
4,9,עדי מייזל,12,1:13.902,15:06:35.341,1 הקפה
5,12,רון הראל,10,1:26.713,15:06:33.476,3 הקפות
הקפה מהירה: (100) רן יוחאי - 1:04.935

סניורים - מקצה ראשון
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,74,מאור אברהם,13,1:00.721,11:42:36.503,-
2,169,רמי ברנס,13,1:01.356,11:43:07.691,31.188
3,5,יריב לוי,13,1:03.699,11:43:07.962,31.459
4,62,אברהים אלחמידי,13,1:03.457,11:43:10.789,34.286
5,43,עמית בן עזר,13,1:06.057,11:43:41.493,1:04.990
הקפה מהירה: (74) מאור אברהם - 1:00.721

סניורים - מקצה שני
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,74,מאור אברהם,13,1:03.097,15:05:24.688,-
2,169,רמי ברנס,13,1:01.956,15:05:36.206,11.518
3,62,אברהים אלחמידי,13,1:04.923,15:05:38.274,13.586
4,43,עמית בן עזר,13,1:04.740,15:05:39.215,14.527
לא סיים - DNF
,5,יריב לוי,4,1:04.734,14:55:37.276,9 הקפות
הקפה מהירה: (169) רמי ברנס - 1:01.956

עממית - מקצה ראשון
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,215,עמרי בשור,11,59.911,11:59:16.736,-
2,20,בן אשמי,11,59.985,11:59:21.115,4.379
3,241,אופיר ואזה,11,59.687,11:59:24.443,7.707
4,617,מיכאל גיארטנה,11,1:00.210,11:59:27.696,10.960
5,33,לידור חן,11,59.198,11:59:30.238,13.502
6,4,מאור חגאי,10,1:03.660,11:59:20.655,1 הקפה
7,26,גלעד סננס,10,1:03.445,11:59:25.116,1 הקפה
הקפה מהירה: (33) לידור חן - 59.198

עממית - מקצה שני
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,33,לידור חן,11,59.258,15:23:24.431,-
2,20,בן אשמי,11,1:01.004,15:23:33.005,8.574
3,241,אופיר ואזה,11,1:01.606,15:23:34.842,10.411
4,617,מיכאל גיארטנה,11,1:01.372,15:23:38.760,14.329
5,215,עמרי בשור,11,1:02.503,15:23:48.743,24.312
6,4,מאור חגאי,11,1:03.791,15:24:35.594,1:11.163
7,26,גלעד סננס,10,1:05.643,15:23:27.785,1 הקפה
הקפה מהירה: (33) לידור חן - 59.258

ג'וניורס - מקצה ראשון
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,108,שי ספקטור,14,59.951,12:18:12.342,-
2,101,גלב פורמנוב,14,1:00.222,12:18:14.111,1.769
3,77,ארז מלמן,14,59.926,12:18:23.409,11.067
4,4,ניב סבן,14,1:00.559,12:18:23.600,11.258
5,121,גל אזולאי,14,1:01.475,12:18:51.965,39.623
6,26,עומר רוזנבלום,14,1:02.399,12:18:54.583,42.241
7,22,אקרם אלחמידי,13,1:01.447,12:18:13.581,1 הקפה
8,66,אור זרקו,13,1:01.328,12:18:17.053,1 הקפה
9,67,כהן ירין,13,1:00.945,12:18:23.185,1 הקפה
10,46,חיים מאיר,12,1:06.581,12:18:38.863,2 הקפות
11,25,דודי שמואל,11,1:11.567,12:18:39.495,3 הקפות
12,51,רואי חצרוני,11,1:12.418,12:19:13.156,3 הקפות
לא סיים - DNF
,321,איתי אביבי,6,1:06.361,12:11:03.984,8 הקפות
הקפה מהירה: (77) ארז מלמן - 59.926

ג'וניורס - מקצה שני
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,108,שי ספקטור,14,1:00.899,15:45:04.748,-
2,101,גלב פורמנוב,14,1:00.551,15:45:05.693,0.945
3,4,ניב סבן,14,1:02.330,15:45:39.775,35.027
4,77,ארז מלמן,14,1:01.421,15:45:41.189,36.441
5,26,עומר רוזנבלום,14,1:03.985,15:45:52.749,48.001
6,67,כהן ירין,14,1:03.793,15:45:55.057,50.309
7,66,אור זרקו,14,1:03.242,15:45:57.559,52.811
8,121,גל אזולאי,14,1:04.168,15:46:07.170,1:02.422
9,22,אקרם אלחמידי,13,1:06.457,15:45:29.479,1 הקפה
10,25,דודי שמואל,12,1:11.674,15:45:37.475,2 הקפות
11,51,רואי חצרוני,12,1:13.078,15:46:05.538,2 הקפות
לא סיים - DNF
,46,חיים מאיר,10,1:10.048,15:43:16.087,4 הקפות
לא התחיל - DNS
,321,איתי אביבי,,-,-,-
הקפה מהירה: (101) גלב פורמנוב - 1:00.551

סופר ג'וניורס - מקצה ראשון
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,1,בן אלמגור,10,1:04.396,12:36:16.832,-
2,27,אופיר קייסי צמח,10,1:05.010,12:36:19.519,2.687
3,100,אוראן אוחנה,10,1:09.606,12:37:17.600,1:00.768
4,48,שי אשכנזי,9,1:10.731,12:36:34.358,1 הקפה
5,73,אור דוברובסקי,9,1:16.262,12:37:06.857,1 הקפה
6,21,איתי גולן,9,1:17.092,12:37:09.102,1 הקפה
7,11,אברהם פינחס לאובשר,8,1:19.957,12:36:33.633,2 הקפות
8,8,אופשטיין שון,8,1:22.795,12:36:45.885,2 הקפות
9,507,אורי לוי,8,1:23.981,12:37:04.051,2 הקפות
10,9,אלמוג אבן סבן,8,1:25.932,12:37:06.274,2 הקפות
11,10,עילאי שוקרון,8,1:29.583,12:38:27.889,2 הקפות
12,109,וינברג איתי,7,1:14.156,12:37:17.405,3 הקפות
הקפה מהירה: (1) בן אלמגור - 1:04.396

סופר ג'וניורס - מקצה שני
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,1,בן אלמגור,10,1:05.827,16:04:27.056,-
2,27,אופיר קייסי צמח,10,1:05.576,16:04:33.446,6.390
3,100,אוראן אוחנה,10,1:09.312,16:05:26.492,59.436
4,48,שי אשכנזי,9,1:12.225,16:04:44.232,1 הקפה
5,109,וינברג איתי,9,1:14.248,16:05:19.398,1 הקפה
6,21,איתי גולן,9,1:17.963,16:05:32.563,1 הקפה
7,11,אברהם פינחס לאובשר,8,1:20.414,16:04:31.810,2 הקפות
8,8,אופשטיין שון,8,1:23.807,16:04:51.080,2 הקפות
9,9,אלמוג אבן סבן,8,1:25.239,16:05:10.703,2 הקפות
10,507,אורי לוי,8,1:25.907,16:05:17.928,2 הקפות
11,10,עילאי שוקרון,7,1:31.365,16:05:23.504,3 הקפות
12,73,אור דוברובסקי,7,1:18.663,16:05:43.040,3 הקפות
הקפה מהירה: (27) אופיר קייסי צמח - 1:05.576

טרקטורונים - מקצה ראשון
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,5,עומר שחר,7,1:00.422,12:48:53.990,-
2,13,אמיר דן,7,1:00.409,12:48:58.935,4.945
3,525,אביב נגרין,7,1:03.002,12:49:22.249,28.259
4,16,דניאל חדד,7,1:01.706,12:49:29.314,35.324
לא סיים - DNF
,36,יובל אבוטבול,4,1:09.938,12:46:44.134,3 הקפות
הקפה מהירה: (13) אמיר דן - 1:00.409

טרקטורונים - מקצה שני
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,13,אמיר דן,7,59.583,16:19:42.159,-
2,5,עומר שחר,7,1:02.025,16:20:21.658,39.499
3,16,דניאל חדד,6,1:09.477,16:20:05.698,1 הקפה
4,36,יובל אבוטבול,6,1:14.031,16:20:41.091,1 הקפה
לא התחיל - DNS
,525,אביב נגרין,,-,-,-
הקפה מהירה: (13) אמיר דן - 59.583

© כל הזכויות שמורות לתנועה מדידת זמנים
