מוטוקרוס
מרוץ 2 עונת 2018 - וינגייט - 14-04-2018

MX1 - מקצה ראשון
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,10,דור עטיה,17,52.945,10:21:24.891,-
2,12,שחר בלולו,17,52.629,10:21:26.426,1.535
3,100,אליקו אוחנה,17,54.961,10:22:15.341,50.450
4,5,זיו כרמי,17,55.187,10:22:15.933,51.042
5,609,בר נוב,17,54.952,10:22:18.389,53.498
6,49,קוג'אן נפסו,16,57.858,10:22:05.800,1 הקפה
7,23,נדב שורץ,16,58.321,10:22:08.494,1 הקפה
8,32,גל חסון,16,57.238,10:22:36.908,1 הקפה
הקפה מהירה: (12) שחר בלולו - 52.629

MX1 - מקצה שני
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,12,שחר בלולו,18,53.606,13:40:27.101,-
2,100,אליקו אוחנה,18,55.596,13:41:15.940,48.839
3,5,זיו כרמי,18,57.054,13:41:20.387,53.286
4,609,בר נוב,18,56.644,13:41:22.127,55.026
5,32,גל חסון,18,56.590,13:41:29.814,1:02.713
6,23,נדב שורץ,17,58.744,13:40:56.186,1 הקפה
7,49,קוג'אן נפסו,17,58.216,13:41:10.833,1 הקפה
לא סיים - DNF
,10,דור עטיה,,-,13:24:03.573,18 הקפות
הקפה מהירה: (12) שחר בלולו - 53.606

MX2 - מקצה ראשון
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,1,דן מיה,18,54.512,10:44:34.534,-
2,392,שגיא צרפתי,18,54.305,10:44:49.770,15.236
3,777,דוד פורמנוב,18,54.640,10:44:53.393,18.859
4,47,סוף סלע,18,53.396,10:44:57.202,22.668
5,22,איתי דוב,18,55.353,10:45:09.351,34.817
6,51,גיא דוברובסקי,18,56.385,10:45:27.047,52.513
7,7,שי מנצור,17,56.249,10:44:37.385,1 הקפה
8,146,רוני רגף,17,56.469,10:44:55.898,1 הקפה
9,107,הראל מלמן,17,55.221,10:45:00.450,1 הקפה
10,36,בן חביב,17,59.953,10:45:19.999,1 הקפה
הקפה מהירה: (47) סוף סלע - 53.396

MX2 - מקצה שני
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,1,דן מיה,18,55.153,14:02:39.840,-
2,47,סוף סלע,18,54.781,14:02:42.445,2.605
3,392,שגיא צרפתי,18,55.322,14:03:03.678,23.838
4,777,דוד פורמנוב,18,55.483,14:03:18.001,38.161
5,146,רוני רגף,18,56.373,14:03:27.876,48.036
6,7,שי מנצור,18,57.118,14:03:33.520,53.680
7,107,הראל מלמן,18,57.604,14:03:34.232,54.392
8,22,איתי דוב,18,57.474,14:03:39.110,59.270
9,51,גיא דוברובסקי,17,57.502,14:02:43.968,1 הקפה
10,36,בן חביב,17,1:00.161,14:03:41.890,1 הקפה
הקפה מהירה: (47) סוף סלע - 54.781

פתוחה - מקצה ראשון
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,22,אריאל דדיה,14,56.811,11:04:04.432,-
2,15,גיא אליתים,14,57.244,11:04:25.996,21.564
3,44,תמיר אוהד,14,57.921,11:04:27.061,22.629
4,69,מוטי אלקיים,14,58.515,11:04:40.884,36.452
5,100,חיים אוחנה,12,58.657,11:04:47.756,2 הקפות
לא התחיל - DNS
,72,רמי צמח,,-,-,-
הקפה מהירה: (22) אריאל דדיה - 56.811

פתוחה - מקצה שני
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,22,אריאל דדיה,14,56.604,14:23:41.096,-
2,15,גיא אליתים,14,57.102,14:23:41.625,0.529
3,69,מוטי אלקיים,14,58.530,14:24:26.484,45.388
4,44,תמיר אוהד,14,58.594,14:24:31.956,50.860
לא התחיל - DNS
,100,חיים אוחנה,,-,-,-
הקפה מהירה: (22) אריאל דדיה - 56.604

רוקיז - מקצה ראשון
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,33,גיל זרקו,14,56.963,11:23:37.296,-
2,23,ולדמן איתמר,13,1:01.303,11:23:42.591,1 הקפה
3,92,הוד ויינשטין,13,1:00.086,11:23:45.315,1 הקפה
4,223,יהלי דנון,13,1:03.369,11:24:05.545,1 הקפה
5,9,שי ביטון,13,1:03.269,11:24:21.543,1 הקפה
6,24,יובל בנאי,13,1:05.586,11:24:41.428,1 הקפה
7,13,ידין נאפסו,12,1:02.117,11:23:38.206,2 הקפות
8,255,קורן יואל נחום,12,1:08.811,11:24:24.506,2 הקפות
9,133,רז ויצמן,11,1:08.343,11:23:51.099,3 הקפות
הקפה מהירה: (33) גיל זרקו - 56.963

רוקיז - מקצה שני
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
