אנדורו
מרוץ 5 עונת 2017 - יער צרעה - 10-11-2017
E1
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
10,912,אלירן ברכה,3,19:02.512,1:06:35.199,1 הקפה
11,314,איתמר לוי,3,19:01.589,1:06:37.507,1 הקפה
12,114,ליאור עוזיאל,3,19:03.070,1:07:29.581,1 הקפה
13,102,אודי ברוך,3,19:43.509,1:10:18.853,1 הקפה
14,150,שלו בן עמי,3,19:50.563,1:14:44.965,1 הקפה
15,213,ראובן גולן,3,21:26.713,1:16:00.263,1 הקפה
16,507,חי עילאי יבלונוביץ,3,20:50.570,1:17:06.719,1 הקפה
17,722,אייל רחימה,3,22:10.504,1:18:24.172,1 הקפה
18,313,נריה בן דור,3,20:57.946,1:19:58.867,1 הקפה
19,500,עוזיאל הלל,3,22:12.703,1:20:18.645,1 הקפה
20,911,דורון הלל,3,23:23.402,1:20:44.958,1 הקפה
21,511,נאור אליאס,3,25:31.097,1:21:57.723,1 הקפה
22,221,אור ברמן,3,22:54.467,1:27:54.945,1 הקפה
23,81,מרדכי שלומי,2,23:49.420,1:03:01.820,2 הקפות
24,196,אלון דעוס,2,30:38.545,1:03:18.212,2 הקפות
25,510,אבטליון כהן,2,30:58.862,1:05:13.885,2 הקפות
26,41,עידו ברקאי,2,19:48.626,1:07:09.263,2 הקפות
27,244,דור סלע,2,32:28.687,1:12:19.897,2 הקפות
28,202,אסף אדום,2,35:24.353,1:16:43.409,2 הקפות
29,921,יניב אלקיים,1,-,1:08:45.946,3 הקפות
נפסל - DSQ
,176,יוני ויסמן,3,31:43.965,1:30:18.215,1 הקפה
,888,מיכאל יפרח,2,17:07.355,41:41.253,2 הקפות
לא סיים - DNF
,10,אליסף פרשטנד,2,30:25.411,53:14.514,2 הקפות
,68,יובל לוי,1,-,28:58.617,3 הקפות
,506,משה הורביץ,1,-,41:39.148,3 הקפות
הקפה מהירה: (531) אושרי פלח - 16:19.044
סניורים
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,125,רונן מדיאל,6,14:28.234,1:31:08.777,-
2,28,צחי בני,6,15:04.884,1:32:37.983,1:29.206
3,750,איציק קלנר,6,15:09.335,1:34:44.606,3:35.829
4,745,שאולי חמו,6,15:09.370,1:34:58.315,3:49.538
5,930,יעקב כהן,6,15:58.856,1:38:29.934,7:21.157
6,72,רמי צמח,6,15:23.456,1:39:33.655,8:24.878
7,909,אודי לפיד,6,15:53.237,1:39:48.864,8:40.087
8,71,ברק דודאי,6,15:32.720,1:41:02.949,9:54.172
9,403,רונן כהן,6,15:47.980,1:42:45.046,11:36.269
10,519,דרור כהן,5,17:10.277,1:33:04.575,1 הקפה
11,136,מיכאל ניזרי,5,17:33.382,1:35:33.247,1 הקפה
12,46,שגיא שוורץ,5,17:46.411,1:36:18.207,1 הקפה
13,317,ארז זנברג,5,17:55.891,1:41:49.202,1 הקפה
14,121,אוריה כרמלי,4,14:33.104,1:30:00.545,2 הקפות
לא סיים - DNF
,276,ארלה כץ,2,17:41.229,39:12.804,4 הקפות
,501,עופר בנימין,2,26:16.874,54:28.423,4 הקפות
הקפה מהירה: (125) רונן מדיאל - 14:28.234
מהלך המירוץ
מקום,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,הקפה 7,הקפה 8,הקפה 9,הקפה 10
1,5,5,25,25,25,25,25,25,25,25
2,25,25,5,5,5,5,5,5,5,5
3,8,8,8,8,8,22,8,22,22,
4,47,47,22,22,22,8,22,8,8,
5,9,22,61,61,61,61,61,61,88,
6,2,2,2,88,88,2,2,88,61,
7,61,61,88,2,2,88,88,2,2,
8,22,88,3,3,3,3,3,3,3,
9,88,9,9,9,515,515,518,4,4,
10,355,3,125,515,9,518,4,84,84,
11,125,125,518,518,518,4,515,94,94,
12,750,518,515,125,4,84,84,9,355,
13,3,121,4,4,84,9,94,355,9,
14,28,515,355,355,94,94,9,6,,
15,121,4,28,84,125,355,355,47,,
16,49,28,84,94,355,125,6,217,,
17,518,355,94,28,28,28,217,30,,
18,930,750,750,750,217,212,47,,,
19,745,49,121,217,212,217,30,,,
20,515,745,745,745,6,6,146,,,
21,4,217,217,212,517,517,49,,,
22,72,84,212,6,745,30,85,,,
23,117,930,14,517,30,47,39,,,
24,6,94,6,117,750,750,,,,
25,217,14,517,30,111,745,,,,
26,909,6,117,111,117,111,,,,
27,71,212,30,930,47,117,,,,
28,403,909,930,47,175,175,,,,
29,84,517,111,175,930,95,,,,
30,14,117,47,85,95,930,,,,
31,44,111,49,49,85,79,,,,
32,94,818,818,103,103,103,,,,
33,212,30,85,95,49,72,,,,
34,517,71,909,909,800,909,,,,
35,818,72,103,800,79,123,,,,
36,30,85,175,123,909,800,,,,
37,79,79,95,79,123,71,,,,
38,111,103,79,72,72,304,,,,
39,519,800,72,818,818,85,,,,
40,175,95,123,71,71,49,,,,
41,85,175,403,403,304,403,,,,
42,103,44,71,33,146,64,,,,
43,39,123,800,300,403,146,,,,
44,95,403,300,64,300,818,,,,
45,317,33,33,21,64,512,,,,
46,800,300,64,304,512,300,,,,
47,300,64,146,146,20,39,,,,
48,123,39,21,39,201,,,,,
49,46,146,304,512,39,,,,,
50,146,519,39,201,315,,,,,
51,33,21,512,20,63,,,,,
52,512,46,46,63,444,,,,,
53,64,669,669,26,519,,,,,
54,136,512,63,42,26,,,,,
55,669,90,20,65,65,,,,,
56,26,42,201,90,42,,,,,
57,90,136,519,700,136,,,,,
58,20,304,136,519,104,,,,,
59,21,63,26,315,46,,,,,
60,276,20,42,1,669,,,,,
61,508,276,90,444,45,,,,,
62,42,26,700,46,101,,,,,
63,63,700,101,136,317,,,,,
64,101,201,1,101,530,,,,,
65,70,1,317,669,,,,,,
66,108,317,65,531,,,,,,
67,304,101,444,104,,,,,,
68,10,505,315,45,,,,,,
69,201,315,104,505,,,,,,
70,700,444,531,317,,,,,,
71,1,888,13,530,,,,,,
72,505,104,45,121,,,,,,
73,13,13,505,253,,,,,,
74,530,65,89,169,,,,,,
75,444,530,530,229,,,,,,
76,888,45,509,602,,,,,,
77,104,531,305,14,,,,,,
78,89,89,50,,,,,,,
79,65,305,600,,,,,,,
80,176,509,912,,,,,,,
81,507,314,314,,,,,,,
82,169,50,114,,,,,,,
83,315,912,102,,,,,,,
84,305,114,169,,,,,,,
85,45,600,253,,,,,,,
86,314,169,150,,,,,,,
87,531,102,213,,,,,,,
88,509,213,507,,,,,,,
89,50,500,722,,,,,,,
90,501,10,313,,,,,,,
91,912,253,500,,,,,,,
92,114,501,911,,,,,,,
93,68,313,229,,,,,,,
94,511,511,511,,,,,,,
95,102,150,602,,,,,,,
96,213,722,221,,,,,,,
97,500,507,176,,,,,,,
