ראלי רייד
עונת 2016 - צאלים - 14-10-2016

OPEN
מקום,מספר,נהג,נווט,הקפות,זמן,פער,הקפה מהירה
1,10,עידו כהן,נמרוד אופיר,2,1:35:52.573,,47:49.835
2,1,ירון כהן,חיים כהן,2,1:51:54.210,16:01.637,50:57.509
3,9,אייל לביא,אלעד לביא,2,1:53:26.908,17:34.335,48:01.074
4,3,טל וינברג,עידו שקל,1,55:37.265,1 הקפה,55:37.265
הקפה מהירה: (10) עידו כהן - 47:49.835

T1
מקום,מספר,נהג,נווט,הקפות,זמן,פער,הקפה מהירה
1,8,שי שמעוני,לירן ליטבק,2,1:49:32.456,,54:14.595
2,11,רז הימן,עוז הימן,2,1:49:43.590,11.134,54:04.342
הקפה מהירה: (11) רז הימן - 54:04.342

T1.3
מקום,מספר,נהג,נווט,הקפות,זמן,פער,הקפה מהירה
1,20,דני פרל,איתי מולדבסקי,2,2:03:30.369,,57:13.028
2,6,רוני פישמן,,2,2:37:44.845,34:14.476,56:53.953
3,7,שגיא ברונשטיין,,1,53:50.375,1 הקפה,53:50.375
הקפה מהירה: (7) שגיא ברונשטיין - 53:50.375

T2
מקום,מספר,נהג,נווט,הקפות,זמן,פער,הקפה מהירה
1,5,דדי שפרונץ,גיא גוטליב,1,1:24:35.681,,1:24:35.681
הקפה מהירה: (5) דדי שפרונץ - 1:24:35.681

אחר
מקום,מספר,נהג,נווט,הקפות,זמן,פער,הקפה מהירה
1,4,אילן פטורי,אור אלירז,1,1:28:18.619,,1:28:18.619
הקפה מהירה: (4) אילן פטורי - 1:28:18.619

אופנועים כללי
מקום,מספר,נהג,נווט,הקפות,זמן,פער,הקפה מהירה
1,52,ליאור שורץ,,2,2:20:49.831,,1:06:55.412
2,53,איתמר מלכה,,2,2:54:29.035,33:39.204,1:12:33.177
הקפה מהירה: (52) ליאור שורץ - 1:06:55.412

אופנועים מקצועית
מקום,מספר,נהג,נווט,הקפות,זמן,פער,הקפה מהירה
1,60,יונתן לוי,,2,1:38:45.297,,47:49.508
2,58,צחי בן גיגי,,2,1:52:41.791,13:56.494,55:11.110
3,57,ירון יעקובוביץ,,2,1:53:45.040,14:59.743,54:57.861
הקפה מהירה: (60) יונתן לוי - 47:49.508

אופנועים סניורים
מקום,מספר,נהג,נווט,הקפות,זמן,פער,הקפה מהירה
1,59,צליל ונדרהורן,,2,2:00:36.677,,1:00:02.281
2,54,דורון וינטר,,2,2:01:59.683,1:23.006,59:16.725
3,55,ברק דודאי,,2,2:04:59.362,04:22.685,1:01:51.548
4,51,אורן אריאל,,2,2:24:59.228,24:22.551,1:12:09.582
הקפה מהירה: (54) דורון וינטר - 59:16.725

אופנועים עד 250
מקום,מספר,נהג,נווט,הקפות,זמן,פער,הקפה מהירה
1,56,יעקב דדיה,,2,2:16:26.513,,1:07:13.621
הקפה מהירה: (56) יעקב דדיה - 1:07:13.621

© כל הזכויות שמורות לתנועה מדידת זמנים
