  מקצועית E1 
 הקפה מהירה: (11)  גיא נורסלע  - 3:50.156
  ג'וניור מתחילים  
מקום,מספר,שם,הקפות,זמן כולל,פער,הקפה מהירה
1,32,שלו ווקנין ,14,01:02:36.644,,4:12.657
2,45,שי אביגדור ,13,01:00:53.242,1 הקפה,4:21.651
3,21,יהב פייגין ,13,01:00:53.600,1 הקפה,4:15.367
4,104,גיא גולן ,13,01:00:54.916,1 הקפה,4:12.952
5,17,הראל הימן ,13,01:02:31.073,1 הקפה,4:25.378
6,40,רז עידן ,13,01:04:35.834,1 הקפה,4:32.039
7,30,גיא דובורבסקי ,12,01:03:22.384,2 הקפות,4:30.988
8,12,גילעד הימן ,11,01:03:04.360,3 הקפות,4:52.669
9,37,הוד ויינשטיין ,9,01:00:09.507,5 הקפות,6:00.821
 הקפה מהירה: (32)  שלו וקנין  - 4:12.657
  סופר ג'וניור  
מקום,מספר,שם,הקפות,זמן כולל,פער,הקפה מהירה
1,66,אור זרקו ,7,40:20.458,,5:21.167
2,299,אילי ביבי ,7,42:33.294,2:12.836,5:30.995
3,1,בן אלמגור ,7,42:59.782,2:39.324,5:30.904
4,72,איתמר אוזון ,7,44:43.360,4:22.902,5:48.300
5,77,ארז מלמן ,6,48:50.114,1 הקפה,6:55.490
 הקפה מהירה: (66)  אור זרקו  - 5:21.167
  סופר ג'וניורס - מתחילים  
מקום,מספר,שם,הקפות,זמן כולל,פער,הקפה מהירה
1,31,איתמר ברדה ,4,40:05.709,,7:56.589
2,119,ניב הימן ,3,49:35.872,1 הקפה,15:11.705
 הקפה מהירה: (31)  איתמר ברדה  - 7:56.589
  מהלך המירוץ  
מקום,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,הקפה 7,הקפה 8,הקפה 9,הקפה 10,הקפה 11,הקפה 12,הקפה 13,הקפה 14,הקפה 15
1,47,11,11,11,11,11,11,11,11,11,11,11,11,11,11
2,11,47,47,47,47,47,47,47,47,47,47,47,47,47,47
3,33,160,160,160,160,160,160,160,160,160,160,160,160,160,
4,160,33,33,33,33,33,33,32,32,32,32,32,32,32,
5,21,21,32,32,32,32,32,33,33,33,33,33,33,33,
6,32,32,321,321,321,45,45,45,45,45,45,321,321,,
7,45,45,45,45,45,321,321,321,321,321,321,45,21,,
8,321,321,21,21,21,21,21,21,21,21,21,21,45,,
9,104,104,104,17,17,17,17,17,104,104,104,104,104,,
10,17,17,17,104,104,104,104,104,17,17,17,17,17,,
11,12,12,12,40,40,40,40,40,40,40,40,40,40,,
12,30,40,40,12,30,30,30,30,30,30,30,30,,,
13,40,30,30,30,12,12,12,12,12,12,12,,,,
14,37,66,66,66,66,66,66,37,37,,,,,,
15,66,37,299,299,299,299,299,,,,,,,,
16,299,299,72,1,1,1,1,,,,,,,,
17,1,1,1,72,72,72,72,,,,,,,,
18,72,72,37,37,37,37,37,,,,,,,,
19,77,77,77,77,77,77,,,,,,,,,
20,31,31,31,31,,,,,,,,,,,
21,119,119,119,,,,,,,,,,,,
