ג'ימקאנה
עונת 2015 - משמר דוד 2 - 27-11-2015

הנעה אחורית
מקום,מספר,שם,מקצה 3,עונשין,מקצה 4,עונשין,מקצה 5,עונשין,זמן,פער
2,35,גידי קרונין,39.899,,39.571,,39.296,,39.296,0.290
3,22,גיא אמודי,39.456,,39.540,,39.762,,39.456,0.450
4,21,קובי כהן,40.211,,39.533,,39.486,,39.486,0.480
5,9,פיליפ רוזין,40.187,,40.291,,39.907,,39.907,0.901

מקום,מספר,שם,קטגוריה,זמן,עונשין,פער
1,27,דקל נער,אחורית,37.920,,
2,4,שירן ששון,פתוחה,38.406,,0.486
3,30,דודי איטח,כפולה,38.646,,0.726
4,7,איליה רובינוב,קדמית,38.954,,1.034
