ראלי ספרינט
מרוץ 3 עונת 2018 - בית קמה - 19-10-2018

CUP
מקום,מספר,שם,מקצה 1,מקצה 2,מקצה 3,הקפה מהירה,פער
1,7,רמי גדיר,-,4:03.045,3:54.136,3:54.136,-
2,8,אלעד הדר,4:18.322,4:01.978,3:59.191,3:59.191,5.055
N
מקום,מספר,שם,מקצה 1,מקצה 2,מקצה 3,הקפה מהירה,פער
1,83,קובי כהן,4:00.477,3:51.319,3:46.857,3:46.857,-
2,5,אדר מלמד,3:55.741,3:51.722,3:48.788,3:48.788,1.931
3,46,איל בן ארי,4:05.089,3:53.519,3:50.199,3:50.199,3.342
4,84,אהוד לביא,4:17.056,4:07.638,3:58.873,3:58.873,12.016
S
מקום,מספר,שם,מקצה 1,מקצה 2,מקצה 3,הקפה מהירה,פער
1,13,צור שוורץ,4:37.609,4:27.978,-,4:27.978,-
SPEED CAR
מקום,מספר,שם,מקצה 1,מקצה 2,מקצה 3,הקפה מהירה,פער
1,4,יובל שרון,3:56.782,3:51.382,3:42.873,3:42.873,-
2,92,יוסי דנן,4:29.350,-,-,4:29.350,46.477
T3
מקום,מספר,שם,מקצה 1,מקצה 2,מקצה 3,הקפה מהירה,פער
1,23,אלירן יפרח,4:00.363,3:45.737,3:42.546,3:42.546,-
2,2,איל אלבז,4:12.224,3:47.078,4:19.994,3:47.078,4.532
3,41,שגיא נוי,3:55.668,3:53.239,3:50.736,3:50.736,8.190
4,666,שחף מזרחי,4:03.646,3:54.602,3:51.868,3:51.868,9.322
5,18,עזר חי,4:15.562,4:00.427,3:55.767,3:55.767,13.221
6,10,חי טוויטו,4:11.361,4:06.953,3:58.123,3:58.123,15.577
7,1,רוני פישמן,4:01.355,4:05.705,-,4:01.355,18.809
8,3,שרון בן עמי,4:16.540,4:17.744,4:05.784,4:05.784,23.238
9,15,שלמה עייני,4:32.062,4:23.067,4:11.463,4:11.463,28.917

© כל הזכויות שמורות לתנועה מדידת זמנים
