GROUP N - STI
מקום,מספר,נהג,נווט,פער,הקפה 1,הקפה 2,הקפה 3,עונשין,זמן
1,24,מלמד יובל,יוחאי מיקי,,10:13.735,10:30.503,10:43.212,,31:27.450
2,32,חמאדה עודה,פרחאת עבדאללה,54.506,10:55.772,10:44.765,10:41.419,,32:21.956
3,21,בן ארי ניר,מילר דובי,2:12.220,11:26.015,11:12.703,11:00.952,,33:39.670
4,28,בריל איציק,גמליאל אמיר,2:36.885,11:20.219,11:28.725,11:05.391,10.000,34:04.335
5,33,לביא אהוד,מולדבסקי איתי,2:58.628,11:48.011,11:21.658,11:16.409,,34:26.078
לא סיים - הקפה 2 - DNF
,22,ירון נדב,ירון ניר,,11:31.828,,,,
CUP GT/WRX
מקום,מספר,נהג,נווט,פער,הקפה 1,הקפה 2,הקפה 3,עונשין,זמן
1,25,דר רון,שוורץ עופר,,11:15.825,11:06.838,11:36.821,,33:59.484
2,26,גדיר רמי,סטרוסלסקי בוריס,4.829,11:03.605,11:14.940,10:30.768,1:15.000,34:04.313
3,29,ג"אבר פאדי,אלישקוב סימון,19.589,11:48.090,11:27.094,11:03.889,,34:19.073
4,23,גדז" מישל,פראן שי,29.440,12:04.246,11:25.953,10:58.725,,34:28.924
5,27,לזר דודי,בן שמואל גדעון,2:41.128,12:35.409,12:03.538,12:01.665,,36:40.612
GROUP A
מקום,מספר,נהג,נווט,פער,הקפה 1,הקפה 2,הקפה 3,עונשין,זמן
1,30,כהן אורי,ליפז אופיר,,14:17.765,13:20.223,13:42.983,,41:20.971
T1 4X4
מקום,מספר,נהג,נווט,פער,הקפה 1,הקפה 2,הקפה 3,עונשין,זמן
1,13,שמעוני שי,ליטבק לירן,,10:44.070,10:27.922,10:29.747,10.000,31:51.739
2,11,רז הימן,הלל סגל,29.102,10:58.752,10:50.374,10:31.715,,32:20.841
T1 2X4
מקום,מספר,נהג,נווט,פער,הקפה 1,הקפה 2,הקפה 3,עונשין,זמן
1,10,אברמוב ארז,,,11:31.937,11:22.869,11:10.458,,34:05.264
2,9,אילן פטורי,איציק סגל,26:22.648,33:05.336,13:54.191,13:28.385,,01:00:27.912
T2
מקום,מספר,נהג,נווט,פער,הקפה 1,הקפה 2,הקפה 3,עונשין,זמן
1,16,רועי שפירא,מולדבסקי איתי,,11:52.629,11:53.673,12:12.959,,35:59.261
2,14,שפרונץ דדי,גוטליב גיא,1:58.130,13:01.413,12:31.203,12:24.775,,37:57.391
3,15,גז צבי,דהאן אבי,14:35.372,12:49.201,12:37.230,25:08.202,,50:34.633
TT
מקום,מספר,נהג,נווט,פער,הקפה 1,הקפה 2,הקפה 3,עונשין,זמן
1,18,לביא איל,קיד נמרוד,,11:15.994,10:34.335,10:46.924,,32:37.253
לא סיים - הקפה 1 - DNF
,19,כהן ירון,שיטאי יואב,,,12:27.176,12:03.885,,
LUTV
מקום,מספר,נהג,נווט,פער,הקפה 1,הקפה 2,הקפה 3,עונשין,זמן
1,7,בריל תום,,,10:13.486,10:16.543,10:15.247,,30:45.276
2,1,שרון יובל,,1:38.732,10:47.205,10:46.696,10:50.107,,32:24.008
3,31,בורשטיין שגיא,,2:11.243,11:08.170,10:55.151,10:53.198,,32:56.519
4,8,פרל דני,,4:17.095,12:09.676,11:31.597,11:21.098,,35:02.371
RZR CUP
מקום,מספר,נהג,נווט,פער,הקפה 1,הקפה 2,הקפה 3,עונשין,זמן
1,3,ביתן גד,,,11:51.955,11:49.610,11:44.590,,35:26.155
2,4,פישמן רוני,,6.629,12:00.039,11:48.499,11:44.246,,35:32.784
3,2,לביא אלעד,,54.974,12:05.113,12:29.467,11:46.549,,36:21.129
4,6,תימור גיל,,1:52.157,12:36.549,12:28.668,12:13.095,,37:18.312
5,5,מלמד אדר,,4:15.169,11:59.725,16:11.383,11:30.216,,39:41.324
