ראלי ספרינט
מרוץ 1 עונת 2018 - ערד - 06-04-2018

CUP
מקום,מספר,שם,מקצה 3,מקצה 4,מקצה 5,הקפה מהירה,פער
1,98,אלעד הדר,DNF,4:04.374,4:05.044,4:04.374,-
2,94,טל ניב,4:27.027,4:24.100,4:09.358,4:09.358,4.984
3,96,עמית ניב,4:13.719,4:12.466,4:10.626,4:10.626,6.252
4,22,ויקטור קוחניצקי,4:15.663,4:13.531,4:12.971,4:12.971,8.597
Gr N
מקום,מספר,שם,מקצה 3,מקצה 4,מקצה 5,הקפה מהירה,פער
1,5,אדר מלמד,3:49.203,DNS,DNS,3:49.203,-
2,14,חמאדה עודה,3:52.789,DNF,DNS,3:52.789,3.586
3,83,קובי כהן,3:55.402,3:55.183,3:58.157,3:55.183,5.980
T3 OP
מקום,מספר,שם,מקצה 3,מקצה 4,מקצה 5,הקפה מהירה,פער
1,23,אלירן יפרח,3:46.763,3:45.282,3:43.563,3:43.563,-
2,2,יוני רווה,3:47.748,3:46.377,DSQ,3:46.377,2.814
3,77,מור מגידיש,3:51.949,3:46.541,3:48.838,3:46.541,2.978
4,41,שגיא נוי,3:55.850,DNF,3:48.854,3:48.854,5.291
5,17,גבי אברג'יל,3:51.747,3:50.436,3:51.968,3:50.436,6.873
6,15,יובל שרון,3:56.538,DNF,3:52.763,3:52.763,9.200

© כל הזכויות שמורות לתנועה מדידת זמנים
