ראלי רייד
עונת 2014 - טל שחר - 30-05-2014

RZR CUP
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,עונשין,זמן,פער
1,75,מלמד אדר,14:24.335,14:18.644,14:28.780,14:50.231,,58:01.990,
2,77,ביתן גד,15:02.362,14:59.224,14:45.410,14:47.704,,59:34.700,1:32.710
3,79,לביא אלעד,14:57.152,14:44.775,15:08.243,14:44.890,,59:35.060,1:33.070
4,76,מגידיש מור,15:01.722,15:12.807,15:02.376,14:50.036,,1:00:06.941,2:04.951
5,88,מזרחי רפאל,14:57.855,14:56.421,18:22.564,16:40.725,,1:04:57.565,6:55.575
לא סיים - DNF
,80,תימור גיל,,,,,,,
TT
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,עונשין,זמן,פער
1,56,כהן ירון,13:18.965,12:56.219,12:53.075,12:39.457,,51:47.716,
2,52,וייברג טל,12:52.888,13:12.188,13:31.739,12:31.363,,52:08.178,20.462
3,53,לביא אייל,12:53.765,12:41.162,13:26.076,13:35.403,,52:36.406,48.690
4,54,סברוב לירן,13:11.367,14:10.496,13:43.884,13:04.311,,54:10.058,2:22.342
5,51,דני גולן,15:53.231,15:38.598,15:50.819,15:52.337,,1:03:14.985,11:27.269
לא סיים - DNF
,50,יפרח אלירן,,,,,,,
T1 2X4
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,עונשין,זמן,פער
1,58,פטורי אילן,15:05.081,15:09.777,14:49.502,14:47.962,,59:52.322,
2,59,כהן צביקה,16:10.820,15:52.561,15:55.108,15:50.291,,1:03:48.780,3:56.458
T1 4X4
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,עונשין,זמן,פער
1,60,שקל עידו,14:36.218,15:25.885,16:23.168,15:28.629,,1:01:53.900,
2,57,אברמוב יורם,19:05.972,19:19.049,18:37.984,18:47.008,,1:15:50.013,13:56.113
T1-3
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,עונשין,זמן,פער
1,55,אברמוב ארז,13:30.390,16:25.651,14:00.969,14:01.927,,57:58.937,
T2
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,עונשין,זמן,פער
1,63,באבא ניסים,21:30.505,18:32.639,23:43.380,18:57.887,,1:22:44.411,
לא סיים - DNF
,62,גז צבי,,,,,,,
T3
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,עונשין,זמן,פער
1,70,פרל דני,13:58.297,14:04.769,14:13.266,13:58.633,,56:14.965,
2,74,בורנשטיין שגיא,13:29.544,18:37.349,14:05.595,14:00.890,,1:00:13.378,3:58.413
3,72,בריל תום,13:19.298,16:17.784,13:29.858,12:59.539,5:00.000,1:01:06.479,4:51.514
4,71,פישמן רוני,13:43.442,13:52.226,17:21.360,17:03.008,,1:02:00.036,5:45.071
5,38,שרון יובל,14:09.215,13:48.053,19:04.166,16:46.711,,1:03:48.145,7:33.180
לא סיים - DNF
,73,מזרחי שחף,,,,,,,
אופנועים מקצועי
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,עונשין,זמן,פער
1,1,וולנברג ערן,13:41.213,14:03.845,13:39.964,13:18.643,,54:43.665,
סניורים
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,עונשין,זמן,פער
1,8,וינטר דורון,15:03.654,15:22.175,15:00.145,14:23.455,,59:49.429,
לא סיים - DNF
,10,שושני עומר,,,,,,,
אופנועים כללי
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,עונשין,זמן,פער
1,3,שוורץ ליאור,15:38.266,17:02.147,16:04.845,15:11.673,,1:03:56.931,
2,2,מלכה איתמר,16:52.468,17:07.646,17:48.399,16:48.278,,1:08:36.791,4:39.860
אופנועים עד 250
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,עונשין,זמן,פער
1,4,וינברג נתן,15:57.088,16:19.320,16:09.930,15:15.402,,1:03:41.740,
QUAD
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,עונשין,זמן,פער
1,30,דהן נועם,14:20.170,14:10.055,14:06.549,14:24.057,,57:00.831,
2,36,לוי נצח,14:33.207,12:21.430,1:00:00.000,1:00:00.000,,2:26:54.637,1:29:53.806
3,35,יוגב שחר,14:08.600,14:02.418,1:00:00.000,1:00:00.000,,2:28:11.018,1:31:10.187
4,31,מסארווה אמיל,14:51.601,14:40.417,1:00:00.000,1:00:00.000,,2:29:32.018,1:32:31.187
5,39,גולן טל,13:45.590,15:51.586,1:00:00.000,1:00:00.000,,2:29:37.176,1:32:36.345
6,37,כץ רועי,14:33.481,15:15.865,1:00:00.000,1:00:00.000,,2:29:49.346,1:32:48.515
7,32,בשארי דביר,16:30.289,17:37.933,1:00:00.000,1:00:00.000,,2:34:08.222,1:37:07.391
לא סיים - DNF
,33,שומלי עלא,,,,,,,
