ראלי
עונת 2013 - בקעת הירדן - 29-11-2013

CUP WRX
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,הקפה 4,זמן,פער
1,29,"ג""אבר פאדי",אלישקוב סימון,10:06.802,9:38.450,9:44.505,9:23.498,38:53.255,
2,25,דר רון,וייסנבלום אלכסיי,10:12.086,9:54.866,9:29.131,9:20.366,38:56.449,3.194
TT
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,הקפה 4,זמן,פער
1,15,לביא אייל,איציק חמו,9:45.382,9:22.283,9:25.909,9:09.120,37:42.694,
XP900
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,הקפה 4,זמן,פער
1,1,בריל תום,,9:06.595,9:20.069,9:10.284,9:14.672,36:51.620,
2,3,בורשטיין שגיא,,9:58.133,9:51.102,9:40.426,9:32.910,39:02.571,2:10.951
3,2,פישמן רוני,,10:34.946,9:50.464,9:49.478,9:37.437,39:52.325,3:00.705
4,4,פרל דני,,10:23.843,10:16.748,10:06.378,9:56.350,40:43.319,3:51.699
CUP 800 RZR
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,הקפה 4,זמן,פער
1,7,לביא אלעד,,10:40.669,10:38.182,10:26.137,10:15.675,42:00.663,
2,8,מלמד אדר,,10:47.868,10:35.958,10:22.674,10:18.200,42:04.700,4.037
3,9,מגידיש מור,,10:47.170,10:45.207,10:34.906,10:34.437,42:41.720,41.057
4,6,ביתן גדי,,10:58.731,10:47.962,10:29.329,10:26.016,42:42.038,41.375
5,10,מזרחי רפי,,11:23.361,10:53.989,10:49.418,10:35.367,43:42.135,1:41.472
BAJA
מקום,מספר,נהג,נווט,הקפה 1,הקפה 2,הקפה 3,הקפה 4,זמן,פער
1,12,שפרונץ דדי,גיא גוטליב,11:13.701,10:59.450,10:49.283,10:47.665,43:50.099,
לא סיים - הקפה 2 - DNF
,11,שחם גל,,10:25.795,,12:16.764,9:51.971,,
לא התחיל - הקפה 4 - DNS
,20,אברמוב ארז,,10:59.014,11:23.776,14:02.063,,,
