מוטוקרוס
עונת 2013 - וינגייט Motocross ExTReme fest - 06-09-2013
ג'וניורס 8-12 - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה
19,8,יפרח אילן,7,10:28.900,1 הקפה,1:21.121
20,75,אלחמידי איברהים,4,9:17.601,4 הקפות,1:12.404
21,12,יצחקי איציק,4,9:36.293,4 הקפות,1:20.670
22,195,מנשה לירן,2,2:52.145,6 הקפות,1:37.320
23,338,סטריקובסקי יותם,1,1:16.711,7 הקפות,
24,4,אלקיים מוטי,1,2:47.041,7 הקפות,
הקפה מהירה: (51) שטיין דודי - 1:05.454
מקצועית לייטס - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה
1,32,חסון אורן,10,10:40.433,,1:02.390
2,8,דור נמרוד,10,10:41.897,1.464,1:02.901
3,21,הראל תומר,10,10:47.811,7.378,1:02.240
4,17,שלומי רועי,10,11:03.542,23.109,1:02.811
5,219,בן אהרון אסף,10,11:15.629,35.196,1:04.945
6,146,רגף רוני,10,11:16.485,36.052,1:03.732
7,22,דדיה אריאל,10,11:34.010,53.577,1:05.693
8,88,קדר אלירן,10,11:38.059,57.626,1:07.160
9,77,קליין רועי,10,11:39.749,59.316,1:07.706
10,4,פוקס עומרי,9,10:52.110,1 הקפה,1:09.799
11,342,ונדרהורן יהב,8,10:47.333,2 הקפות,1:10.970
הקפה מהירה: (21) הראל תומר - 1:02.240
מקצועית לייטס - מקצה שני
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה
1,32,חסון אורן,10,10:39.241,,1:03.704
2,8,דור נמרוד,10,10:51.309,12.068,1:03.120
3,22,דדיה אריאל,10,10:56.804,17.563,1:05.385
4,146,רגף רוני,10,10:57.355,18.114,1:03.640
5,21,הראל תומר,10,11:07.291,28.050,1:01.924
6,219,בן אהרון אסף,10,11:15.275,36.034,1:05.931
7,17,שלומי רועי,10,11:22.074,42.833,1:03.760
8,88,קדר אלירן,10,11:32.187,52.946,1:06.505
9,77,קליין רועי,9,10:54.945,1 הקפה,1:12.527
10,342,ונדרהורן יהב,9,11:31.001,1 הקפה,1:14.555
11,4,פוקס עומרי,9,11:33.144,1 הקפה,1:12.648
הקפה מהירה: (21) הראל תומר - 1:01.924
מקצועית פתוחה - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה,עונשין
1,27,כרמון עידו,10,10:31.464,,1:00.769,
2,5,כרמי זיו,10,10:33.130,1.666,1:00.528,5.000
3,222,לוי יונתן,10,10:33.725,2.261,1:00.438,
4,22,אליתים גיא,10,10:56.078,24.614,1:03.667,
5,65,אוחנה אליקו,10,10:59.349,27.885,1:03.771,
6,2,אוחנה חיים,10,11:21.342,49.878,1:03.542,
7,32,חסון גל,8,11:37.341,2 הקפות,1:08.095,
8,12,בלולו שחר,2,2:12.845,8 הקפות,1:04.539,
לא התחיל - DNS
,3,WHARTON BLAKE,,,,,
,4,WHARTON TYLER,,,,,
,6,BIANCONCINI MASSIMO,,,,,
,7,MONTI MICKY,,,,,
,42,צמח רמי,,,,,
,100,צמח יניב,,,,,
הקפה מהירה: (222) לוי יונתן - 1:00.438
מקצועית פתוחה - מקצה שני
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה
1,27,כרמון עידו,10,10:24.934,,1:00.886
2,222,לוי יונתן,10,10:28.056,3.122,59.678
3,5,כרמי זיו,10,10:42.563,17.629,1:00.054
4,65,אוחנה אליקו,10,10:43.692,18.758,1:02.183
5,2,אוחנה חיים,9,10:25.706,1 הקפה,1:05.147
6,22,אליתים גיא,9,10:39.832,1 הקפה,1:03.685
7,32,חסון גל,9,11:09.620,1 הקפה,1:09.202
הקפה מהירה: (222) לוי יונתן - 59.678
מקצועית אנדורו - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה
1,51,שטפל רון,10,11:16.717,,1:05.080
2,25,שלי אריאל,10,11:26.183,9.466,1:06.019
3,99,דנינו טל,10,11:26.661,9.944,1:06.470
לא התחיל - DNS
,94,נוב בר,,,,,
הקפה מהירה: (51) שטפל רון - 1:05.080
מקצועית אנדורו - מקצה שני
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה
1,99,דנינו טל,10,11:16.367,,1:05.591
2,51,שטפל רון,10,11:23.789,7.422,1:04.938
3,25,שלי אריאל,10,11:33.650,17.293,1:06.606
4,94,נוב בר,9,10:52.165,1 הקפה,1:07.103
הקפה מהירה: (51) שטפל רון - 1:04.938
