ראלי ספרינט
מרוץ 4 עונת 2018 - בית קמה - 30-11-2018

CUP
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה מהירה,פער
1,8,אלעד הדר,4:00.648,3:55.259,4:37.783,3:55.259,-
2,14,טל ניב,4:02.062,3:59.104,4:02.680,3:59.104,3.845

KK
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה מהירה,פער
1,4,יובל שרון,3:39.270,3:31.103,3:28.885,3:28.885,-

N
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה מהירה,פער
1,5,אדר מלמד,3:33.543,3:29.698,3:28.214,3:28.214,-
2,11,חמדה עודה,3:37.125,3:36.591,3:30.542,3:30.542,2.328
3,46,איל בן ארי,3:42.116,3:38.545,3:34.066,3:34.066,5.852
4,22,נדב ירון,3:47.151,3:49.209,3:35.342,3:35.342,7.128
5,83,קובי כהן,4:54.533,3:37.779,3:39.274,3:37.779,9.565
6,84,אהוד לביא,3:56.499,3:54.312,3:48.257,3:48.257,20.043

T2
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה מהירה,פער
1,24,דדי שפרונץ,4:32.204,4:33.961,4:28.624,4:28.624,-

T3
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה מהירה,פער
1,2,אייל  אלבז,3:34.378,3:29.847,3:27.359,3:27.359,-
2,23,אלירן יפרח,3:36.026,3:27.438,3:27.817,3:27.438,0.079
3,41,שגיא נוי,3:37.343,3:33.661,DNF,3:33.661,6.302
4,6,שרון בן עמי,3:48.711,3:47.859,3:42.332,3:42.332,14.973
5,7,עזר חי,10:18.645,3:47.607,DNF,3:47.607,20.248
6,15,שלמה  עייני,4:03.232,3:58.424,3:53.934,3:53.934,26.575

© כל הזכויות שמורות לתנועה מדידת זמנים
