מוטוקרוס
מרוץ 4 עונת 2017 - וינגייט - 02-09-2017

MX1 - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
8,26,אילן יפרח,11,14:59.125,1:12.391,1 הקפה
9,35,אברהים אל חמידי,11,15:19.713,1:09.344,1 הקפה
10,910,דורון מור,10,14:01.527,1:13.045,2 הקפות
11,5,יריב לוי,10,14:17.880,1:14.838,2 הקפות
הקפה מהירה: (100) חיים אוחנה - 1:04.772

רוקיז - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,22,איתי דב,12,14:00.578,1:03.601,-
2,7,הראל מלמן,12,14:23.599,1:05.261,23.021
3,17,הראל הימן,12,14:53.682,1:05.436,53.104
4,392,שגיא צרפתי,11,14:03.047,1:05.916,1 הקפה
לא סיים - DNF
,94,איתמר ולדמן,11,13:54.501,1:07.409,1 הקפה
הקפה מהירה: (22) איתי דב - 1:03.601

רוקיז - מקצה שני
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,22,איתי דב,12,14:00.945,1:04.550,-
2,392,שגיא צרפתי,12,14:06.000,1:04.637,5.055
3,17,הראל הימן,12,14:10.252,1:02.363,9.307
4,7,הראל מלמן,12,14:12.566,1:04.051,11.621
5,94,איתמר ולדמן,11,14:17.017,1:08.640,1 הקפה
הקפה מהירה: (17) הראל הימן - 1:02.363

נשים - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,100,רן יוחאי,7,9:52.351,1:12.131,-
2,7,נועה כהן,7,10:22.933,1:14.681,30.582
3,141,דנה פרדר,7,10:52.565,1:21.116,1:00.214
4,2,רוני קדוש,7,11:07.412,1:20.910,1:15.061
5,21,נטע שמידוב,7,11:11.667,1:14.846,1:19.316
6,6,רז כהן,6,10:15.218,1:28.024,1 הקפה
7,12,רון הראל,5,10:37.851,1:45.380,2 הקפות
הקפה מהירה: (100) רן יוחאי - 1:12.131

נשים - מקצה שני
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,100,רן יוחאי,7,9:52.378,1:13.389,-
2,7,נועה כהן,7,10:06.324,1:15.232,13.946
3,141,דנה פרדר,7,10:51.826,1:21.275,59.448
4,2,רוני קדוש,7,10:52.941,1:20.572,1:00.563
5,6,רז כהן,6,10:21.302,1:27.904,1 הקפה
6,12,רון הראל,5,10:33.108,1:44.755,2 הקפות
