אנדורו - היירסקרמבל
מרוץ 3 עונת 2014 - בקעת הירדן - 22-02-2014
E1
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה
1,16,שפירא תומר,11,2:08:15.086,,11:13.761
2,100,קינן גיל,9,2:02:15.596,2 הקפות,12:52.271
3,121,כרמלי אוריה,9,2:07:46.179,2 הקפות,13:20.462
4,108,אזולאי רן,9,2:09:22.963,2 הקפות,13:13.667
5,84,יעקוב סער,9,2:12:03.899,2 הקפות,12:44.088
6,8,דור נמרוד,8,2:08:45.620,3 הקפות,14:52.416
7,33,כרמל אורי,8,2:15:01.758,3 הקפות,14:54.668
8,6,שטפל רון,4,2:00:10.562,7 הקפות,13:03.488
9,146,רגף רוני,1,15:52.837,10 הקפות,
הקפה מהירה: (16) שפירא תומר - 11:13.761
E2
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה
1,22,לוי יוני,11,2:08:26.875,,11:24.403
2,299,חמו נמרוד,10,2:00:45.791,1 הקפה,11:37.191
3,4,כהן דרור,9,2:01:58.821,2 הקפות,12:06.517
4,151,אוחנה חיים,4,2:00:02.093,7 הקפות,16:15.878
5,12,בלולו שחר,3,2:00:51.521,8 הקפות,16:06.939
הקפה מהירה: (22) לוי יוני - 11:24.403
E3
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה
1,25,שמש תומר,10,2:10:04.195,,12:18.288
2,94,נוב בר,9,2:06:46.584,1 הקפה,12:45.858
3,24,קלגרד עופר,1,18:41.206,9 הקפות,
הקפה מהירה: (25) שמש תומר - 12:18.288
C1
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה
1,1,ניר מתן,7,1:40:31.213,,13:13.476
2,68,יעקובוביץ ירון,7,1:40:46.236,15.023,13:40.800
3,60,שחם ניר,6,1:33:39.650,1 הקפה,14:35.127
4,767,שפירא יואב,6,1:35:34.658,1 הקפה,14:45.299
5,10,וייס דן,6,1:40:11.203,1 הקפה,15:14.303
6,15,בושרי אושר,6,1:43:00.714,1 הקפה,14:17.166
7,82,כהן נוי,6,1:43:34.963,1 הקפה,15:17.672
8,95,יעקב גל,5,1:28:10.152,2 הקפות,15:37.746
9,444,ששון אלעד,5,1:36:26.060,2 הקפות,16:40.436
10,76,מסיקה עומרי,4,1:02:22.953,3 הקפות,14:16.110
11,79,שטרן עמית,4,1:07:46.146,3 הקפות,15:48.937
12,88,דהן נעם,4,1:11:59.322,3 הקפות,14:43.683
13,800,שליו זאב,2,1:31:00.483,5 הקפות,1:14:33.259
14,99,גובני אלדר,1,21:00.999,6 הקפות,
הקפה מהירה: (1) ניר מתן - 13:13.476
C2
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה
1,29,בן גיגי צחי,7,1:43:43.401,,13:35.770
2,69,אורן יאיר,6,1:30:40.273,1 הקפה,14:18.113
3,101,וכלר עדי,6,1:36:57.535,1 הקפה,15:07.873
4,44,סבי מעין,6,1:38:29.371,1 הקפה,14:36.460
5,5165,אייזנבנד טל,6,1:38:53.022,1 הקפה,14:05.804
6,66,עמרמי שחר,6,1:42:45.272,1 הקפה,15:28.211
7,7,ישראל עדי,5,1:15:06.083,2 הקפות,13:55.915
8,65,קבסא רפאל,5,1:16:46.618,2 הקפות,13:54.903
הקפה מהירה: (29) בן גיגי צחי - 13:35.770
C3
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה
1,63,שוורץ שגיא,6,1:44:07.020,,15:13.543
2,55,ברלה אייל,5,1:31:29.680,1 הקפה,17:13.053
3,80,לוי עדי,5,1:44:54.748,1 הקפה,16:47.909
הקפה מהירה: (63) שוורץ שגיא - 15:13.543
מתחילים
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה
1,903,דוד הדר,4,1:09:35.480,,14:46.619
2,5,לויתן מור,4,1:13:50.246,4:14.766,15:53.194
3,147,למברוזו איציק,4,1:16:07.031,6:31.551,17:41.865
4,9,לבי עדן,4,1:18:03.990,8:28.510,16:15.452
5,200,דדיה יעקב,3,1:00:34.016,1 הקפה,16:32.287
6,905,ירום אלי,3,1:01:41.343,1 הקפה,16:03.709
7,998,קדוש נוי,3,1:02:03.221,1 הקפה,17:47.332
8,604,השימשוני נדב,3,1:02:10.578,1 הקפה,17:08.281
9,19,פופוביץ אריק,3,1:02:17.126,1 הקפה,17:40.013
10,5905,מור דורון,3,1:09:13.682,1 הקפה,18:59.191
11,112,מאור יואב,3,1:11:57.111,1 הקפה,22:50.806
12,555,ויקרוביצקי ישי,3,1:12:17.750,1 הקפה,23:00.772
13,13,לב רועי,3,1:19:52.618,1 הקפה,21:40.204
14,291,כתריאל אביעד,3,1:26:48.199,1 הקפה,21:06.372
15,578,שדה מוטי,2,59:08.502,2 הקפות,29:48.872
16,70,סבג אלירן,2,1:03:25.138,2 הקפות,26:44.548
17,77,שינו יוני,2,1:10:23.721,2 הקפות,35:35.193
הקפה מהירה: (903) דוד הדר - 14:46.619
סניורים
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה
1,45,קלנר איציק,6,1:32:38.209,,14:47.774
2,700,גוטמן יוסי,6,1:34:59.033,2:20.824,14:21.442
3,71,דודאי ברק,6,1:35:22.138,2:43.929,14:34.423
4,901,גול עמית,6,1:36:38.598,4:00.389,15:06.618
5,900,גביש עידו,2,44:30.057,4 הקפות,22:04.688
הקפה מהירה: (700) גוטמן יוסי - 14:21.442
מהלך המירוץ
מקום,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,הקפה 7,הקפה 8,הקפה 9,הקפה 10,הקפה 11
1,22,22,22,22,22,22,22,22,22,22,16
2,299,16,16,16,16,16,16,16,16,16,22
3,16,299,299,299,299,299,299,299,299,299,
4,4,4,4,4,4,25,25,25,25,25,
5,12,25,25,25,25,4,4,4,4,,
6,25,100,100,100,100,100,100,100,100,,
7,108,108,6,108,108,108,94,94,94,,
8,100,121,108,1,94,94,108,108,121,,
9,8,6,121,121,121,121,121,121,108,,
10,121,12,94,94,68,1,1,84,84,,
11,6,8,1,68,1,68,68,8,,,
12,84,94,84,8,29,29,84,33,,,
13,151,1,68,7,7,84,29,,,,
14,1,84,8,29,8,69,8,,,,
15,146,68,5165,84,84,45,33,,,,
16,94,33,7,5165,69,8,,,,,
17,33,5165,69,69,65,60,,,,,
18,5165,69,65,76,45,700,,,,,
19,800,767,29,45,60,71,,,,,
20,68,60,60,65,700,767,,,,,
21,767,65,45,60,767,901,,,,,
22,901,29,76,700,71,101,,,,,
23,69,7,101,101,101,44,,,,,
24,101,101,767,767,901,5165,,,,,
25,60,901,700,33,10,10,,,,,
26,65,45,33,901,44,33,,,,,
27,45,700,901,71,33,66,,,,,
28,7,76,151,44,5165,15,,,,,
29,44,44,44,79,15,82,,,,,
30,29,151,88,10,66,63,,,,,
31,700,71,71,15,63,,,,,,
32,24,79,10,63,82,,,,,,
33,55,88,903,903,95,,,,,,
34,76,10,15,66,55,,,,,,
35,79,903,82,95,444,,,,,,
36,10,55,79,82,80,,,,,,
37,95,82,95,88,,,,,,,
38,71,15,63,55,,,,,,,
39,88,95,66,5,,,,,,,
40,903,63,55,147,,,,,,,
41,99,66,147,9,,,,,,,
42,82,147,5,444,,,,,,,
43,147,80,9,80,,,,,,,
44,900,5,200,151,,,,,,,
45,15,9,80,6,,,,,,,
46,63,998,905,,,,,,,,
47,66,604,444,,,,,,,,
48,998,200,998,,,,,,,,
49,80,19,604,,,,,,,,
50,112,905,19,,,,,,,,
51,604,900,5905,,,,,,,,
52,555,444,112,,,,,,,,
53,5,112,555,,,,,,,,
54,9,555,13,,,,,,,,
55,200,5905,291,,,,,,,,
56,19,291,12,,,,,,,,
57,444,13,,,,,,,,,
58,905,578,,,,,,,,,
59,578,70,,,,,,,,,
60,5905,77,,,,,,,,,
61,13,800,,,,,,,,,
62,77,,,,,,,,,,
63,291,,,,,,,,,,
64,70,,,,,,,,,,
J1
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה,עונשין
1,58,סלע סוף,6,33:22.447,,4:16.231,
2,40,עידן רז,5,31:45.061,1 הקפה,4:25.102,
3,333,זרקו גיל,5,33:33.784,1 הקפה,3:48.958,
הקפה מהירה: (333) זרקו גיל - 3:48.958
J2
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה,עונשין
1,47,סלע גב,14,47:26.409,,2:48.765,
2,21,בירנבאום טל,12,46:42.043,2 הקפות,3:01.540,
3,91,סלע צוק,12,48:07.450,2 הקפות,3:17.257,
4,16,בן אהרון עילאי,11,47:49.883,3 הקפות,3:27.363,
5,5,אוזנה ניל,8,47:41.782,6 הקפות,3:34.558,1:00.000
הקפה מהירה: (47) סלע גב - 2:48.765
 מהלך המרוץ
מקום,1,2,3,4,5,6,7,8
הקפה 1,21,47,91,16,40,58,333,5
הקפה 2,21,47,91,16,58,333,40,5
הקפה 3,21,47,91,16,58,40,333,5
הקפה 4,47,21,16,91,58,40,333,5
הקפה 5,47,21,91,16,58,40,333,5
הקפה 6,47,21,91,16,58,5,,
הקפה 7,47,21,91,16,5,,,
הקפה 8,47,21,91,16,5,,,
הקפה 9,47,21,91,16,,,,
הקפה 10,47,21,91,16,,,,
הקפה 11,47,21,91,16,,,,
הקפה 12,47,21,91,,,,,
הקפה 13,47,,,,,,,
הקפה 14,47,,,,,,,
