אנדורו - היירסקרמבל
מרוץ 3 עונת 2017 - יער כרמים - 16-09-2017
E1
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
19,718,טל אלדן,2,40:12.825,1:12:29.754,2 הקפות
20,36,מור טהר,2,56:24.189,1:15:50.118,2 הקפות
לא סיים - DNF
,19,משה אלקיים,1,-,22:27.482,3 הקפות
,202,אסף אדום,1,-,33:39.396,3 הקפות
,13,ניר עונה,2,18:47.951,45:30.689,2 הקפות
,132,שי פילוס,2,22:23.661,48:24.668,2 הקפות
הקפה מהירה: (120) יוסי דבי - 16:47.404
ג'וניורס מקצועי
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,11,גיא נורסלע,4,15:23.440,1:11:15.934,-
2,33,גיל זרקו,4,16:43.848,1:11:58.285,42.351
3,21,יהב פייגין,4,17:57.157,1:16:18.782,5:02.848
4,108,שי ספקטור,3,18:03.943,1:00:01.366,1 הקפה
הקפה מהירה: (11) גיא נורסלע - 15:23.440
מהלך המירוץ
מקום,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,הקפה 7,הקפה 8,הקפה 9,הקפה 10
1,8,8,22,22,22,22,22,22,22,22
2,22,22,8,5,5,5,5,5,5,5
3,88,88,5,88,25,25,25,25,25,25
4,84,25,88,25,88,88,88,88,88,
5,25,5,25,8,8,8,8,8,84,
6,122,47,47,9,94,94,94,94,8,
7,47,9,9,94,9,2,2,84,94,
8,2,2,2,47,47,9,84,2,2,
9,9,122,122,247,247,122,9,9,9,
10,217,247,247,122,122,84,247,3,3,
11,5,61,94,2,2,247,3,122,247,
12,247,94,217,6,6,6,122,247,122,
13,85,85,85,3,84,3,6,6,6,
14,61,6,6,85,3,217,217,217,217,
15,3,217,61,84,217,47,85,85,85,
16,94,3,3,61,85,85,61,61,61,
17,6,121,84,121,61,61,121,47,,
18,222,100,121,49,121,121,47,,,
19,100,84,212,212,49,49,222,,,
20,121,125,125,125,212,212,,,,
21,56,56,49,56,56,56,,,,
22,125,212,56,222,125,125,,,,
23,224,222,222,14,14,14,,,,
24,212,49,14,44,44,44,,,,
25,117,14,44,65,403,65,,,,
26,403,403,403,403,65,403,,,,
27,49,44,65,72,222,72,,,,
28,754,20,72,111,72,111,,,,
29,14,65,20,20,111,222,,,,
30,36,72,392,46,20,45,,,,
31,46,46,46,45,392,20,,,,
32,74,392,111,392,45,392,,,,
33,33,71,45,11,46,71,,,,
34,72,103,103,103,71,46,,,,
35,20,33,71,71,103,103,,,,
36,65,45,33,33,104,,,,,
37,44,111,11,64,69,,,,,
38,71,21,64,112,63,,,,,
39,317,64,120,21,17,,,,,
40,21,11,21,128,128,,,,,
41,103,70,104,43,226,,,,,
42,45,120,112,104,317,,,,,
43,392,112,43,120,42,,,,,
44,63,104,108,69,26,,,,,
45,19,317,128,63,92,,,,,
46,7,980,531,226,7,,,,,
47,111,43,69,317,116,,,,,
48,26,108,317,17,224,,,,,
49,64,63,600,26,,,,,,
50,43,600,63,92,,,,,,
51,70,98,26,42,,,,,,
52,120,164,114,7,,,,,,
53,104,26,226,116,,,,,,
54,112,7,98,164,,,,,,
55,108,531,164,73,,,,,,
56,600,912,17,70,,,,,,
57,11,224,116,224,,,,,,
58,980,128,92,,,,,,,
59,912,13,7,,,,,,,
60,164,114,102,,,,,,,
61,98,69,58,,,,,,,
62,82,116,42,,,,,,,
63,132,102,15,,,,,,,
64,58,15,70,,,,,,,
65,15,58,82,,,,,,,
66,116,226,221,,,,,,,
67,114,92,980,,,,,,,
68,93,82,81,,,,,,,
69,221,42,421,,,,,,,
70,421,221,224,,,,,,,
71,17,132,93,,,,,,,
72,531,17,912,,,,,,,
73,13,421,73,,,,,,,
74,102,81,100,,,,,,,
75,81,93,,,,,,,,
76,69,73,,,,,,,,
77,95,718,,,,,,,,
78,92,36,,,,,,,,
79,226,,,,,,,,,
80,128,,,,,,,,,
81,42,,,,,,,,,
82,28,,,,,,,,,
83,73,,,,,,,,,
84,718,,,,,,,,,
85,202,,,,,,,,,
86,134,,,,,,,,,
ג'וניורס מתחילים
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,40,רז עידן,16,3:34.071,1:03:22.870,-
2,10,בועז סאסי,15,3:36.485,1:01:29.184,1 הקפה
3,460,ענבר זלנגר,15,3:30.494, P 1:03:00.611,1 הקפה
4,44,ניב סבן,14,3:36.805,1:00:37.642,2 הקפות
5,113,יהלי דנון,14,3:47.690,1:00:40.898,2 הקפות
6,66,אור זרקו,14,4:10.478,1:03:26.085,2 הקפות
7,34,עומר רוזנבלום,13,3:51.121,1:00:04.824,3 הקפות
8,67,ירין כהן,12,2:06.759,1:02:41.010,4 הקפות
9,59,אקרם אלח מידי,12,4:17.753,1:03:10.719,4 הקפות
10,77,ארז מלמן,9,4:44.271,1:03:19.300,7 הקפות
11,119,ניב הימן,5,7:36.926,1:05:02.379,11 הקפה
לא סיים - DNF
,115,מעיין עוזיאל,1,-,9:57.805,15 הקפות
הקפה מהירה: (67) ירין כהן - 2:06.759
סופר ג'וניורס
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,200,דור הימן,21,1:24.819,40:50.997,-
2,109,איתי וינברג,20,1:17.990,41:16.482,1 הקפה
3,888,יותם עוזיאל,20,1:16.365,41:23.293,1 הקפה
הקפה מהירה: (888) יותם עוזיאל - 1:16.365
סופר ג'וניורס מקצועי
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,1,בן אלמגור,9,3:49.316,41:32.985,-
2,27,אופיר צמח,9,4:02.266,41:37.871,4.886
3,48,שי אשכנזי,3,13:14.223,41:15.058,6 הקפות
הקפה מהירה: (1) בן אלמגור - 3:49.316
מהלך המירוץ
מקום,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,הקפה 7,הקפה 8,הקפה 9,הקפה 10,הקפה 11,הקפה 12,הקפה 13,הקפה 14,הקפה 15,הקפה 16,הקפה 17,הקפה 18,הקפה 19,הקפה 20,הקפה 21
1,109,200,200,200,200,109,200,200,109,109,200,200,200,888,109,200,200,200,200,200,200
