CUP
מקום,מספר,שם,מקצה 3,עונשין,מקצה 4,עונשין,מקצה 5,עונשין,זמן,פער
1,108,רז גבריאלי,47.194,2.000,45.071,,48.687,2.000,45.071,
2,107,בוריס סטרוסלסקי,47.626,2.000,45.278,,46.453,,45.278,0.207
3,106,ויקטור קוג'ינסקי,50.919,5.000,46.377,,45.309,,45.309,0.238
4,102,אלדד אהרוני,48.724,2.000,45.940,,45.993,,45.940,0.869
5,104,חיים כהן,48.544,,49.092,,47.666,,47.666,2.595
6,105,מרווין אנגלברג,58.718,,49.091,,49.543,,49.091,4.020
7,103,ענבר כהן,,,55.099,4.000,54.583,4.000,54.583,9.512
נפסל - מקצה 3 - DSQ
,103,ענבר כהן,,,55.099,4.000,54.583,4.000,,
הנעה אחורית
מקום,מספר,שם,מקצה 3,עונשין,מקצה 4,עונשין,מקצה 5,עונשין,זמן,פער
1,35,ניב סדובסקי,,,44.452,,43.773,,43.773,
2,15,אברהם מרקוביץ,45.893,,44.660,,45.308,,44.660,0.887
3,9,שרון ספיבק,46.207,,46.690,2.000,44.666,,44.666,0.893
4,22,גנאדי סרוצאן,,,50.139,5.000,44.893,,44.893,1.120
5,20,דקל נער,51.226,7.000,44.897,,45.312,,44.897,1.124
6,11,אולג וסיליקוב,46.785,,45.698,,45.732,,45.698,1.925
7,24,אבי שימשילשווילי,46.655,,45.766,,46.211,,45.766,1.993
8,27,דני גלטר,46.192,,47.665,,,,46.192,2.419
9,30,מוטי נתן,46.908,2.000,46.382,2.000,,,46.382,2.609
10,33,איליה סוולקין,52.381,5.000,47.677,,48.309,2.000,47.677,3.904
11,28,יוגב כץ,53.303,5.000,47.952,,49.103,2.000,47.952,4.179
12,19,תומר אואט,49.799,,48.824,,48.851,,48.824,5.051
13,2,מיכאל מוסקוביץ,50.239,2.000,50.551,,,,50.239,6.466
נפסל - מקצה 3 - DSQ
,22,גנאדי סרוצאן,,,50.139,5.000,44.893,,,
,35,ניב סדובסקי,,,44.452,,43.773,,,
נפסל - מקצה 5 - DSQ
,27,דני גלטר,46.192,,47.665,,,,,
,30,מוטי נתן,46.908,2.000,46.382,2.000,,,,
הנעה כפולה
מקום,מספר,שם,מקצה 3,עונשין,מקצה 4,עונשין,מקצה 5,עונשין,זמן,פער
1,38,סיימון אלישקוב,45.514,,45.378,,44.895,,44.895,
2,29,דודו איטח,46.933,,44.999,,47.136,2.000,44.999,0.104
3,40,אלכסנדר בובילב,46.045,,45.726,,46.126,,45.726,0.831
4,17,פיני אלישקוב,47.603,,46.436,,45.810,,45.810,0.915
5,32,אלכס סוולקין,46.301,,46.195,,,,46.195,1.300
6,34,פלק אהרון,50.398,2.000,47.363,,47.013,,47.013,2.118
7,36,יעקב עמוס,48.261,,47.729,,47.620,,47.620,2.725
8,1,אורון דהרי,53.568,,49.133,,48.724,,48.724,3.829
נפסל - מקצה 5 - DSQ
,32,אלכס סוולקין,46.301,,46.195,,,,,
פתוחה
מקום,מספר,שם,מקצה 3,עונשין,מקצה 4,עונשין,מקצה 5,עונשין,זמן,פער
1,23,פז יואב,44.519,,43.754,,43.530,,43.530,
2,7,איגור יעקובסון,50.752,4.000,45.689,,46.813,,45.689,2.159
3,10,שירן ששון,47.127,,45.955,,48.911,2.000,45.955,2.425
4,6,עידן אברג'יל,48.162,,46.097,,46.486,,46.097,2.567
5,21,כפיר צליח,46.531,,49.764,4.000,48.432,2.000,46.531,3.001
הנעה קדמית
מקום,מספר,שם,מקצה 3,עונשין,מקצה 4,עונשין,מקצה 5,עונשין,זמן,פער
1,47,גיא אמודי,48.843,4.000,44.334,,43.633,,43.633,
2,43,גידי קרונין,43.677,,43.739,,43.853,,43.677,0.044
3,12,קובי כהן,46.966,,45.218,,45.146,,45.146,1.513
4,25,איליה רובנוביץ',50.471,5.000,45.416,,48.771,2.000,45.416,1.783
5,45,טוני חיון,47.358,,46.934,,46.011,,46.011,2.378
6,37,מוחמד אטרש,46.773,,46.846,,46.484,,46.484,2.851
7,3,ליאור מויאל,46.646,,1:06.664,,47.135,,46.646,3.013
8,46,איתמר יתיב,46.713,,48.975,2.000,50.964,5.000,46.713,3.080
9,8,פיליפ רוזין,47.514,,46.827,,,,46.827,3.194
10,26,דניאל אוזרן,47.080,,47.361,,47.315,,47.080,3.447
11,18,דוד קאשי,47.487,,47.130,,49.270,2.000,47.130,3.497
12,49,ניצן לוי,47.224,,48.709,,48.734,,47.224,3.591
13,31,משה ריימונד,52.922,5.000,47.923,,52.551,5.000,47.923,4.290
14,13,איברהים חיגזי,48.083,,49.393,2.000,48.813,2.000,48.083,4.450
15,16,דודו סבג,48.917,,49.504,,48.312,,48.312,4.679
16,41,עידן שר,51.332,,50.243,,48.681,,48.681,5.048
17,14,רון טננבאום,50.384,,49.366,,49.095,,49.095,5.462
18,5,נטלי וקסלר,1:02.493,5.000,,,56.534,,56.534,12.901
19,4,ניר אבל,1:01.963,,58.039,,58.615,,58.039,14.406
נפסל - מקצה 4 - DSQ
,5,נטלי וקסלר,1:02.493,5.000,,,56.534,,,
נפסל - מקצה 5 - DSQ
,8,פיליפ רוזין,47.514,,46.827,,,,,
CUP
מקום,מספר,שם,מקצה 6,עונשין,מקצה 7,עונשין,זמן,פער
1,108,רז גבריאלי,,,45.511,,45.511,
2,107,בוריס סטרוסלסקי,46.270,2.000,,,48.270,2.759
נפסל - מקצה 6 - DSQ
,108,רז גבריאלי,,,45.511,,,
DSQ - נפסל - מקצה 7
,107,בוריס סטרוסלסקי,46.270,2.000,,,,
הנעה אחורית
מקום,מספר,שם,מקצה 6,עונשין,מקצה 7,עונשין,זמן,פער
1,20,דקל נער,43.296,,42.710,2.000,43.296,
2,35,ניב סדובסקי,43.807,,43.730,,43.730,0.434
3,9,שרון ספיבק,44.410,,43.746,,43.746,0.450
4,15,אברהם מרקוביץ,44.519,2.000,43.960,,43.960,0.664
5,22,גנאדי סרוצאן,45.293,5.000,44.214,,44.214,0.918
הנעה כפולה
מקום,מספר,שם,מקצה 6,עונשין,מקצה 7,עונשין,זמן,פער
1,38,סיימון אלישקוב,44.433,,44.273,,44.273,
2,32,אלכס סוולקין,44.862,,44.476,2.000,44.862,0.589
3,29,דודו איטח,44.950,,45.331,,44.950,0.677
4,40,אלכסנדר בובילב,45.035,,45.113,,45.035,0.762
