אנדורו
מרוץ 2 עונת 2017 - כפר יחזקאל - 08-07-2017

E1
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,הקפה 6,זמן,פער
7,69,ששון אלעד,12:48.505,12:16.927,12:45.112,13:12.643,13:10.473,1:04:13.660,,8:39.700
8,42,שטרית אסף,12:52.083,14:32.791,13:05.252,12:54.612,12:30.561,1:05:55.299,,10:21.339
9,70,סבג אלירן,14:37.763,14:38.830,15:00.988,14:47.599,15:27.282,1:14:32.462,,18:58.502
C3
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,זמן,עונשין,פער
1,111,גוטמן יוסי,11:40.534,11:43.780,11:40.089,11:41.308,11:36.994,58:22.705,,
2,14,לוגסי ירון,12:11.606,11:46.196,11:33.888,11:40.916,12:14.153,59:26.759,,1:04.054
3,117,אלחנדרו חביאר,12:27.881,11:56.948,12:00.579,11:42.395,11:47.587,59:55.390,,1:32.685
4,128,עזריאלי עומר,12:12.776,11:54.341,11:54.550,11:47.463,12:18.130,1:00:07.260,,1:44.555
5,99,ג'ובאני אלדר,12:11.349,12:05.844,11:52.701,11:52.682,15:24.779,1:03:27.355,,5:04.650
6,26,בר זאב שי,14:48.117,14:32.411,14:07.436,14:23.005,15:07.030,1:12:57.999,,14:35.294
סניורים
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,הקפה 5,זמן,עונשין,פער
1,125,מדיאל רונן,11:12.256,11:07.166,11:25.433,11:17.669,11:11.487,56:14.011,,
2,56,קלנר איציק,11:36.031,11:26.879,11:31.260,11:14.595,11:10.103,56:58.868,,44.857
3,121,כרמלי אוריה,11:56.905,11:28.782,11:18.080,11:13.963,11:04.692,57:02.422,,48.411
4,754,חמו שאולי,11:49.745,11:44.589,11:32.015,11:26.049,11:41.402,58:13.800,,1:59.789
5,403,כהן רונן,11:52.318,11:45.726,11:53.155,11:33.501,11:35.220,58:39.920,,2:25.909
6,72,צמח רמי,11:52.369,11:31.008,12:07.596,11:51.807,11:35.262,58:58.042,,2:44.031
7,71,דודאי ברק,12:17.596,12:02.740,11:51.750,11:49.632,11:55.830,59:57.548,,3:43.537
8,35,ברנשטיין אריה,12:49.129,12:48.005,12:39.012,12:36.762,12:20.390,1:03:13.298,,6:59.287
9,227,לוין כפיר,13:31.894,13:35.208,12:51.165,13:08.331,13:23.938,1:06:30.536,,10:16.525
10,276,כץ ארלה,14:00.258,14:00.792,13:50.411,14:34.537,15:12.885,1:11:38.883,,15:24.872
לא סיים - DNF
,28,בני צחי,12:05.887,11:27.390,11:33.347,11:35.034,,,,

מתחילים
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,זמן,עונשין,פער
1,98,שלומי דורון,13:11.001,12:43.389,13:03.768,12:50.427,51:48.585,,
2,442,בנימין שון,13:46.050,13:53.903,13:20.152,12:46.483,53:46.588,,1:58.003
3,50,יואל איתן,13:20.713,13:46.657,13:12.512,13:32.869,53:52.751,,2:04.166
4,600,מעודה הוד,14:32.122,12:59.393,12:59.508,13:35.904,54:06.927,,2:18.342
5,68,לוין יובל,14:11.869,14:00.642,14:34.185,14:43.661,57:30.357,,5:41.772
6,221,ברמן אור,14:17.813,14:44.411,14:19.997,14:49.675,58:11.896,,6:23.311
7,890,עזרא ברק,15:56.938,14:16.360,14:45.978,14:19.512,59:18.788,,7:30.203
8,41,ברקאי עידו,15:11.203,14:00.094,17:22.429,14:11.419,1:00:45.145,,8:56.560
9,13,עונה ניר,14:03.526,13:50.053,14:36.043,19:00.463,1:01:30.085,,9:41.500
10,31,הררי אופיר,15:20.135,15:36.909,17:35.513,18:06.823,1:06:39.380,,14:50.795
11,718,אלדן טל,19:46.597,19:40.750,19:19.139,17:11.760,1:15:58.246,,24:09.661
12,924,גילת אורי,21:19.651,18:16.452,19:00.979,18:01.491,1:16:38.573,,24:49.988
ג'וניורס מקצועי
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,זמן,עונשין,פער
1,11,נור סלע גיא,12:32.796,12:15.961,12:14.828,12:09.384,49:12.969,,
2,21,פייגין יהב,12:42.811,12:49.243,12:47.733,12:28.725,50:48.512,,1:35.543
ג'וניורס עממי
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,זמן,עונשין,פער
1,40,עידן רז,5:35.405,5:12.821,5:14.954,5:13.922,21:17.102,,
2,444,סבן ניב,5:58.483,5:35.245,5:28.027,6:01.106,23:02.861,,1:45.759
3,66,זרקו אור,5:49.916,6:51.078,5:41.473,5:52.844,24:15.311,,2:58.209
4,24,אוזון איתמר,8:05.961,10:08.997,7:52.211,8:17.359,34:24.528,,13:07.426
5,34,רוזנבלום עומר,5:47.997,5:34.753,15:24.875,8:10.166,34:57.791,,13:40.689
6,119,הימן ניב,14:06.908,17:03.871,26:39.781,16:55.418,1:16:45.978,2:00.000,55:28.876
סופר ג'וניורס מקצועי
מקום,מספר,שם,הקפה 1,הקפה 2,הקפה 3,הקפה 4,זמן,עונשין,פער
1,1,אלמגור בן,5:36.169,5:50.679,5:40.668,6:04.454,23:11.970,,
2,27,צמח אופיר,6:22.056,6:44.526,6:45.465,6:09.014,26:01.061,,2:49.091
3,77,מלמן ארז,6:33.471,7:06.239,6:37.075,6:20.803,26:37.588,,3:25.618
