אנדורו - היירסקרמבל
מרוץ 3 עונת 2018 - פצאל - 12-05-2018

מקצועית E1
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,94,בר נוב,8,15:21.953,2:07:42.401,-
2,88,דן מיה,8,15:07.550,2:09:19.998,1:37.597
3,25,תומר שמש,8,15:06.842,2:09:25.709,1:43.308
4,84,סער יעקב,8,15:31.640,2:15:27.821,7:45.420
5,15,אריאל שלי,8,16:33.550,2:16:35.506,8:53.105
6,800,דניאל ליטווק,7,17:03.469,2:03:35.776,1 הקפה
7,11,גיא נורסלע,7,17:08.650,2:05:04.213,1 הקפה
8,212,אמיר וייצמן,7,17:55.669,2:14:14.257,1 הקפה
9,45,שי אביגדור,6,18:15.926,2:01:45.955,2 הקפות
לא סיים - DNF
,20,גיא אוחנה,2,18:48.366,38:18.347,6 הקפות
,61,רון קדשאי,1,-,18:02.857,7 הקפות
הקפה מהירה: (25) תומר שמש - 15:06.842

מקצועית E2
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,8,נמרוד חמו,8,14:38.938,2:02:39.698,-
2,5,זיו כרמי,8,15:06.997,2:04:12.130,1:32.432
3,22,יונתן לוי,8,15:33.234,2:09:05.940,6:26.242
4,30,אורי גרינשטיין,7,17:24.838,2:08:15.477,1 הקפה
הקפה מהירה: (8) נמרוד חמו - 14:38.938

מקצועית E3
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,2,טל איזנבנד,7,16:24.750,2:01:39.069,-
2,518,קובי חמד,7,17:07.285,2:02:32.196,53.127
3,117,חביאר אלחנדרו,7,18:09.514,2:13:19.755,11:40.686
לא סיים - DNF
,217,מוש כהן,3,18:44.397,1:19:25.140,4 הקפות
,14,ירון לוגסי,2,18:10.086,37:26.444,5 הקפות
הקפה מהירה: (2) טל איזנבנד - 16:24.750

סניורים
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,121,אוריה כרמלי,5,17:53.748,1:34:50.206,-
2,111,יוסי גוטמן,5,18:26.505,1:36:40.113,1:49.907
3,130,קלדס  אדי,5,18:39.606,1:37:53.984,3:03.778
4,745,שאולי חמוי,5,18:52.448,1:39:06.798,4:16.592
5,901,עמית גול,5,19:22.073,1:41:12.926,6:22.720
6,56,איציק קלנר,5,19:55.044,1:43:54.563,9:04.357
7,18,אילן ישעיה,5,20:04.878,1:47:59.708,13:09.502
8,71,ברק דודאי,5,20:43.224,1:49:57.528,15:07.322
9,519,דרור כהן,4,21:20.450,1:30:53.786,1 הקפה
הקפה מהירה: (121) אוריה כרמלי - 17:53.748

עממית C1
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,33,גיל זרקו,5,17:42.020,1:34:23.682,-
2,702,גן בן דוד,5,17:59.922,1:34:56.496,32.814
3,21,יהב פייגין,5,18:13.820,1:38:44.744,4:21.062
4,146,רוני רגף,5,18:34.592,1:38:57.594,4:33.912
5,110,איתי גרואג,5,20:22.587,1:50:44.034,16:20.352
6,252,אמיר אילון,4,21:25.857,1:32:06.398,1 הקפה
7,100,רן יוחאי,3,27:16.795,1:33:51.047,2 הקפות
הקפה מהירה: (33) גיל זרקו - 17:42.020

עממית C2
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,353,חן כהן,5,18:04.807,1:35:55.757,-
2,142,צח תורגמן,5,18:30.956,1:38:42.364,2:46.607
3,28,צחי בני,5,18:33.986,1:39:40.017,3:44.260
4,179,אורי פרג רואי,5,19:48.809,1:44:41.845,8:46.088
5,139,עבד אלגני אחמד,5,20:34.436,1:49:19.427,13:23.670
לא סיים - DNF
,101,ניר דוד,4,20:13.376,1:24:19.549,1 הקפה
,188,איתי דור,4,26:47.388,1:49:51.232,1 הקפה
,201,קובי סרויה,2,20:46.327,44:53.090,3 הקפות
הקפה מהירה: (353) חן כהן - 18:04.807

עממית C3
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,74,אזברגה איברהים,5,18:25.660,1:38:28.274,-
