מוטוקרוס
מרוץ 6 עונת 2017 - וינגייט - 28-10-2017
MX1 - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,12,שחר בלולו,17,17:54.461,56.937,-
2,10,דור עטיה,17,18:13.559,57.457,19.098
3,21,תומר הראל,16,18:00.128,59.231,1 הקפה
4,49,קוגאן נאפסו,16,18:25.596,1:01.935,1 הקפה
5,5,זיו כרמי,16,18:26.831,58.585,1 הקפה
6,32,גל חסון,16,18:47.936,1:02.354,1 הקפה
7,609,בר נוב,14,18:42.515,1:00.096,3 הקפות
הקפה מהירה: (12) שחר בלולו - 56.937
MX1 - מקצה שני
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,10,דור עטיה,17,17:59.548,56.508,-
2,12,שחר בלולו,17,18:03.167,56.918,3.619
3,21,תומר הראל,17,18:03.355,58.045,3.807
4,5,זיו כרמי,17,18:51.484,58.221,51.936
5,609,בר נוב,17,18:53.383,59.768,53.835
6,49,קוגאן נאפסו,16,18:42.550,1:02.457,1 הקפה
7,32,גל חסון,16,18:57.946,1:02.365,1 הקפה
הקפה מהירה: (10) דור עטיה - 56.508
MX2 - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,100,אליקו אוחנה,17,18:05.316,58.873,-
2,146,רוני רגף,17,18:06.755,58.827,1.439
3,88,דן מיה,17,18:15.408,59.597,10.092
4,22,אריאל דדיה,17,18:31.503,58.996,26.187
5,15,גל דרורי,16,18:08.417,59.344,1 הקפה
6,25,תומר שמש,16,18:17.110,1:02.938,1 הקפה
7,7,שי מנצור,16,18:29.418,1:00.970,1 הקפה
הקפה מהירה: (146) רוני רגף - 58.827
MX2 - מקצה שני
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,88,דן מיה,17,18:09.278,59.507,-
2,22,אריאל דדיה,17,18:10.935,59.604,1.657
3,100,אליקו אוחנה,17,18:28.761,59.331,19.483
4,15,גל דרורי,17,18:30.262,1:00.467,20.984
5,146,רוני רגף,17,18:30.583,1:00.046,21.305
6,25,תומר שמש,16,18:03.994,1:01.416,1 הקפה
7,7,שי מנצור,16,18:08.113,1:02.246,1 הקפה
הקפה מהירה: (100) אליקו אוחנה - 59.331
סניורים - מקצה ראשון
מקום,מספר,שם,הקפות,זמן,הקפה מהירה,פער
1,74,מאור אברהם,13,15:38.797,1:06.992,-
2,72,רמי צמח,13,16:19.377,1:08.229,40.580
3,169,רמי ברנס,12,15:37.587,1:10.301,1 הקפה
4,100,חיים אוחנה,12,16:33.163,1:08.067,1 הקפה
5,910,מור דורון,11,15:17.169,1:13.706,2 הקפות
6,62,אברהים אל חמידי,11,15:25.288,1:11.295,2 הקפות
