סופרבייק
מרוץ 6 עונת 2018 - פצאל - 12-10-2018

סופרבייק 1000
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,11,אלמוג מנגד,27,38.320,17:41.750,-
2,73,אבי אלבז,27,39.813,18:20.427,38.677
הקפה מהירה: (11) אלמוג מנגד - 38.320
סופרספורט 600
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,77,יוגב הרוש,27,38.592,17:40.562,-
2,19,ליעד לב,27,38.709,17:55.844,15.282
3,1,חיים זנדברג,27,39.902,18:19.765,39.203
4,34,משה מנצור,26,40.464,18:15.266,1 הקפה
5,45,עופר איתח,24,42.199,17:48.823,3 הקפות
לא סיים - DNF
,82,ביי שפסו,4,38.575,2:41.830,23 הקפות
הקפה מהירה: (82) ביי שפסו - 38.575

סופרספורט 300
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,800,לוי בר,17,43.223,12:47.243,-
2,17,חיים זנדברג,17,42.867,12:53.881,6.638
3,6,ניר מרגוליס,17,44.052,12:58.939,11.696
4,888,לוי שמואל,17,43.928,12:59.108,11.865
5,2,אסף חייבי,17,45.278,13:26.517,39.274
6,80,שירה פרי,17,45.786,13:33.085,45.842
7,77,ליאור סמוקלנד אליה,16,46.386,12:59.107,1 הקפה
הקפה מהירה: (17) חיים זנדברג - 42.867

גביע חובבים
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,31,חן אביוב,20,42.630,14:31.030,-
2,28,דור שידלו,20,42.437,14:39.614,8.584
3,18,גל בן דהן,20,43.235,14:47.130,16.100
4,7,יוסי אביזוב,20,43.480,14:53.435,22.405
5,67,רוסלן נייבלט,19,44.762,14:41.653,1 הקפה
6,4,גיל ברנשטיין,18,46.890,14:35.744,2 הקפות
7,123,רוסלן טובברג ְ,18,48.367,15:13.872,2 הקפות
הקפה מהירה: (28) דור שידלו - 42.437

Junior
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,5,עידו מנגד,8,47.289,6:29.457,-
2,93,יהונתן מאירי,8,49.204,6:46.769,17.312
3,23,רז איתח,8,49.834,6:56.020,26.563
4,8,יהונתן חדד,8,51.417,7:04.860,35.403
5,17,תומר זנדברג,6,58.474,7:06.207,2 הקפות
לא התחיל - DNS
,98,עומר ארד,,-,-,-
הקפה מהירה: (5) עידו מנגד - 47.289

© כל הזכויות שמורות לתנועה מדידת זמנים
