מוטוקרוס
מרוץ 3 עונת 2018 - וינגייט - 19-05-2018

MX1 - מקצה ראשון
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,12,שחר בלולו,20,53.297,18:25.190,-
2,100,אליקו,19,55.751,18:32.897,1 הקפה
3,49,קוגאן נפסו,19,56.072,18:37.793,1 הקפה
4,32,גל חסון,19,57.137,19:03.167,1 הקפה
5,3,אלירן קידר,19,57.940,19:06.706,1 הקפה
הקפה מהירה: (12) שחר בלולו - 53.297

MX1 - מקצה שני
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,12,שחר בלולו,18,54.035,16:52.457,-
2,100,אליקו,18,55.140,17:51.613,59.156
3,32,גל חסון,17,58.094,17:15.803,1 הקפה
4,49,קוגאן נפסו,17,57.839,17:22.286,1 הקפה
5,3,אלירן קידר,17,59.498,17:34.459,1 הקפה
הקפה מהירה: (12) שחר בלולו - 54.035

MX2 - מקצה ראשון
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,1,דן מיה,18,55.378,17:12.321,-
2,392,שגיא צרפתי,18,55.244,17:13.048,0.727
3,777,דוד פורמנוב,18,55.778,17:19.968,7.647
4,146,רוני רגף,18,54.327,17:20.926,8.605
5,51,גיא דוברובסקי,18,56.219,17:33.473,21.152
6,122,איתי דוב,18,56.355,17:52.127,39.806
7,17,הראל הימן,18,56.360,17:59.018,46.697
8,107,הראל מלמן,17,57.609,17:16.974,1 הקפה
9,7,שי מנצור,17,56.688,17:49.317,1 הקפה
הקפה מהירה: (146) רוני רגף - 54.327

MX2 - מקצה שני
מקום,מספר,שם,הקפות,הקפה מהירה,זמן,פער
1,392,שגיא צרפתי,18,53.863,17:42.303,-
2,1,דן מיה,18,54.118,18:11.589,29.286
3,777,דוד פורמנוב,18,55.227,18:13.980,31.677
4,7,שי מנצור,18,55.565,18:24.538,42.235
5,146,רוני רגף,17,55.291,17:43.294,1 הקפה
6,107,הראל מלמן,17,57.483,18:03.336,1 הקפה
7,51,גיא דוברובסקי,17,56.202,18:24.323,1 הקפה
8,122,איתי דוב,16,57.361,18:18.842,2 הקפות
9,17,הראל הימן,12,56.721,18:43.656,6 הקפות
הקפה מהירה: (392) שגיא צרפתי - 53.863

פתוחה - מקצה ראשון
