אנדורו
מרוץ 1 עונת 2017 - אום זוקא - 31-12-2016
E1
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה,עונשין
6,112,איתי צדיק,4,1:13:24.775,5:38.045,16:28.306,2:00.000
7,118,אסף מוסן,4,1:14:05.174,6:18.444,16:04.354,1:00.000
8,211,גיא נורסלע,4,1:14:13.061,6:26.331,16:51.519,
9,98,דורון שלומי,4,1:14:59.150,7:12.420,16:37.256,
10,55,גיל מנשה,4,1:15:21.006,7:34.276,16:48.924,
11,934,עידו כהן,4,1:15:47.824,8:01.094,16:33.705,
12,666,איתמר תורג'מן,4,1:16:51.297,9:04.567,17:20.109,
13,81,מרדכי שלומי,3,1:00:18.063,1 הקפה,18:25.551,
14,618,איתן יואל,3,1:00:19.210,1 הקפה,18:03.216,
15,13,ניר עונה,3,1:04:23.371,1 הקפה,19:04.329,
16,243,אביב גלאם,3,1:04:44.789,1 הקפה,19:00.476,
17,221,אור ברמן,3,1:05:37.250,1 הקפה,19:18.878,
18,999,יהושוע גבזה,3,1:07:07.784,1 הקפה,20:24.069,
19,16,תומר זריהן,3,1:07:23.053,1 הקפה,16:25.820,
20,15,אוהד הראובני,3,1:12:28.561,1 הקפה,18:26.018,
21,333,עמית פוקס,3,1:12:48.005,1 הקפה,21:22.360,1:00.000
22,6,גיא אלשטיין,3,1:14:57.974,1 הקפה,22:23.603,
23,527,רוני סלייפר,3,1:15:09.713,1 הקפה,22:39.832,
24,175,יעקב אזולאי,3,1:21:56.389,1 הקפה,22:36.202,
25,20,גיא אוחנה,2,1:07:01.979,2 הקפות,32:17.392,
לא סיים - DNF
,57,אושרי ראובני,1,30:36.510,3 הקפות,,1:00.000
הקפה מהירה: (260) ניר דמרי - 14:50.686
סניורים
מקום,מספר,שם,הקפות,זמן,פער,הקפה מהירה,עונשין
1,818,ירון יוליוסבורגר,7,1:42:55.882,,13:58.884,
2,888,אוריה כרמלי,6,1:32:11.399,1 הקפה,14:11.133,1:00.000
3,72,רמי צמח,6,1:32:45.721,1 הקפה,13:54.589,
4,125,רונן מדיאל,6,1:33:34.245,1 הקפה,14:39.318,1:00.000
5,56,איציק קלנר,6,1:33:44.321,1 הקפה,14:47.082,1:00.000
6,403,רונן כהן,6,1:35:02.812,1 הקפה,14:49.660,
7,28,צחי בני,6,1:35:48.404,1 הקפה,14:31.389,1:00.000
8,46,שגיא שוורץ,6,1:39:54.419,1 הקפה,15:59.799,
9,35,אריה ברנשטיין,6,1:40:35.337,1 הקפה,15:45.962,
10,909,אודי לפיד,6,1:45:46.274,1 הקפה,16:27.860,
11,54,שי קיסוס,6,1:46:48.702,1 הקפה,16:41.092,1:00.000
12,930,יעקב כהן,6,1:47:26.594,1 הקפה,16:44.150,1:00.000
13,901,עמית גול,5,1:16:32.619,2 הקפות,14:37.498,
14,276,ארלה כץ,5,1:31:34.509,2 הקפות,16:52.031,1:00.000
15,227,כפיר לוין,5,1:32:25.639,2 הקפות,16:40.016,1:00.000
הקפה מהירה: (72) רמי צמח - 13:54.589
מהלך המירוץ
