אנדורו
מרוץ 5 עונת 2016 - גבעת המורה - 16-04-2016

מקצועית E1
מקום,מספר,שם,הקפות,זמן כולל,פער,הקפה מהירה
1,94,בר נוב,11,02:02:19.593,,10:43.340
2,25,תומר שמש,11,02:03:31.354,1:11.761,10:48.087
3,747,גב סלע,11,02:06:00.322,3:40.729,10:55.725
4,15,עדי ישראל,10,02:01:41.515,1 הקפה,11:24.582
5,19,יפתח פרנקו,10,02:05:22.830,1 הקפה,11:47.535
6,51,מתן ניר,3,39:15.071,8 הקפות,12:05.897
הקפה מהירה: (94) בר נוב - 10:43.340
מקצועית E2
מקום,מספר,שם,הקפות,זמן כולל,פער,הקפה מהירה
1,8,נמרוד חמו,12,02:10:25.713,,10:26.033
2,5,זיו כרמי,11,02:00:13.629,1 הקפה,10:42.816
3,22,יונתן לוי,11,02:03:20.499,1 הקפה,10:51.453
4,68,ירון יעקובוביץ,10,02:01:44.613,2 הקפות,11:39.568
הקפה מהירה: (8) נמרוד חמו - 10:26.033
מקצועית E3
מקום,מספר,שם,הקפות,זמן כולל,פער,הקפה מהירה
1,2,טל איזנבנד,10,02:00:56.057,,11:45.878
2,102,אליקו אוחנה,10,02:08:35.960,7:39.903,11:59.885
3,29,צחי בן גיגי,10,02:10:10.607,9:14.550,12:18.794
4,85,חיים פרנסי,10,02:12:06.438,11:10.381,12:31.078
5,217,מוש כהן,7,02:01:23.279,3 הקפות,12:17.437
הקפה מהירה: (2) טל איזנבנד - 11:45.878
סניורים
מקום,מספר,שם,הקפות,זמן כולל,פער,הקפה מהירה
1,125,רונן מדיאל,7,01:31:34.031,,12:36.583
2,71,ברק דודאי,7,01:33:04.720,1:30.689,13:00.492
3,901,עמית גול,7,01:34:11.887,2:37.856,13:12.354
4,561,שלומי ברבי,7,01:35:59.029,4:24.998,13:22.206
5,27,שגיא שוורץ,7,01:39:11.057,7:37.026,13:40.039
6,23,אריק פופוביץ,7,01:39:26.150,7:52.119,13:43.054
7,86,מאור אברהם,7,01:43:42.362,12:08.331,14:04.088
8,131,צדוק רדקר,6,01:33:55.809,1 הקפה,15:05.237
9,202,דני אליקים,6,01:46:53.849,1 הקפה,15:22.448
10,311,רן אמיתי,1,17:32.111,6 הקפות,
הקפה מהירה: (125) רונן מדיאל - 12:36.583
עממית C1
מקום,מספר,שם,הקפות,זמן כולל,פער,הקפה מהירה
1,61,רון קדשאי,7,01:30:36.272,,12:13.439
2,222,נעם דדון,7,01:32:30.927,1:54.655,12:25.079
3,247,צוק סלע,7,01:34:10.052,3:33.780,12:55.090
4,18,אדם קישוני,7,01:34:40.759,4:04.487,12:21.332
5,57,גל יעקב,7,01:35:00.028,4:23.756,12:56.020
6,165,עדי וכלר,7,01:38:07.003,7:30.731,13:19.400
7,904,יעקב דדיה,6,01:35:05.655,1 הקפה,13:54.149
8,98,בועז שפירא,6,01:38:18.710,1 הקפה,15:13.541
9,910,דורון מור,6,01:43:30.264,1 הקפה,14:34.714
הקפה מהירה: (61) רון קדשאי - 12:13.439
עממית C2
מקום,מספר,שם,הקפות,זמן כולל,פער,הקפה מהירה
1,65,רפי קבסה,8,01:41:02.366,,12:04.227
2,350,רון חמדי,7,01:30:48.217,1 הקפה,12:12.665
3,91,עידן כהן,7,01:33:12.121,1 הקפה,12:49.202
4,103,ברק פולמקר,7,01:33:25.441,1 הקפה,12:27.787
5,100,דודי דדון,7,01:36:05.244,1 הקפה,13:14.883
6,79,עמית שטרן,7,01:41:27.074,1 הקפה,12:56.995
7,905,אלי ירום,7,01:43:40.424,1 הקפה,13:57.128
8,676,דויד וקנין,4,56:40.886,4 הקפות,13:33.482
הקפה מהירה: (65) רפי קבסה - 12:04.227
עממית C3
מקום,מספר,שם,הקפות,זמן כולל,פער,הקפה מהירה
1,130,אדי קלדס,7,01:33:45.174,,13:00.795
2,616,ירון גולדשטיין,7,01:37:03.644,3:18.470,13:07.063
3,111,יוסי גוטמן,7,01:38:39.855,4:54.681,13:43.400
4,312,שגב דן,7,01:39:41.332,5:56.158,13:38.579
5,127,רונן זיסו,6,01:33:16.259,1 הקפה,13:51.092
6,869,דניאל לזרוביץ,6,01:47:36.156,1 הקפה,16:43.352
7,500,זאב שלו,5,01:34:34.299,2 הקפות,15:40.395
8,28,צחי בני,3,43:44.994,4 הקפות,14:03.134
הקפה מהירה: (130) אדי קלדס - 13:00.795
מתחילים
מקום,מספר,שם,הקפות,זמן כולל,פער,הקפה מהירה
1,78,זוהר ראובני,5,01:10:45.977,,13:21.844
2,777,לאי זכור,5,01:10:59.941,13.964,13:07.304
3,92,אופיר בנימין,5,01:12:59.281,2:13.304,13:27.510
4,447,סוף סלע,5,01:13:00.428,2:14.451,13:07.274
5,207,רז נהוראי,4,01:00:58.887,1 הקפה,14:02.937
6,276,ארלה כץ,4,01:02:29.112,1 הקפה,14:38.439
7,81,איציק בן חמו,4,01:05:04.385,1 הקפה,15:13.260
8,96,טל שדה,4,01:10:18.689,1 הקפה,15:37.409
9,34,מיכאל ריברסקי,4,01:13:25.897,1 הקפה,17:23.242
10,69,ליאור גיטה,4,01:18:16.527,1 הקפה,19:05.838
11,260,הראל מלמן,3,01:02:51.419,2 הקפות,16:17.846
12,181,ליאור בן הרוש,3,01:03:58.534,2 הקפות,17:39.139
13,191,איציק ביטון,2,37:14.963,3 הקפות,19:18.250
הקפה מהירה: (447) סוף סלע - 13:07.274

מהלך המירוץ
